week,bets,wins,losses,pushes,win_rate,profit_units,roi,avg_line,avg_projection,avg_projection_minus_line,avg_recommended_probability,avg_recommended_ev_percent,avg_bet_odds,avg_raw_edge,avg_projection_edge,avg_absolute_projection_edge
5,31,17,14,0,0.5483870967741935,1.0499999999999996,0.03387096774193547,3.274193548387097,3.382903225806451,0.10870967741935487,0.5534161290322581,5.471154838709677,1.9338709677419355,0.10870967741935487,0.10870967741935487,0.32741935483870965
9,28,16,12,0,0.5714285714285714,0.4200000000000008,0.015000000000000029,3.4642857142857144,3.5971428571428565,0.1328571428571428,0.5718821428571428,5.479850000000001,1.8792857142857144,0.1328571428571428,0.1328571428571428,0.45214285714285707
3,38,21,17,0,0.5526315789473685,0.5,0.013157894736842105,3.1842105263157894,3.473947368421053,0.2897368421052631,0.5754092105263158,5.746972368421055,1.8689473684210525,0.2897368421052631,0.2897368421052631,0.4786842105263157
2,46,24,22,0,0.5217391304347826,-0.6699999999999995,-0.014565217391304336,3.1956521739130435,3.4136956521739137,0.21804347826086956,0.563792391304348,5.877118478260873,1.9130434782608696,0.21804347826086956,0.21804347826086956,0.38804347826086955
15,30,16,14,0,0.5333333333333333,-0.8799999999999999,-0.02933333333333333,3.7666666666666666,3.8286666666666664,0.061999999999999965,0.5748766666666666,6.165054999999998,1.8809999999999998,0.061999999999999965,0.061999999999999965,0.408
8,34,17,17,0,0.5,-1.8800000000000003,-0.055294117647058834,3.1176470588235294,3.231764705882353,0.11411764705882352,0.5612911764705882,6.855083823529414,1.9376470588235293,0.11411764705882352,0.11411764705882352,0.3694117647058823
10,45,22,23,0,0.4888888888888889,-2.99,-0.06644444444444444,3.388888888888889,3.559333333333333,0.17044444444444443,0.5599144444444446,4.842243333333333,1.8988888888888888,0.17044444444444443,0.17044444444444443,0.3917777777777778
11,41,20,21,0,0.4878048780487805,-4.01,-0.09780487804878048,3.1341463414634148,3.323170731707317,0.18902439024390236,0.5707219512195122,5.681793902439024,1.892439024390244,0.18902439024390236,0.18902439024390236,0.4109756097560976
7,32,15,17,0,0.46875,-3.44,-0.1075,3.40625,3.52875,0.12250000000000001,0.5841390625,5.5025796875,1.8334375,0.12250000000000001,0.12250000000000001,0.4
16,32,15,17,0,0.46875,-5.28,-0.165,3.1875,3.4318750000000002,0.244375,0.5660140625,5.5433062500000005,1.895,0.244375,0.244375,0.4087499999999999
13,42,19,23,0,0.4523809523809524,-7.200000000000001,-0.17142857142857146,3.5952380952380953,3.677142857142857,0.08190476190476191,0.5675428571428571,5.280410714285715,1.8754761904761903,0.08190476190476191,0.08190476190476191,0.36904761904761907
14,45,19,26,0,0.4222222222222222,-9.920000000000002,-0.22044444444444447,3.6555555555555554,3.7266666666666666,0.07111111111111112,0.5765133333333333,5.942173333333333,1.8699999999999999,0.07111111111111112,0.07111111111111112,0.4395555555555555
17,21,8,13,0,0.38095238095238093,-6.159999999999998,-0.2933333333333333,3.8333333333333335,4.013333333333334,0.18,0.5802071428571428,5.314088095238097,1.841904761904762,0.18,0.18,0.4457142857142857
4,52,18,34,0,0.34615384615384615,-18.439999999999998,-0.35461538461538455,3.2884615384615383,3.401346153846154,0.11288461538461535,0.5757057692307692,5.3951076923076915,1.8592307692307695,0.11288461538461535,0.11288461538461535,0.34596153846153843
6,23,8,15,0,0.34782608695652173,-8.34,-0.3626086956521739,4.021739130434782,3.970434782608695,-0.05130434782608696,0.5581695652173913,5.126778260869566,1.917826086956522,-0.05130434782608696,-0.05130434782608696,0.32782608695652177
1,33,11,22,0,0.3333333333333333,-12.65,-0.38333333333333336,3.4393939393939394,3.5521212121212122,0.11272727272727272,0.5569863636363637,5.767343939393939,1.9284848484848485,0.11272727272727272,0.11272727272727272,0.27878787878787875
12,35,12,23,0,0.34285714285714286,-14.23,-0.4065714285714286,3.0142857142857142,3.2148571428571424,0.20057142857142857,0.5732071428571429,5.274837142857144,1.8785714285714286,0.20057142857142857,0.20057142857142857,0.4039999999999999
