probability_bucket,bets,avg_predicted_probability,actual_win_rate,calibration_error,absolute_calibration_error
"(0.4, 0.45]",21,0.4288880952380952,0.42857142857142855,-0.0003166666666666318,0.0003166666666666318
"(0.45, 0.5]",103,0.478243203883495,0.3300970873786408,-0.1481461165048542,0.1481461165048542
"(0.5, 0.55]",140,0.5254067857142857,0.4785714285714286,-0.04683535714285708,0.04683535714285708
"(0.55, 0.6]",114,0.5755140350877194,0.3684210526315789,-0.20709298245614044,0.20709298245614044
"(0.6, 0.65]",134,0.6264533582089552,0.5373134328358209,-0.08913992537313431,0.08913992537313431
"(0.65, 0.7]",75,0.6729646666666665,0.56,-0.11296466666666649,0.11296466666666649
"(0.7, 0.75]",17,0.7118470588235295,0.6470588235294118,-0.0647882352941177,0.0647882352941177
