projection_bucket,bets,wins,losses,pushes,win_rate,roi,profit_units,avg_edge,avg_line,avg_projection,avg_pred_prob,avg_odds
6-8,27,18,9,0,0.6666666666666666,0.2437037037037037,6.58,0.0866666666666666,6.351851851851852,6.438518518518516,0.5630888888888889,1.8892592592592592
4-5,113,56,57,0,0.49557522123893805,-0.09070796460176993,-10.250000000000002,0.16336283185840708,4.29646017699115,4.459823008849558,0.5624132743362832,1.89
3-4,133,62,71,0,0.46616541353383456,-0.13225563909774435,-17.59,0.26962406015037593,3.2142857142857144,3.4839097744360905,0.5590883458646616,1.916390977443609
2-3,198,91,107,0,0.4595959595959596,-0.14095959595959595,-27.91,0.14161616161616164,2.414141414141414,2.5557575757575757,0.5705489898989899,1.8907070707070706
<2,66,29,37,0,0.4393939393939394,-0.22030303030303025,-14.539999999999997,-0.09651515151515153,1.7272727272727273,1.6307575757575759,0.600060606060606,1.8300000000000003
5-6,71,22,49,0,0.30985915492957744,-0.4283098591549296,-30.41,0.12042253521126751,5.345070422535211,5.465492957746478,0.566106338028169,1.8792957746478873
