probability_bucket,bets,wins,losses,pushes,win_rate,roi,profit_units,avg_edge,avg_line,avg_projection,avg_pred_prob,avg_odds
70%+,18,12,6,0,0.6666666666666666,-0.0050000000000000044,-0.09000000000000008,-0.375,2.1666666666666665,1.7916666666666667,0.7151555555555555,1.502222222222222
50-52.5%,70,33,37,0,0.4714285714285714,-0.019428571428571396,-1.3599999999999977,0.2718571428571428,3.3142857142857145,3.586142857142857,0.5115642857142857,2.069142857142857
52.5-55%,70,34,36,0,0.4857142857142857,-0.04842857142857141,-3.389999999999999,0.24428571428571424,3.4857142857142858,3.7300000000000004,0.5392492857142858,1.9587142857142854
62.5-65%,74,41,33,0,0.5540540540540541,-0.08162162162162163,-6.040000000000001,0.045540540540540575,3.554054054054054,3.5995945945945937,0.6376479729729729,1.6582432432432432
65-70%,75,42,33,0,0.56,-0.1061333333333333,-7.959999999999997,0.020666666666666653,2.74,2.7606666666666664,0.6729646666666665,1.5898666666666668
60-62.5%,60,31,29,0,0.5166666666666667,-0.11233333333333337,-6.740000000000002,0.07433333333333335,3.716666666666667,3.7909999999999995,0.6126466666666666,1.722333333333333
<50%,127,43,84,0,0.33858267716535434,-0.24574803149606297,-31.209999999999997,0.2526771653543307,3.2716535433070866,3.5243307086614175,0.46791850393700785,2.243779527559055
55-57.5%,53,21,32,0,0.39622641509433965,-0.2584905660377359,-13.700000000000003,0.14867924528301885,3.7830188679245285,3.9316981132075473,0.5631339622641509,1.8750943396226412
57.5-60%,61,21,40,0,0.3442622950819672,-0.38737704918032784,-23.63,0.13360655737704913,3.8278688524590163,3.961475409836066,0.5862704918032786,1.7936065573770492
