line_bucket,<0%,0-2.5%,2.5-5%,5-7.5%,7.5-10%,10-15%,15-20%,20%+
0.5,,,,,,,,-1.0
1.5,-0.37649999999999995,-1.0,,-0.06000000000000005,1.36,-0.614,-0.43,-0.05297872340425532
2.5,-0.23680555555555557,0.18000000000000005,-0.4266666666666667,-1.0,0.1,-0.66,-0.4525,-0.03741071428571428
3.5,-0.14105263157894735,0.98,-0.42500000000000004,-1.0,1.1,-0.40099999999999997,-1.0,-0.03446153846153846
4.5,0.09978723404255319,-0.35666666666666663,,-0.35666666666666663,,-0.34,-1.0,-0.40883720930232553
5.5,-0.2072413793103448,-1.0,0.0,,-1.0,-0.2933333333333333,-0.48,-0.20705882352941177
6.5,0.004210526315789466,,0.96,0.93,,-1.0,-1.0,0.585
7.5,0.71,,,,,,,
