line_bucket,bets,wins,losses,pushes,win_rate,profit_units,roi,avg_line,avg_projection,avg_projection_minus_line,avg_recommended_probability,avg_recommended_ev_percent,avg_bet_odds,avg_raw_edge,avg_projection_edge,avg_absolute_projection_edge
6.5+,30,18,12,0,0.6,2.7299999999999995,0.09099999999999998,6.566666666666666,6.2636666666666665,-0.30300000000000005,0.580915,5.418406666666666,1.8296666666666666,-0.30300000000000005,-0.30300000000000005,0.44433333333333336
3.5,122,59,63,0,0.48360655737704916,-12.13,-0.09942622950819673,3.5,3.682540983606557,0.18254098360655738,0.5637254098360656,5.5201520491803295,1.9000819672131148,0.18254098360655738,0.18254098360655738,0.40450819672131144
2.5,218,97,121,0,0.44495412844036697,-37.2,-0.1706422018348624,2.5,2.672477064220184,0.1724770642201835,0.5731337155963302,5.758003669724771,1.8806880733944955,0.1724770642201835,0.1724770642201835,0.37798165137614675
4.5,101,45,56,0,0.44554455445544555,-18.049999999999997,-0.17871287128712868,4.5,4.604257425742574,0.10425742574257427,0.5588019801980199,5.189101485148515,1.9034653465346534,0.10425742574257427,0.10425742574257427,0.37079207920792073
1.5,79,36,43,0,0.45569620253164556,-14.139999999999999,-0.1789873417721519,1.5,1.8269620253164562,0.32696202531645574,0.5847341772151898,6.140767088607597,1.8664556962025323,0.32696202531645574,0.32696202531645574,0.4312658227848101
5.5,57,23,34,0,0.40350877192982454,-14.330000000000002,-0.25140350877192985,5.5,5.482982456140351,-0.01701754385964918,0.5557342105263158,5.285657894736842,1.914736842105263,-0.01701754385964918,-0.01701754385964918,0.35456140350877197
