calibration_field,bucket,bets,actual_win_rate,roi,profit_units,avg_odds,avg_recommended_probability,avg_predicted_probability,calibration_error,absolute_calibration_error,overall_brier_score,overall_expected_calibration_error,overall_mean_predicted_probability,overall_actual_win_rate
recommended_probability,<45%,24,0.375,-0.09833333333333331,-2.3599999999999994,2.46875,0.4236083333333333,0.4236083333333333,-0.04860833333333331,0.04860833333333331,0.25518323531250003,0.11164654605263158,0.5688833881578947,0.45723684210526316
recommended_probability,45-50%,103,0.3300970873786408,-0.28009708737864075,-28.849999999999998,2.191359223300971,0.478243203883495,0.478243203883495,-0.1481461165048542,0.1481461165048542,0.25518323531250003,0.11164654605263158,0.5688833881578947,0.45723684210526316
recommended_probability,50-52.5%,70,0.4714285714285714,-0.019428571428571396,-1.3599999999999977,2.069142857142857,0.5115642857142857,0.5115642857142857,-0.040135714285714275,0.040135714285714275,0.25518323531250003,0.11164654605263158,0.5688833881578947,0.45723684210526316
recommended_probability,52.5-55%,70,0.4857142857142857,-0.04842857142857141,-3.389999999999999,1.9587142857142854,0.5392492857142858,0.5392492857142858,-0.053535000000000055,0.053535000000000055,0.25518323531250003,0.11164654605263158,0.5688833881578947,0.45723684210526316
recommended_probability,55-57.5%,53,0.39622641509433965,-0.2584905660377359,-13.700000000000003,1.8750943396226412,0.5631339622641509,0.5631339622641509,-0.16690754716981127,0.16690754716981127,0.25518323531250003,0.11164654605263158,0.5688833881578947,0.45723684210526316
recommended_probability,57.5-60%,61,0.3442622950819672,-0.38737704918032784,-23.63,1.7936065573770492,0.5862704918032786,0.5862704918032786,-0.2420081967213114,0.2420081967213114,0.25518323531250003,0.11164654605263158,0.5688833881578947,0.45723684210526316
recommended_probability,60-62.5%,60,0.5166666666666667,-0.11233333333333337,-6.740000000000002,1.722333333333333,0.6126466666666666,0.6126466666666666,-0.09597999999999984,0.09597999999999984,0.25518323531250003,0.11164654605263158,0.5688833881578947,0.45723684210526316
recommended_probability,62.5-65%,74,0.5540540540540541,-0.08162162162162163,-6.040000000000001,1.6582432432432432,0.6376479729729729,0.6376479729729729,-0.08359391891891887,0.08359391891891887,0.25518323531250003,0.11164654605263158,0.5688833881578947,0.45723684210526316
recommended_probability,65-70%,75,0.56,-0.1061333333333333,-7.959999999999997,1.5898666666666668,0.6729646666666665,0.6729646666666665,-0.11296466666666649,0.11296466666666649,0.25518323531250003,0.11164654605263158,0.5688833881578947,0.45723684210526316
recommended_probability,70%+,18,0.6666666666666666,-0.0050000000000000044,-0.09000000000000008,1.502222222222222,0.7151555555555555,0.7151555555555555,-0.048488888888888915,0.048488888888888915,0.25518323531250003,0.11164654605263158,0.5688833881578947,0.45723684210526316
