dimension_1,value_1,dimension_2,value_2,bets,wins,losses,pushes,win_rate,profit_units,roi,avg_line,avg_projection,avg_projection_minus_line,avg_recommended_probability,avg_recommended_ev_percent,avg_bet_odds,avg_raw_edge,avg_projection_edge,avg_absolute_projection_edge,roi_standard_error,roi_ci_95_low,roi_ci_95_high,roi_x_sqrt_n,conservative_score,ranking_note
ev_bucket,2-5,verified_edge_bucket,0.5-1,74,37,37,0,0.5,-8.5,-0.11486486486486487,3.3378378378378377,3.761756756756756,0.4239189189189189,0.5961162162162161,3.4990858108108114,1.7648648648648644,0.4239189189189189,0.4239189189189189,0.6877027027027027,0.10575782889495568,-0.322150209498978,0.09242047976924826,-0.988104929322464,-0.322150209498978,exploratory
line_bucket,2.5,ev_bucket,5-10,127,58,69,0,0.4566929133858268,-20.36,-0.16031496062992126,2.5,2.597165354330708,0.09716535433070865,0.5883334645669291,7.503919291338584,1.8646456692913387,0.09716535433070865,0.09716535433070865,0.4003149606299213,0.08309978048050992,-0.32319053037172074,0.0025606091118781926,-1.8066578531712074,-0.32319053037172074,exploratory
side,under,probability_bucket,60-62.5%,38,21,17,0,0.5526315789473685,-1.95,-0.05131578947368421,4.0,3.6921052631578943,-0.3078947368421052,0.6125368421052629,5.805227631578946,1.7276315789473682,-0.3078947368421052,-0.3078947368421052,0.32368421052631574,0.1403912289373396,-0.32648259819086983,0.22385101924350143,-0.3163317712049869,-0.32648259819086983,exploratory
line_bucket,3.5,ev_bucket,2-5,58,29,29,0,0.5,-5.049999999999999,-0.08706896551724136,3.5,3.6791379310344827,0.17913793103448278,0.5556844827586207,3.5511344827586218,1.89051724137931,0.17913793103448278,0.17913793103448278,0.38431034482758614,0.12233833082147431,-0.326852093927331,0.15271416289284828,-0.6630974859415988,-0.326852093927331,exploratory
line_bucket,3.5,verified_edge_bucket,0-0.5,77,35,42,0,0.45454545454545453,-8.129999999999999,-0.10558441558441557,3.5,3.59064935064935,0.09064935064935063,0.5293766233766235,5.433879870129871,2.0124675324675327,0.09064935064935063,0.09064935064935063,0.23428571428571426,0.1133946907736085,-0.32783800950068825,0.1166691783318571,-0.9264994866168564,-0.32783800950068825,exploratory
probability_bucket,60-62.5%,verified_edge_bucket,0-0.5,34,19,15,0,0.5588235294117647,-1.4200000000000006,-0.04176470588235296,3.764705882352941,3.485882352941177,-0.2788235294117647,0.6123749999999999,5.794369117647057,1.7279411764705883,-0.2788235294117647,-0.2788235294117647,0.2964705882352941,0.14828458847074616,-0.3324024992850155,0.24887308752030954,-0.24352799090236268,-0.3324024992850155,exploratory
side,over,line_bucket,2.5,86,39,47,0,0.45348837209302323,-11.260000000000002,-0.13093023255813954,2.5,2.9754651162790697,0.4754651162790698,0.5520965116279071,5.468205813953488,1.9436046511627907,0.4754651162790698,0.4754651162790698,0.4812790697674419,0.10505312679905957,-0.3368343610842963,0.0749738959680172,-1.2141970262707167,-0.3368343610842963,exploratory
side,under,probability_bucket,62.5-65%,46,25,21,0,0.5434782608695652,-4.639999999999999,-0.10086956521739128,4.0,3.5734782608695657,-0.42652173913043473,0.6377097826086957,5.698395652173913,1.6576086956521743,-0.42652173913043473,-0.42652173913043473,0.4421739130434782,0.1229169729151504,-0.34178683213108607,0.14004770169630348,-0.6841306765587225,-0.34178683213108607,exploratory
side,under,probability_bucket,45-50%,50,22,28,0,0.44,-1.9900000000000002,-0.0398,3.38,3.7902,0.4102,0.477985,4.569573000000003,2.1894,0.4102,0.4102,0.4102,0.154905762004003,-0.3434152935278459,0.2638152935278459,-0.2814284989122459,-0.3434152935278459,exploratory
side,under,probability_bucket,65-70%,49,27,22,0,0.5510204081632653,-5.919999999999999,-0.12081632653061222,2.86734693877551,2.396530612244898,-0.47081632653061223,0.6738193877551021,6.915206122448982,1.5871428571428574,-0.47081632653061223,-0.47081632653061223,0.47081632653061223,0.11463259735083707,-0.34549621733825286,0.10386356427702842,-0.8457142857142855,-0.34549621733825286,exploratory
