side,bets,wins,losses,pushes,win_rate,profit_units,roi,avg_line,avg_projection,avg_projection_minus_line,avg_recommended_probability,avg_recommended_ev_percent,avg_bet_odds,avg_raw_edge,avg_projection_edge,avg_absolute_projection_edge
under,358,173,185,0,0.48324022346368717,-42.00999999999999,-0.11734636871508378,3.505586592178771,3.4155307262569834,-0.09005586592178771,0.5794343575418994,5.646688547486034,1.8521508379888267,-0.09005586592178771,-0.09005586592178771,0.3254748603351955
over,250,105,145,0,0.42,-52.11,-0.20844,3.204,3.6804800000000006,0.47647999999999996,0.5537744,5.5471236,1.93984,0.47647999999999996,0.47647999999999996,0.484
