calibration_field,bucket,bets,actual_win_rate,roi,profit_units,avg_odds,avg_recommended_ev_percent
recommended_ev_percent,2-5,271,0.4317343173431734,-0.19047970479704796,-51.62,1.9132841328413284,3.4309472324723247
recommended_ev_percent,5-10,337,0.47774480712166173,-0.1261127596439169,-42.5,1.868041543026706,7.354625222551929
