rule_removed,rule_dimensions,removed_bets,removed_roi,removed_profit_units,remaining_bets,remaining_roi,remaining_profit_units,roi_lift,profit_change_units,pct_bets_retained,baseline_roi,baseline_bets,multiple_testing_note,evidence_class
line_bucket = 2.5 AND projection_minus_line_bucket = 0.25-0.5,2,53,0.08924528301886793,4.73,555,-0.1781081081081081,-98.85,-0.023305476529160707,-4.72999999999999,0.912828947368421,-0.1548026315789474,608,exploratory; rule family comparison index 91,weak exploratory signal
predicted_probability >= 0.6396,1,122,-0.060573770491803264,-7.389999999999998,486,-0.1784567901234568,-86.73,-0.023654158544509418,7.390000000000001,0.7993421052631579,-0.1548026315789474,608,exploratory; rule family comparison index 26,weak exploratory signal
side = under AND verified_edge_bucket = 0-0.5,2,279,-0.126415770609319,-35.269999999999996,329,-0.1788753799392097,-58.849999999999994,-0.024072748360262325,35.27000000000001,0.5411184210526315,-0.1548026315789474,608,exploratory; rule family comparison index 80,weak exploratory signal
projection_minus_line_bucket = -0.5--0.25,1,73,0.0267123287671233,1.9500000000000008,535,-0.17957009345794392,-96.07,-0.024767461878996533,-1.9499999999999886,0.8799342105263158,-0.1548026315789474,608,exploratory; rule family comparison index 10,weak exploratory signal
side = under AND projection_minus_line_bucket = -0.5--0.25,2,73,0.0267123287671233,1.9500000000000008,535,-0.17957009345794392,-96.07,-0.024767461878996533,-1.9499999999999886,0.8799342105263158,-0.1548026315789474,608,exploratory; rule family comparison index 45,weak exploratory signal
projection_minus_line_bucket = 0.25-0.5 AND probability_bucket = 50-52.5%,2,37,0.23513513513513518,8.700000000000001,571,-0.18007005253940453,-102.82,-0.025267420960457143,-8.699999999999989,0.9391447368421053,-0.1548026315789474,608,exploratory; rule family comparison index 222,weak exploratory signal
projection_minus_line_bucket = -0.5--0.25 AND verified_edge_bucket = 0-0.5,2,72,0.04097222222222223,2.9500000000000006,536,-0.18110074626865671,-97.07,-0.02629811468970933,-2.9499999999999886,0.881578947368421,-0.1548026315789474,608,exploratory; rule family comparison index 271,weak exploratory signal
probability_bucket = 50-52.5% AND ev_bucket = 5-10,2,42,0.20047619047619053,8.420000000000002,566,-0.1811660777385159,-102.53999999999999,-0.02636344615956851,-8.419999999999987,0.930921052631579,-0.1548026315789474,608,exploratory; rule family comparison index 284,weak exploratory signal
projection_edge < -0.2,1,151,-0.07344370860927152,-11.09,457,-0.18168490153172867,-83.03,-0.026882269952781285,11.090000000000003,0.7516447368421053,-0.1548026315789474,608,exploratory; rule family comparison index 33,weak exploratory signal
projection_minus_line_bucket = 0.25-0.5 AND ev_bucket = 5-10,2,62,0.0906451612903226,5.620000000000001,546,-0.1826739926739927,-99.74000000000001,-0.027871361095045316,-5.6200000000000045,0.8980263157894737,-0.1548026315789474,608,exploratory; rule family comparison index 259,weak exploratory signal
predicted_probability >= 0.6327,1,152,-0.049210526315789475,-7.48,456,-0.19,-86.64,-0.035197368421052616,7.480000000000004,0.75,-0.1548026315789474,608,exploratory; rule family comparison index 24,weak exploratory signal
ev_bucket = 5-10 AND verified_edge_bucket = 0-0.5,2,216,-0.08949074074074075,-19.330000000000002,392,-0.19079081632653058,-74.78999999999999,-0.035988184747583196,19.330000000000013,0.6447368421052632,-0.1548026315789474,608,exploratory; rule family comparison index 322,weak exploratory signal
projection_edge < -0.28,1,122,0.005655737704918027,0.6899999999999993,486,-0.195082304526749,-94.81,-0.040279672947801604,-0.6899999999999977,0.7993421052631579,-0.1548026315789474,608,exploratory; rule family comparison index 31,weak exploratory signal
projection_minus_line_bucket = 0.25-0.5,1,122,0.019672131147540985,2.4000000000000004,486,-0.1986008230452675,-96.52,-0.04379819146632011,-2.3999999999999915,0.7993421052631579,-0.1548026315789474,608,exploratory; rule family comparison index 12,weak exploratory signal
projection_minus_line_bucket = 0.25-0.5 AND verified_edge_bucket = 0-0.5,2,122,0.019672131147540985,2.4000000000000004,486,-0.1986008230452675,-96.52,-0.04379819146632011,-2.3999999999999915,0.7993421052631579,-0.1548026315789474,608,exploratory; rule family comparison index 273,weak exploratory signal
