edge_bucket,bets,wins,losses,pushes,win_rate,roi,profit_units,avg_edge,avg_line,avg_projection,avg_pred_prob,avg_odds
20%+,289,135,154,0,0.4671280276816609,-0.09923875432525951,-28.68,0.527923875432526,3.08477508650519,3.612698961937717,0.5509956747404845,1.9426989619377164
<0%,227,115,112,0,0.5066079295154186,-0.13110132158590307,-29.759999999999998,-0.33180616740088104,3.7555066079295156,3.423700440528634,0.6127541850220265,1.752114537444934
10-15%,35,8,27,0,0.22857142857142856,-0.5399999999999999,-18.9,0.12428571428571428,3.3,3.424285714285714,0.5042942857142857,2.1065714285714288
15-20%,19,4,15,0,0.21052631578947367,-0.57,-10.83,0.1773684210526316,3.4473684210526314,3.6247368421052633,0.522871052631579,2.0205263157894735
