player,bets,wins,losses,pushes,win_rate,profit_units,roi,avg_line,avg_projection,avg_projection_minus_line,avg_recommended_probability,avg_recommended_ev_percent,avg_bet_odds,avg_raw_edge,avg_projection_edge,avg_absolute_projection_edge
Dalton Schultz,9,4,5,0,0.4444444444444444,-2.39,-0.26555555555555554,3.388888888888889,3.3833333333333337,-0.0055555555555555115,0.5937166666666668,6.186466666666667,1.808888888888889,-0.0055555555555555115,-0.0055555555555555115,0.4322222222222223
Kyle Pitts,8,2,6,0,0.25,-4.41,-0.55125,3.5,3.57125,0.07125000000000004,0.53075625,5.619675000000001,2.0125,0.07125000000000004,0.07125000000000004,0.22624999999999995
