pick,players_total,players_ge_1pct,players_ge_2pct,players_ge_5pct
1,1,1,1,1
2,10,5,5,2
3,11,7,7,3
4,12,7,7,6
5,13,10,8,6
6,17,12,10,6
7,17,12,11,6
8,18,13,8,6
9,19,12,10,7
10,21,14,13,5
11,23,14,10,5
12,25,17,10,4
13,26,11,8,5
14,27,15,9,5
15,26,9,6,5
16,31,19,13,5
17,28,14,9,5
18,28,14,7,3
19,29,17,8,5
20,30,19,12,7
21,36,15,9,8
22,36,16,12,7
23,34,14,11,7
24,38,18,12,6
25,39,13,8,4
26,39,17,8,6
27,40,19,12,6
28,40,16,14,4
29,42,18,7,6
30,42,20,13,6
31,44,20,9,7
32,44,16,10,4
