position,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_taken_round1
EDGE,6.5,0.5658,-130,0.43420000000000003,+130,6.3544
OT,5.5,0.239,+318,0.761,-318,5.9712
WR,5.5,0.3196,+213,0.6804,-213,5.6438
CB,3.5,0.488,+105,0.512,-105,3.5064
S,2.5,0.2912,+243,0.7088,-243,2.695139027805561
LB,2.5,0.8596,-612,0.14039999999999997,+612,2.1254
DT,1.5,0.311,+222,0.6890000000000001,-222,1.7616326530612245
IOL,1.5,0.7904,-377,0.2096,+377,1.162156403153633
QB,1.5,0.9232,-1202,0.07679999999999998,+1202,1.0768
RB,1.5,0.9914,-11528,0.008600000000000052,+11528,1.0070112179487178
TE,1.5,0.8048,-412,0.19520000000000004,+412,1.0
