pick,player,model_prob,market_prob,edge,abs_edge,model_version,run_timestamp,source,market_timestamp
1,Fernando Mendoza,1.0,0.0,1.0,1.0,v1,2026-04-15T16:03:06,,
18,Dillon Thieneman,0.4046,0.0,0.4046,0.4046,v1,2026-04-15T16:03:06,,
12,Jermod McCoy,0.3978,0.0,0.3978,0.3978,v1,2026-04-15T16:03:06,,
2,David Bailey,0.3948,0.0,0.3948,0.3948,v1,2026-04-15T16:03:06,,
17,Kadyn Proctor,0.3896,0.0,0.3896,0.3896,v1,2026-04-15T16:03:06,,
25,Peter Woods,0.3324,0.0,0.3324,0.3324,v1,2026-04-15T16:03:06,,
7,Rueben Bain,0.324,0.0,0.324,0.324,v1,2026-04-15T16:03:06,,
14,Olaivavega Ioane,0.2846,0.0,0.2846,0.2846,v1,2026-04-15T16:03:06,,
15,Keldric Faulk,0.2794,0.0,0.2794,0.2794,v1,2026-04-15T16:03:06,,
18,Emmanuel McNeil-Warren,0.2656,0.0,0.2656,0.2656,v1,2026-04-15T16:03:06,,
2,Arvell Reese,0.4734,0.7343734660187259,-0.2609734660187259,0.2609734660187259,v1,2026-04-15T16:03:06,DraftKings,2026-04-15 15:51:34
13,Jordyn Tyson,0.2498,0.0,0.2498,0.2498,v1,2026-04-15T16:03:06,,
15,Kenyon Sadiq,0.244,0.0,0.244,0.244,v1,2026-04-15T16:03:06,,
19,Kenyon Sadiq,0.2384,0.0,0.2384,0.2384,v1,2026-04-15T16:03:06,,
10,Caleb Downs,0.3916,0.1589006626170234,0.2326993373829766,0.2326993373829766,v1,2026-04-15T16:03:06,DraftKings,2026-04-15 15:51:34
8,Mansoor Delane,0.3408,0.113217111596065,0.22758288840393498,0.22758288840393498,v1,2026-04-15T16:03:06,DraftKings,2026-04-15 15:51:34
25,Kayden McDonald,0.2184,0.0,0.2184,0.2184,v1,2026-04-15T16:03:06,,
11,Makai Lemon,0.2152,0.0,0.2152,0.2152,v1,2026-04-15T16:03:06,,
24,Caleb Lomu,0.2104,0.0,0.2104,0.2104,v1,2026-04-15T16:03:06,,
8,Rueben Bain,0.2,0.0,0.2,0.2,v1,2026-04-15T16:03:06,,
32,Colton Hood,0.195,0.0,0.195,0.195,v1,2026-04-15T16:03:06,,
3,Francis Mauigoa,0.3212,0.1263856274360412,0.19481437256395878,0.19481437256395878,v1,2026-04-15T16:03:06,DraftKings,2026-04-15 15:51:34
24,Kevin Concepcion,0.1918,0.0,0.1918,0.1918,v1,2026-04-15T16:03:06,,
30,Colton Hood,0.191,0.0,0.191,0.191,v1,2026-04-15T16:03:06,,
32,Zion Young,0.1908,0.0,0.1908,0.1908,v1,2026-04-15T16:03:06,,
28,Kayden McDonald,0.1906,0.0,0.1906,0.1906,v1,2026-04-15T16:03:06,,
26,T.J. Parker,0.1862,0.0,0.1862,0.1862,v1,2026-04-15T16:03:06,,
13,Spencer Fano,0.1846,0.0,0.1846,0.1846,v1,2026-04-15T16:03:06,,
14,Jordyn Tyson,0.1788,0.0,0.1788,0.1788,v1,2026-04-15T16:03:06,,
26,Denzel Boston,0.1766,0.0,0.1766,0.1766,v1,2026-04-15T16:03:06,,
5,Carnell Tate,0.2314,0.0569254192482456,0.1744745807517544,0.1744745807517544,v1,2026-04-15T16:03:06,DraftKings,2026-04-15 15:51:34
31,Cashius Howell,0.1742,0.0,0.1742,0.1742,v1,2026-04-15T16:03:06,,
23,Caleb Lomu,0.1734,0.0,0.1734,0.1734,v1,2026-04-15T16:03:06,,
29,Avieon Terrell,0.17,0.0,0.17,0.17,v1,2026-04-15T16:03:06,,
1,Arvell Reese,0.0,0.1665386785634265,-0.1665386785634265,0.1665386785634265,v1,2026-04-15T16:03:06,DraftKings,2026-04-15 15:51:34
23,Blake Miller,0.1648,0.0,0.1648,0.1648,v1,2026-04-15T16:03:06,,
13,Monroe Freeling,0.1644,0.0,0.1644,0.1644,v1,2026-04-15T16:03:06,,
28,Max Iheanachor,0.1644,0.0,0.1644,0.1644,v1,2026-04-15T16:03:06,,
25,Emmanuel McNeil-Warren,0.1632,0.0,0.1632,0.1632,v1,2026-04-15T16:03:06,,
13,Makai Lemon,0.1608,0.0,0.1608,0.1608,v1,2026-04-15T16:03:06,,
21,Blake Miller,0.159,0.0,0.159,0.159,v1,2026-04-15T16:03:06,,
21,Caleb Lomu,0.1586,0.0,0.1586,0.1586,v1,2026-04-15T16:03:06,,
15,Akheem Mesidor,0.1546,0.0,0.1546,0.1546,v1,2026-04-15T16:03:06,,
29,Cashius Howell,0.152,0.0,0.152,0.152,v1,2026-04-15T16:03:06,,
11,Jordyn Tyson,0.1512,0.0,0.1512,0.1512,v1,2026-04-15T16:03:06,,
19,Akheem Mesidor,0.1506,0.0,0.1506,0.1506,v1,2026-04-15T16:03:06,,
28,Peter Woods,0.1502,0.0,0.1502,0.1502,v1,2026-04-15T16:03:06,,
21,Kadyn Proctor,0.1496,0.0,0.1496,0.1496,v1,2026-04-15T16:03:06,,
20,Akheem Mesidor,0.1492,0.0,0.1492,0.1492,v1,2026-04-15T16:03:06,,
1,David Bailey,0.0,0.1482377248751379,-0.1482377248751379,0.1482377248751379,v1,2026-04-15T16:03:06,DraftKings,2026-04-15 15:51:34
1,Ty Simpson,0.0,0.1482377248751379,-0.1482377248751379,0.1482377248751379,v1,2026-04-15T16:03:06,DraftKings,2026-04-15 15:51:34
16,Akheem Mesidor,0.1476,0.0,0.1476,0.1476,v1,2026-04-15T16:03:06,,
29,T.J. Parker,0.1464,0.0,0.1464,0.1464,v1,2026-04-15T16:03:06,,
30,Cashius Howell,0.1452,0.0,0.1452,0.1452,v1,2026-04-15T16:03:06,,
11,Jermod McCoy,0.1436,0.0,0.1436,0.1436,v1,2026-04-15T16:03:06,,
9,Rueben Bain Jr.,0.0,0.1431959336557933,-0.1431959336557933,0.1431959336557933,v1,2026-04-15T16:03:06,DraftKings,2026-04-15 15:51:34
12,Mansoor Delane,0.1402,0.0,0.1402,0.1402,v1,2026-04-15T16:03:06,,
26,Kevin Concepcion,0.1358,0.0,0.1358,0.1358,v1,2026-04-15T16:03:06,,
11,Mansoor Delane,0.1346,0.0,0.1346,0.1346,v1,2026-04-15T16:03:06,,
27,Denzel Boston,0.1332,0.0,0.1332,0.1332,v1,2026-04-15T16:03:06,,
8,Rueben Bain Jr.,0.0,0.1320866301954092,-0.1320866301954092,0.1320866301954092,v1,2026-04-15T16:03:06,DraftKings,2026-04-15 15:51:34
32,Chris Johnson,0.1318,0.0,0.1318,0.1318,v1,2026-04-15T16:03:06,,
16,Omar Cooper Jr.,0.1316,0.0,0.1316,0.1316,v1,2026-04-15T16:03:06,,
20,Avieon Terrell,0.1288,0.0,0.1288,0.1288,v1,2026-04-15T16:03:06,,
31,Zion Young,0.123,0.0,0.123,0.123,v1,2026-04-15T16:03:06,,
22,Akheem Mesidor,0.1214,0.0,0.1214,0.1214,v1,2026-04-15T16:03:06,,
14,Makai Lemon,0.1206,0.0,0.1206,0.1206,v1,2026-04-15T16:03:06,,
27,T.J. Parker,0.1198,0.0,0.1198,0.1198,v1,2026-04-15T16:03:06,,
19,Keldric Faulk,0.1182,0.0,0.1182,0.1182,v1,2026-04-15T16:03:06,,
31,Max Iheanachor,0.1174,0.0,0.1174,0.1174,v1,2026-04-15T16:03:06,,
16,Keldric Faulk,0.1166,0.0,0.1166,0.1166,v1,2026-04-15T16:03:06,,
9,Rueben Bain,0.1144,0.0,0.1144,0.1144,v1,2026-04-15T16:03:06,,
1,Caleb Downs,0.0,0.1114845699474177,-0.1114845699474177,0.1114845699474177,v1,2026-04-15T16:03:06,DraftKings,2026-04-15 15:51:34
1,Rueben Bain Jr.,0.0,0.1114845699474177,-0.1114845699474177,0.1114845699474177,v1,2026-04-15T16:03:06,DraftKings,2026-04-15 15:51:34
11,Olaivavega Ioane,0.1114,0.0,0.1114,0.1114,v1,2026-04-15T16:03:06,,
26,Cashius Howell,0.1112,0.0,0.1112,0.1112,v1,2026-04-15T16:03:06,,
23,Omar Cooper Jr.,0.1106,0.0,0.1106,0.1106,v1,2026-04-15T16:03:06,,
20,Emmanuel McNeil-Warren,0.1094,0.0,0.1094,0.1094,v1,2026-04-15T16:03:06,,
20,Keldric Faulk,0.1092,0.0,0.1092,0.1092,v1,2026-04-15T16:03:06,,
16,Olaivavega Ioane,0.1088,0.0,0.1088,0.1088,v1,2026-04-15T16:03:06,,
7,Jeremiyah Love,0.0726,0.1810020198770779,-0.1084020198770779,0.1084020198770779,v1,2026-04-15T16:03:06,DraftKings,2026-04-15 15:51:34
22,Omar Cooper Jr.,0.1084,0.0,0.1084,0.1084,v1,2026-04-15T16:03:06,,
22,T.J. Parker,0.1084,0.0,0.1084,0.1084,v1,2026-04-15T16:03:06,,
23,Kevin Concepcion,0.1082,0.0,0.1082,0.1082,v1,2026-04-15T16:03:06,,
9,Mansoor Delane,0.2074,0.0996145625431606,0.1077854374568394,0.1077854374568394,v1,2026-04-15T16:03:06,DraftKings,2026-04-15 15:51:34
6,Sonny Styles,0.035,0.1425894484628289,-0.10758944846282889,0.10758944846282889,v1,2026-04-15T16:03:06,DraftKings,2026-04-15 15:51:34
19,Omar Cooper Jr.,0.1058,0.0,0.1058,0.1058,v1,2026-04-15T16:03:06,,
17,Blake Miller,0.1056,0.0,0.1056,0.1056,v1,2026-04-15T16:03:06,,
30,Denzel Boston,0.1052,0.0,0.1052,0.1052,v1,2026-04-15T16:03:06,,
14,Omar Cooper Jr.,0.1042,0.0,0.1042,0.1042,v1,2026-04-15T16:03:06,,
6,Francis Mauigoa,0.1896,0.0855536690776973,0.10404633092230268,0.10404633092230268,v1,2026-04-15T16:03:06,DraftKings,2026-04-15 15:51:34
16,Jordyn Tyson,0.104,0.0,0.104,0.104,v1,2026-04-15T16:03:06,,
14,Kenyon Sadiq,0.1028,0.0,0.1028,0.1028,v1,2026-04-15T16:03:06,,
27,Caleb Lomu,0.1022,0.0,0.1022,0.1022,v1,2026-04-15T16:03:06,,
17,Caleb Lomu,0.1,0.0,0.1,0.1,v1,2026-04-15T16:03:06,,
22,Emmanuel McNeil-Warren,0.1,0.0,0.1,0.1,v1,2026-04-15T16:03:06,,
29,Zion Young,0.0994,0.0,0.0994,0.0994,v1,2026-04-15T16:03:06,,
32,Cashius Howell,0.099,0.0,0.099,0.099,v1,2026-04-15T16:03:06,,
21,Omar Cooper Jr.,0.0988,0.0,0.0988,0.0988,v1,2026-04-15T16:03:06,,
4,Rueben Bain,0.0984,0.0,0.0984,0.0984,v1,2026-04-15T16:03:06,,
24,Denzel Boston,0.0964,0.0,0.0964,0.0964,v1,2026-04-15T16:03:06,,
22,Peter Woods,0.0956,0.0,0.0956,0.0956,v1,2026-04-15T16:03:06,,
22,Kevin Concepcion,0.0946,0.0,0.0946,0.0946,v1,2026-04-15T16:03:06,,
10,Rueben Bain Jr.,0.0,0.0941180847808523,-0.0941180847808523,0.0941180847808523,v1,2026-04-15T16:03:06,DraftKings,2026-04-15 15:51:34
20,Dillon Thieneman,0.094,0.0,0.094,0.094,v1,2026-04-15T16:03:06,,
15,Jermod McCoy,0.0926,0.0,0.0926,0.0926,v1,2026-04-15T16:03:06,,
27,Kevin Concepcion,0.0926,0.0,0.0926,0.0926,v1,2026-04-15T16:03:06,,
31,Kayden McDonald,0.0926,0.0,0.0926,0.0926,v1,2026-04-15T16:03:06,,
27,Cashius Howell,0.0922,0.0,0.0922,0.0922,v1,2026-04-15T16:03:06,,
31,T.J. Parker,0.091,0.0,0.091,0.091,v1,2026-04-15T16:03:06,,
