player,position,avg_pick
Fernando Mendoza,QB,1.0
Arvell Reese,LB,3.2152
David Bailey,EDGE,3.4538
Carnell Tate,WR,6.183636727345469
Francis Mauigoa,OT,7.0932
Rueben Bain,EDGE,8.060812162432487
Jeremiyah Love,RB,9.022235576923077
Sonny Styles,LB,9.31234718826406
Mansoor Delane,CB,9.939442550631643
Caleb Downs,S,10.51322965057564
Makai Lemon,WR,11.616253276870337
Jermod McCoy,CB,12.640243902439025
Jordyn Tyson,WR,13.28053007135576
Spencer Fano,OT,14.801234567901234
Monroe Freeling,OT,15.228903172299399
Garrett Nussmeier,QB,16.0
Olaivavega Ioane,IOL,16.499783268313827
Kenyon Sadiq,TE,17.442842942345923
Dillon Thieneman,S,17.528460837887067
Drew Allar,QB,17.666666666666668
Keldric Faulk,EDGE,17.784599375650366
Kadyn Proctor,OT,18.94309296264118
Akheem Mesidor,EDGE,19.094201381620262
Omar Cooper Jr.,WR,19.900653594771242
Emmanuel McNeil-Warren,S,21.217433414043583
Blake Miller,OT,22.330637254901962
Caleb Lomu,OT,22.846866725507503
Kevin Concepcion,WR,23.397651750110768
Peter Woods,DT,24.35145765849144
Ty Simpson,QB,24.484126984126984
Avieon Terrell,CB,25.02715783812853
T.J. Parker,EDGE,26.50520156046814
Denzel Boston,WR,26.515286923800563
Kayden McDonald,DT,26.671336508826002
Cashius Howell,EDGE,28.651120670138102
Max Iheanachor,OT,28.97342871742463
Caleb Banks,DT,29.13719943422914
Emmanuel Pregnon,IOL,29.511764705882353
C.J. Allen,LB,29.740088105726873
Jadarian Price,RB,29.97142857142857
Jacob Rodriguez,LB,30.14814814814815
Colton Hood,CB,30.275190839694655
Zion Young,EDGE,30.28438315318673
Chase Bisontis,IOL,30.398
Malachi Lawrence,EDGE,30.768595041322314
Christen Miller,DT,30.870967741935484
Anthony Hill Jr.,LB,31.09090909090909
R Mason Thomas,EDGE,31.12280701754386
Chris Johnson,CB,31.133928571428573
Brandon Cisse,CB,31.27338129496403
Lee Hunter,DT,32.0
