position,avg_taken_round1,min,max
EDGE,6.3544,4,9
OT,5.9712,3,7
WR,5.6438,3,6
CB,3.5064,1,6
S,2.695139027805561,1,3
LB,2.1254,1,4
DT,1.7616326530612245,1,4
IOL,1.162156403153633,1,3
QB,1.0768,1,2
RB,1.0070112179487178,1,2
TE,1.0,1,1
