team,position,count,probability
ARI,OT,1771,0.3542
ARI,EDGE,1552,0.3104
ARI,LB,1519,0.3038
ARI,RB,102,0.0204
ARI,WR,29,0.0058
ARI,CB,21,0.0042
ARI,S,6,0.0012
BAL,WR,2103,0.4206
BAL,IOL,1423,0.2846
BAL,TE,514,0.1028
BAL,OT,416,0.0832
BAL,EDGE,221,0.0442
BAL,RB,111,0.0222
BAL,S,85,0.017
BAL,CB,63,0.0126
BAL,LB,63,0.0126
BAL,QB,1,0.0002
BUF,EDGE,1802,0.3604
BUF,WR,1737,0.3474
BUF,DT,666,0.1332
BUF,OT,197,0.0394
BUF,IOL,179,0.0358
BUF,S,170,0.034
BUF,CB,114,0.0228
BUF,LB,87,0.0174
BUF,RB,18,0.0036
BUF,TE,17,0.0034
BUF,QB,13,0.0026
CAR,EDGE,1496,0.2992
CAR,TE,1192,0.2384
CAR,WR,1038,0.2076
CAR,OT,723,0.1446
CAR,DT,184,0.0368
CAR,S,133,0.0266
CAR,CB,105,0.021
CAR,RB,73,0.0146
CAR,IOL,28,0.0056
CAR,LB,28,0.0056
CHI,DT,2811,0.5622
CHI,S,1089,0.2178
CHI,CB,357,0.0714
CHI,OT,270,0.054
CHI,WR,214,0.0428
CHI,EDGE,171,0.0342
CHI,RB,25,0.005
CHI,LB,21,0.0042
CHI,IOL,18,0.0036
CHI,QB,12,0.0024
CHI,TE,12,0.0024
CIN,S,2414,0.4828
CIN,LB,793,0.1586
CIN,OT,594,0.1188
CIN,WR,306,0.0612
CIN,CB,295,0.059
CIN,IOL,274,0.0548
CIN,EDGE,176,0.0352
CIN,RB,107,0.0214
CIN,TE,40,0.008
CIN,QB,1,0.0002
CLE,WR,4088,0.8176
CLE,OT,3923,0.7846
CLE,EDGE,510,0.102
CLE,RB,315,0.063
CLE,CB,302,0.0604
CLE,LB,233,0.0466
CLE,S,186,0.0372
CLE,IOL,176,0.0352
CLE,DT,169,0.0338
CLE,QB,71,0.0142
CLE,TE,27,0.0054
DAL,CB,3486,0.6972
DAL,EDGE,1930,0.386
DAL,S,1505,0.301
DAL,OT,1118,0.2236
DAL,LB,682,0.1364
DAL,WR,477,0.0954
DAL,DT,422,0.0844
DAL,RB,194,0.0388
DAL,IOL,96,0.0192
DAL,TE,88,0.0176
DAL,QB,2,0.0004
DET,OT,4000,0.8
DET,EDGE,264,0.0528
DET,S,166,0.0332
DET,DT,128,0.0256
DET,WR,128,0.0256
DET,TE,94,0.0188
DET,RB,79,0.0158
DET,IOL,72,0.0144
DET,LB,46,0.0092
DET,CB,23,0.0046
HOU,DT,1897,0.3794
HOU,OT,1881,0.3762
HOU,EDGE,269,0.0538
HOU,CB,261,0.0522
HOU,IOL,246,0.0492
HOU,WR,190,0.038
HOU,RB,94,0.0188
HOU,LB,69,0.0138
HOU,S,33,0.0066
HOU,TE,31,0.0062
HOU,QB,29,0.0058
KC,CB,3038,0.6076
KC,EDGE,2883,0.5766
KC,OT,1728,0.3456
KC,WR,1119,0.2238
KC,S,820,0.164
KC,LB,150,0.03
KC,DT,120,0.024
KC,RB,53,0.0106
KC,IOL,35,0.007
KC,TE,30,0.006
KC,QB,24,0.0048
LAC,EDGE,1823,0.3646
LAC,WR,1346,0.2692
LAC,DT,647,0.1294
LAC,S,611,0.1222
LAC,OT,270,0.054
LAC,IOL,180,0.036
LAC,CB,67,0.0134
LAC,RB,27,0.0054
LAC,TE,14,0.0028
LAC,LB,12,0.0024
LAC,QB,3,0.0006
LAR,OT,2283,0.4566
LAR,WR,2228,0.4456
LAR,LB,135,0.027
LAR,EDGE,80,0.016
LAR,TE,60,0.012
LAR,RB,59,0.0118
LAR,CB,54,0.0108
LAR,S,52,0.0104
LAR,IOL,48,0.0096
LAR,QB,1,0.0002
LV,QB,5000,1.0
MIA,CB,2910,0.582
MIA,WR,2686,0.5372
MIA,EDGE,1786,0.3572
MIA,IOL,998,0.1996
MIA,S,493,0.0986
MIA,OT,432,0.0864
MIA,TE,258,0.0516
MIA,DT,202,0.0404
MIA,LB,154,0.0308
MIA,RB,59,0.0118
MIA,QB,22,0.0044
MIN,S,3544,0.7088
MIN,RB,325,0.065
MIN,CB,263,0.0526
MIN,OT,247,0.0494
MIN,DT,179,0.0358
MIN,EDGE,146,0.0292
MIN,WR,121,0.0242
MIN,TE,90,0.018
MIN,IOL,61,0.0122
MIN,LB,24,0.0048
NE,EDGE,2195,0.439
NE,OT,906,0.1812
NE,DT,862,0.1724
NE,WR,433,0.0866
NE,LB,213,0.0426
NE,CB,171,0.0342
NE,TE,123,0.0246
NE,QB,40,0.008
NE,IOL,30,0.006
NE,S,25,0.005
NE,RB,2,0.0004
NO,CB,1984,0.3968
NO,WR,1208,0.2416
NO,EDGE,1148,0.2296
NO,LB,271,0.0542
NO,OT,195,0.039
NO,S,96,0.0192
NO,RB,83,0.0166
NO,IOL,13,0.0026
NO,TE,2,0.0004
NYG,WR,1278,0.2556
NYG,LB,1203,0.2406
NYG,OT,1011,0.2022
NYG,RB,724,0.1448
NYG,S,619,0.1238
NYG,EDGE,127,0.0254
NYG,CB,38,0.0076
NYJ,EDGE,3499,0.6998
NYJ,LB,2786,0.5572
NYJ,WR,1800,0.36
NYJ,IOL,544,0.1088
NYJ,OT,398,0.0796
NYJ,CB,371,0.0742
NYJ,S,232,0.0464
NYJ,RB,172,0.0344
NYJ,TE,128,0.0256
NYJ,QB,69,0.0138
NYJ,DT,1,0.0002
PHI,OT,2227,0.4454
PHI,WR,1501,0.3002
PHI,EDGE,752,0.1504
PHI,S,334,0.0668
PHI,DT,60,0.012
PHI,CB,44,0.0088
PHI,TE,44,0.0088
PHI,LB,19,0.0038
PHI,RB,13,0.0026
PHI,IOL,5,0.001
PHI,QB,1,0.0002
PIT,OT,3030,0.606
PIT,WR,1004,0.2008
PIT,CB,412,0.0824
PIT,RB,164,0.0328
PIT,EDGE,140,0.028
PIT,S,77,0.0154
PIT,IOL,62,0.0124
PIT,QB,56,0.0112
PIT,DT,32,0.0064
PIT,LB,14,0.0028
PIT,TE,9,0.0018
SEA,CB,2116,0.4232
SEA,EDGE,1924,0.3848
SEA,IOL,370,0.074
SEA,LB,186,0.0372
SEA,DT,125,0.025
SEA,OT,120,0.024
SEA,WR,69,0.0138
SEA,QB,34,0.0068
SEA,RB,26,0.0052
SEA,S,19,0.0038
SEA,TE,11,0.0022
SF,OT,1583,0.3166
SF,WR,1319,0.2638
SF,EDGE,1243,0.2486
SF,CB,344,0.0688
SF,IOL,173,0.0346
SF,DT,127,0.0254
SF,S,126,0.0252
SF,LB,45,0.009
SF,RB,19,0.0038
SF,TE,16,0.0032
SF,QB,5,0.001
TB,EDGE,2330,0.466
TB,TE,1220,0.244
TB,CB,537,0.1074
TB,IOL,420,0.084
TB,OT,182,0.0364
TB,WR,100,0.02
TB,S,88,0.0176
TB,RB,77,0.0154
TB,LB,46,0.0092
TEN,RB,1743,0.3486
TEN,EDGE,1469,0.2938
TEN,LB,959,0.1918
TEN,WR,655,0.131
TEN,OT,136,0.0272
TEN,S,29,0.0058
TEN,CB,9,0.0018
WAS,EDGE,1836,0.3672
WAS,WR,1042,0.2084
WAS,LB,869,0.1738
WAS,S,521,0.1042
WAS,RB,363,0.0726
WAS,OT,215,0.043
WAS,CB,147,0.0294
WAS,TE,4,0.0008
WAS,IOL,3,0.0006
