pick,players_total,players_ge_1pct,players_ge_2pct,players_ge_5pct
1,1,1,1,1
2,11,5,5,4
3,11,8,7,3
4,12,8,6,6
5,13,10,9,6
6,17,12,9,5
7,17,11,11,8
8,18,13,8,6
9,19,14,11,7
10,21,14,13,4
11,23,16,11,5
12,25,18,10,4
13,26,12,8,6
14,27,17,8,5
15,26,9,6,5
16,31,20,15,6
17,28,14,9,6
18,28,13,6,3
19,30,19,9,5
20,31,19,14,6
21,37,14,9,7
22,36,15,12,8
23,34,18,13,7
24,39,18,10,6
25,38,12,7,4
26,40,17,11,6
27,41,21,13,6
28,41,18,12,5
29,43,17,8,6
30,42,20,11,6
31,45,22,10,7
32,44,16,10,6
