position,avg_taken_round1,min,max
EDGE,6.335,3,9
OT,5.9158,3,7
WR,5.6236,3,6
CB,3.521,1,6
S,2.6944,1,3
LB,2.1042,1,4
DT,1.802534750613246,1,4
IOL,1.2166311300639658,1,3
QB,1.1018,1,3
RB,1.0108586366378443,1,2
TE,1.0,1,1
