position,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_taken_round1
EDGE,6.5,0.5638,-129,0.43620000000000003,+129,6.335
OT,5.5,0.2676,+274,0.7323999999999999,-274,5.9158
WR,5.5,0.3364,+197,0.6636,-197,5.6236
CB,3.5,0.4764,+110,0.5236000000000001,-110,3.521
S,2.5,0.2894,+246,0.7106,-246,2.6944
LB,2.5,0.873,-687,0.127,+687,2.1042
DT,1.5,0.2884,+247,0.7116,-247,1.802534750613246
IOL,1.5,0.7428,-289,0.2572,+289,1.2166311300639658
QB,1.5,0.8984,-884,0.10160000000000002,+884,1.1018
RB,1.5,0.9838,-6073,0.016199999999999992,+6073,1.0108586366378443
TE,1.5,0.794,-385,0.20599999999999996,+385,1.0
