player,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_pick
Arvell Reese,2.5,0.4318,+132,0.5682,-132,3.5818
David Bailey,3.5,0.6108,-157,0.3892,+157,3.8072
Carnell Tate,5.5,0.415,+141,0.585,-141,6.3838
Francis Mauigoa,5.5,0.492,+103,0.508,-103,7.530506101220244
Rueben Bain,7.5,0.5302,-113,0.4698,+113,8.292834267413932
Sonny Styles,7.5,0.5152,-106,0.4848,+106,9.052145350030795
Jeremiyah Love,5.5,0.4756,+110,0.5244,-110,9.815217391304348
Mansoor Delane,9.5,0.573,-134,0.42700000000000005,+134,10.187676198147402
Caleb Downs,9.5,0.4028,+148,0.5972,-148,10.645680521597392
Makai Lemon,11.5,0.5742,-135,0.42579999999999996,+135,11.537760680299655
Jermod McCoy,11.5,0.3836,+161,0.6164000000000001,-161,12.689039408866995
Jordyn Tyson,13.5,0.6034,-152,0.39659999999999995,+152,13.174564102564103
Spencer Fano,13.5,0.5738,-135,0.4262,+135,14.591633878649825
Monroe Freeling,13.5,0.5326,-114,0.46740000000000004,+114,14.903846153846153
Olaivavega Ioane,14.5,0.4908,+104,0.5092,-104,16.374535112666813
Dillon Thieneman,18.5,0.6414,-179,0.35860000000000003,+179,17.369234264939788
Kenyon Sadiq,18.5,0.473,+111,0.527,-111,17.45736629667003
Keldric Faulk,16.5,0.513,-105,0.487,+105,17.75036834350663
Kadyn Proctor,18.5,0.5012,-100,0.4988,+100,19.023482498892335
Akheem Mesidor,19.5,0.5478,-121,0.45220000000000005,+121,19.052308343922068
Drew Allar,24.5,0.0018,+55456,0.9982,-55456,19.1
Omar Cooper Jr.,20.5,0.474,+111,0.526,-111,19.623302671922907
Garrett Nussmeier,30.5,0.0032,+31150,0.9968,-31150,20.294117647058822
Emmanuel McNeil-Warren,22.5,0.5124,-105,0.48760000000000003,+105,21.25579127042185
Blake Miller,23.5,0.5554,-125,0.4446,+125,22.12740092389983
Caleb Lomu,23.5,0.4994,+100,0.5005999999999999,-100,22.64652636343064
Kevin Concepcion,23.5,0.44,+127,0.56,-127,22.9774011299435
Ty Simpson,31.5,0.111,+801,0.889,-801,23.481292517006803
Peter Woods,25.5,0.5982,-149,0.40180000000000005,+149,24.019212523719165
Avieon Terrell,28.5,0.4908,+104,0.5092,-104,24.361523912456093
Denzel Boston,26.5,0.4516,+121,0.5484,-121,26.137956028026093
T.J. Parker,26.5,0.463,+116,0.5369999999999999,-116,26.173747763864043
Kayden McDonald,28.5,0.5768,-136,0.4232,+136,26.282073067119796
Cashius Howell,29.5,0.4658,+115,0.5342,-115,28.380522565320664
Max Iheanachor,31.5,0.398,+151,0.602,-151,28.62657004830918
Caleb Banks,31.5,0.178,+462,0.8220000000000001,-462,28.746553552492045
Emmanuel Pregnon,31.5,0.0838,+1093,0.9162,-1093,28.988235294117647
C.J. Allen,31.5,0.1232,+712,0.8768,-712,29.16098226466576
Chase Bisontis,31.5,0.0908,+1001,0.9092,-1001,29.887517146776407
Zion Young,31.5,0.3616,+177,0.6384000000000001,-177,29.919938414164744
Colton Hood,31.5,0.337,+197,0.663,-197,29.92780642602142
Jacob Rodriguez,31.5,0.0066,+15052,0.9934,-15052,30.076923076923077
Jadarian Price,31.5,0.0098,+10104,0.9902,-10104,30.197674418604652
Malachi Lawrence,31.5,0.051,+1861,0.949,-1861,30.477186311787072
Christen Miller,31.5,0.01,+9900,0.99,-9900,30.71698113207547
Chris Johnson,31.5,0.0958,+944,0.9042,-944,30.8207381370826
Brandon Cisse,31.5,0.0306,+3168,0.9694,-3168,30.91127098321343
R Mason Thomas,31.5,0.0222,+4405,0.9778,-4405,31.16759776536313
Anthony Hill Jr.,31.5,0.0026,+38362,0.9974,-38362,31.1875
