position,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_taken_round1
EDGE,6.5,0.5924,-145,0.40759999999999996,+145,6.2908
OT,5.5,0.255,+292,0.745,-292,5.9456
WR,5.5,0.3674,+172,0.6326,-172,5.5888
CB,3.5,0.4766,+110,0.5234,-110,3.523
S,2.5,0.3028,+230,0.6972,-230,2.682
LB,2.5,0.85,-567,0.15000000000000002,+567,2.1318
DT,1.5,0.312,+221,0.688,-221,1.7858309514087383
IOL,1.5,0.7212,-259,0.27880000000000005,+259,1.2398634229620145
QB,1.5,0.877,-713,0.123,+713,1.123
RB,1.5,0.9764,-4137,0.023599999999999954,+4137,1.0173107890499196
TE,1.5,0.7928,-383,0.20720000000000005,+383,1.0
