player,position,avg_pick
Fernando Mendoza,QB,1.0
Arvell Reese,LB,3.5818
David Bailey,EDGE,3.8072
Carnell Tate,WR,6.3838
Francis Mauigoa,OT,7.530506101220244
Rueben Bain,EDGE,8.292834267413932
Sonny Styles,LB,9.052145350030795
Jeremiyah Love,RB,9.815217391304348
Mansoor Delane,CB,10.187676198147402
Caleb Downs,S,10.645680521597392
Makai Lemon,WR,11.537760680299655
Jermod McCoy,CB,12.689039408866995
Jordyn Tyson,WR,13.174564102564103
Spencer Fano,OT,14.591633878649825
Monroe Freeling,OT,14.903846153846153
Olaivavega Ioane,IOL,16.374535112666813
Dillon Thieneman,S,17.369234264939788
Kenyon Sadiq,TE,17.45736629667003
Keldric Faulk,EDGE,17.75036834350663
Kadyn Proctor,OT,19.023482498892335
Akheem Mesidor,EDGE,19.052308343922068
Drew Allar,QB,19.1
Omar Cooper Jr.,WR,19.623302671922907
Garrett Nussmeier,QB,20.294117647058822
Emmanuel McNeil-Warren,S,21.25579127042185
Blake Miller,OT,22.12740092389983
Caleb Lomu,OT,22.64652636343064
Kevin Concepcion,WR,22.9774011299435
Ty Simpson,QB,23.481292517006803
Peter Woods,DT,24.019212523719165
Avieon Terrell,CB,24.361523912456093
Denzel Boston,WR,26.137956028026093
T.J. Parker,EDGE,26.173747763864043
Kayden McDonald,DT,26.282073067119796
Cashius Howell,EDGE,28.380522565320664
Max Iheanachor,OT,28.62657004830918
Caleb Banks,DT,28.746553552492045
Emmanuel Pregnon,IOL,28.988235294117647
C.J. Allen,LB,29.16098226466576
Chase Bisontis,IOL,29.887517146776407
Zion Young,EDGE,29.919938414164744
Colton Hood,CB,29.92780642602142
Jacob Rodriguez,LB,30.076923076923077
Jadarian Price,RB,30.197674418604652
Malachi Lawrence,EDGE,30.477186311787072
Christen Miller,DT,30.71698113207547
Chris Johnson,CB,30.8207381370826
Brandon Cisse,CB,30.91127098321343
R Mason Thomas,EDGE,31.16759776536313
Anthony Hill Jr.,LB,31.1875
Lee Hunter,DT,32.0
