player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Anthony Brown,40316,QB,BLT,1,61.5,39,44,9.3,2.49,3,0,0.0,43.2,19,0,15,20.8,48,5,-0.43,12,3,31.7,35.8,36.5,,0,2,50,0,31.3,26.7,46.2,8.3,4,0,2,0,0,3,6.0,286,6.5
Joe Burrow,28022,QB,CIN,1,69.2,39,42,9.2,2.68,1,3,7.0,59.5,25,0,14,7.4,45,2,-0.24,12,7,29.9,71.3,69.6,63.9,0,0,46,0,33.3,14.3,81.0,4.4,2,1,0,2,1,2,4.3,215,5.1
Mac Jones,60323,QB,NE,1,74.4,39,40,8.0,2.67,0,1,2.3,65.0,26,0,10,10.3,42,3,-0.04,13,19,80.4,68.8,69.2,55.7,0,3,46,0,47.6,10.0,75.3,2.4,1,1,0,1,3,1,2.2,243,6.1
Davis Webb,11842,QB,NYG,1,63.9,36,40,6.6,2.87,2,0,0.0,57.5,23,0,19,0.0,42,0,-0.06,11,21,80.2,33.8,33.8,64.6,0,0,43,3,38.1,0.0,75.8,0.0,0,2,0,2,1,3,7.0,168,4.2
Davis Mills,52269,QB,HST,1,68.8,32,38,11.2,3.05,1,3,7.7,57.9,22,0,18,0.0,41,0,0.14,14,13,79.3,69.6,69.5,57.9,2,2,42,0,36.6,5.6,87.4,2.4,1,1,0,3,3,2,4.8,298,7.8
Justin Herbert,28237,QB,LAC,1,75.7,37,37,6.5,2.59,0,1,2.7,67.6,25,0,6,10.7,38,3,0.24,14,27,28.7,77.9,81.8,42.8,0,0,38,0,55.3,16.7,107.2,2.6,1,0,0,0,2,0,0.0,273,7.4
Dak Prescott,10769,QB,DAL,1,52.9,34,37,11.6,2.91,0,2,5.3,37.8,14,0,10,22.2,41,4,-0.34,6,9,79.9,45.0,43.5,61.9,1,1,42,0,34.1,10.0,45.8,2.4,1,3,0,2,1,3,7.1,128,3.5
Jarrett Stidham,13725,QB,LV,1,75.0,32,36,9.6,3.33,1,1,2.6,61.1,22,0,25,8.3,49,2,-0.11,16,23,23.2,48.3,44.3,72.6,1,1,52,2,44.9,24.0,76.0,12.2,6,7,0,2,1,4,7.7,219,6.1
Jalen Hurts,40291,QB,PHI,1,73.3,30,35,8.1,2.87,1,0,0.0,57.1,20,0,12,9.1,42,2,-0.16,13,24,80.4,49.8,44.4,70.0,0,1,43,0,38.1,25.0,65.1,7.1,3,4,0,4,0,2,4.7,229,6.5
Sam Ehlinger,60555,QB,IND,1,71.4,35,35,8.4,3.16,0,1,2.8,65.7,23,0,14,8.0,41,2,-0.18,14,14,79.3,63.5,67.7,43.7,0,2,42,0,43.9,14.3,77.0,4.9,2,4,0,0,2,1,2.4,209,6.0
Jared Goff,10635,QB,DET,1,78.1,32,34,6.0,2.48,0,2,5.6,67.6,23,0,9,8.0,36,2,0.12,12,11,28.1,79.3,78.9,57.9,1,0,38,0,50.0,11.1,85.9,2.8,1,1,0,1,0,1,2.6,224,6.6
Joe Flacco,4332,QB,NYJ,1,62.1,29,33,8.5,2.36,2,0,0.0,54.5,18,0,15,0.0,33,0,-0.08,9,22,78.3,62.9,62.1,,1,0,35,1,33.3,0.0,66.4,0.0,0,0,0,1,0,0,0.0,149,4.5
Trevor Lawrence,77632,QB,JAX,1,77.8,27,32,8.6,2.85,2,2,6.1,62.5,20,0,11,4.8,33,1,0.07,10,15,78.8,67.2,66.5,60.9,0,0,34,1,48.5,9.1,92.2,3.0,1,0,0,3,1,0,0.0,212,6.6
Skylar Thompson,60417,QB,MIA,1,76.9,26,31,6.7,3.04,0,0,0.0,64.5,20,0,18,0.0,33,0,-0.11,7,17,78.6,73.4,77.4,52.6,0,0,34,1,33.3,5.6,76.3,3.0,1,1,0,5,0,0,0.0,152,4.9
Geno Smith,7820,QB,SEA,1,74.1,27,31,9.4,2.98,0,1,3.2,61.3,19,0,14,5.0,38,1,-0.11,12,29,78.7,53.5,44.9,89.6,1,2,38,1,44.7,21.4,65.7,7.9,3,4,1,2,1,3,7.9,213,6.9
Josh Allen,46601,QB,BUF,1,71.0,31,31,15.0,3.49,0,3,9.4,61.3,19,0,16,13.6,36,3,0.17,11,4,79.8,93.5,93.2,66.5,0,1,37,0,47.2,12.5,106.1,5.6,2,3,0,0,3,0,0.0,254,8.2
Desmond Ridder,55086,QB,ATL,1,67.9,28,30,12.5,3.07,0,2,6.5,63.3,19,0,13,0.0,34,0,0.13,11,2,78.1,75.7,74.6,61.8,0,0,35,1,44.1,15.4,108.2,5.9,2,2,0,2,2,0,0.0,224,7.5
