position,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_taken_round1
OT,6.5,0.5142,-106,0.4858,+106,6.3682
EDGE,6.5,0.632,-172,0.368,+172,6.2322
WR,5.5,0.3108,+222,0.6892,-222,5.6586
CB,3.5,0.4628,+116,0.5372,-116,3.55
S,2.5,0.3854,+159,0.6146,-159,2.5936
LB,2.5,0.9632,-2617,0.036800000000000055,+2617,2.036
DT,1.5,0.3542,+182,0.6457999999999999,-182,1.641972761040033
QB,1.5,0.8708,-674,0.12919999999999998,+674,1.1292
IOL,1.5,0.8856,-774,0.11439999999999995,+774,1.087476789766866
RB,1.5,0.986,-7043,0.014000000000000012,+7043,1.0108346709470304
TE,1.5,0.779,-352,0.22099999999999997,+352,1.0
