team,position,count,probability
ARI,LB,2292,0.4584
ARI,EDGE,1733,0.3466
ARI,OT,797,0.1594
ARI,RB,95,0.019
ARI,WR,35,0.007
ARI,CB,25,0.005
ARI,S,23,0.0046
BAL,IOL,1910,0.382
BAL,WR,1507,0.3014
BAL,TE,844,0.1688
BAL,OT,337,0.0674
BAL,EDGE,166,0.0332
BAL,S,92,0.0184
BAL,RB,73,0.0146
BAL,LB,46,0.0092
BAL,CB,25,0.005
BUF,EDGE,2160,0.432
BUF,WR,1279,0.2558
BUF,DT,638,0.1276
BUF,S,379,0.0758
BUF,OT,268,0.0536
BUF,IOL,157,0.0314
BUF,CB,59,0.0118
BUF,TE,23,0.0046
BUF,RB,19,0.0038
BUF,LB,9,0.0018
BUF,QB,9,0.0018
CAR,EDGE,1597,0.3194
CAR,WR,1563,0.3126
CAR,OT,648,0.1296
CAR,TE,622,0.1244
CAR,DT,316,0.0632
CAR,CB,90,0.018
CAR,S,88,0.0176
CAR,RB,50,0.01
CAR,IOL,14,0.0028
CAR,LB,12,0.0024
CHI,DT,3062,0.6124
CHI,S,1347,0.2694
CHI,OT,217,0.0434
CHI,WR,135,0.027
CHI,CB,119,0.0238
CHI,EDGE,54,0.0108
CHI,TE,30,0.006
CHI,RB,17,0.0034
CHI,IOL,7,0.0014
CHI,QB,7,0.0014
CHI,LB,5,0.001
CLE,WR,4477,0.8954
CLE,OT,4226,0.8452
CLE,QB,221,0.0442
CLE,RB,216,0.0432
CLE,S,203,0.0406
CLE,LB,182,0.0364
CLE,EDGE,134,0.0268
CLE,CB,124,0.0248
CLE,IOL,108,0.0216
CLE,DT,84,0.0168
CLE,TE,25,0.005
DAL,CB,2910,0.582
DAL,EDGE,2383,0.4766
DAL,S,1524,0.3048
DAL,OT,1014,0.2028
DAL,LB,681,0.1362
DAL,WR,593,0.1186
DAL,DT,504,0.1008
DAL,RB,178,0.0356
DAL,IOL,109,0.0218
DAL,TE,104,0.0208
DET,OT,4225,0.845
DET,EDGE,212,0.0424
DET,WR,115,0.023
DET,S,113,0.0226
DET,DT,111,0.0222
DET,RB,70,0.014
DET,TE,67,0.0134
DET,IOL,38,0.0076
DET,CB,35,0.007
DET,LB,14,0.0028
HOU,OT,2749,0.5498
HOU,DT,1587,0.3174
HOU,CB,189,0.0378
HOU,IOL,144,0.0288
HOU,EDGE,116,0.0232
HOU,RB,68,0.0136
HOU,S,56,0.0112
HOU,TE,37,0.0074
HOU,WR,22,0.0044
HOU,LB,16,0.0032
HOU,QB,16,0.0032
KC,CB,3281,0.6562
KC,EDGE,3080,0.616
KC,OT,2079,0.4158
KC,WR,938,0.1876
KC,S,432,0.0864
KC,LB,49,0.0098
KC,DT,46,0.0092
KC,RB,42,0.0084
KC,TE,27,0.0054
KC,IOL,16,0.0032
KC,QB,10,0.002
LAC,WR,1755,0.351
LAC,EDGE,1521,0.3042
LAC,DT,843,0.1686
LAC,S,428,0.0856
LAC,OT,245,0.049
LAC,IOL,146,0.0292
LAC,RB,24,0.0048
LAC,CB,19,0.0038
LAC,TE,14,0.0028
LAC,LB,4,0.0008
LAC,QB,1,0.0002
LAR,OT,2805,0.561
LAR,WR,1672,0.3344
