player,position,avg_pick
Fernando Mendoza,QB,1.0
David Bailey,EDGE,3.0396
Arvell Reese,LB,3.1484
Carnell Tate,WR,6.4912
Sonny Styles,LB,7.234881858229876
Jeremiyah Love,RB,8.45585874799358
Jordyn Tyson,WR,9.109575320512821
Caleb Downs,S,9.16823741728494
Mansoor Delane,CB,9.39523714228537
Francis Mauigoa,OT,9.685897435897436
Rueben Bain,EDGE,10.671018276762402
Makai Lemon,WR,11.740040241448693
Spencer Fano,OT,14.750721649484536
Olaivavega Ioane,IOL,14.927167390854542
Jermod McCoy,CB,15.137975224263135
Drew Allar,QB,16.0
Monroe Freeling,OT,16.89424280350438
Keldric Faulk,EDGE,17.310492069947134
Kenyon Sadiq,TE,17.40359435173299
Dillon Thieneman,S,17.771979211779993
Kadyn Proctor,OT,18.71317503677243
Omar Cooper Jr.,WR,19.410073452256032
Akheem Mesidor,EDGE,19.742204186245193
Garrett Nussmeier,QB,20.0
Cole Payton,QB,21.0
Kevin Concepcion,WR,21.26277549043352
Blake Miller,OT,22.753177966101696
Denzel Boston,WR,23.179400495830517
Ty Simpson,QB,23.357254290171607
Emmanuel McNeil-Warren,S,23.499553969669936
Kayden McDonald,DT,24.271043376318875
Caleb Lomu,OT,24.806261343012704
Peter Woods,DT,25.737741046831957
Max Iheanachor,OT,26.46457062412013
T.J. Parker,EDGE,27.696416648119296
Caleb Banks,DT,29.075
Emmanuel Pregnon,IOL,29.10236220472441
Cashius Howell,EDGE,29.458448328733517
Colton Hood,CB,29.814766416203856
Chase Bisontis,IOL,29.819935691318328
Chris Johnson,CB,29.97150343924009
Jacob Rodriguez,LB,30.0
Brandon Cisse,CB,30.069767441860463
C.J. Allen,LB,30.14516129032258
Malachi Lawrence,EDGE,30.19514106583072
Jadarian Price,RB,30.444444444444443
Avieon Terrell,CB,30.492784607161944
Zion Young,EDGE,30.591939546599495
Christen Miller,DT,30.857142857142858
Anthony Hill Jr.,LB,31.0
R Mason Thomas,EDGE,31.011764705882353
Lee Hunter,DT,32.0
