player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Devin Singletary,40485,HB,NYG,1,8,0,0,0.0,0,0,20,0,3,0,13,44.3,0,1,21,0,2,73.2,64.6,74.3,,83.8,78.9,58.4,60.0,6,0,53,3,7,11,0,0,3,11,0,20,13,1.63,2.5,7.57,6
George Holani,72154,HB,SEA,1,7,3,0,0.0,0,0,31,0,0,3,31,189.8,0,3,29,0,0,71.4,76.7,69.2,,65.8,,72.7,60.0,9,0,0,0,0,10,0,0,0,7,1,31,31,4.43,4.4,,7
Justin Fields,82118,QB,NYJ,1,7,0,0,0.0,0,0,6,0,0,0,5,0.0,1,2,22,0,0,76.1,45.7,78.1,38.9,,,61.2,60.0,13,0,0,0,0,32,22,2,0,5,0,28,6,0.86,4.0,,2
Kyle Monangai,129891,HB,CHI,1,7,0,0,0.0,0,0,28,1,0,0,13,0.0,0,1,6,0,3,71.4,49.4,76.6,,,32.9,59.6,60.0,9,0,0,0,16,9,0,0,1,7,1,28,13,1.86,4.0,0.0,4
Daniel Jones,39395,QB,IND,1,7,0,0,0.0,0,0,2,0,0,0,1,0.0,2,3,14,3,0,17.5,44.0,0.0,37.9,,,71.5,60.3,19,1,0,0,0,35,51,6,0,1,0,53,8,1.14,7.6,,0
Taysom Hill,12112,TE,NO,1,7,0,0,0.0,0,0,20,1,0,0,16,0.0,0,3,20,0,3,71.9,55.3,76.1,60.0,,31.0,66.6,60.5,5,0,0,0,5,19,0,0,1,7,0,20,16,2.29,2.9,0.0,3
Drake Maye,143969,QB,NE,1,7,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,0,19,0,0,79.4,66.1,78.8,70.5,,,46.1,60.0,5,0,0,0,0,23,14,4,0,3,0,13,10,1.43,1.9,,0
Jaxson Dart,146409,QB,NYG,1,6,0,2,63.6,42,0,62,0,0,0,14,0.0,3,3,21,1,4,28.4,67.8,78.1,64.0,,,69.4,60.0,24,0,0,0,0,18,4,1,0,5,2,66,14,2.33,11.0,,0
Chris Rodriguez Jr.,83689,HB,WAS,1,6,0,0,0.0,0,0,16,0,0,0,11,0.0,0,2,32,0,2,70.6,54.0,73.0,,,54.4,60.6,44.5,9,0,0,0,9,9,0,0,0,6,1,16,11,1.83,2.7,0.0,4
Justin Herbert,28237,QB,LAC,1,5,0,0,0.0,0,0,1,0,0,0,1,0.0,1,2,27,0,0,79.9,50.5,79.5,48.5,,,62.2,60.0,15,0,0,0,0,31,18,2,0,3,0,19,2,0.4,3.8,,0
Bo Nix,97790,QB,DEN,1,5,0,0,0.0,0,0,-2,0,0,0,2,0.0,0,2,10,0,1,79.1,59.8,79.0,56.3,,60.0,68.9,60.0,1,1,0,0,1,27,0,0,0,5,0,-2,2,0.4,-0.4,0.0,0
Jaylen Wright,146934,HB,MIA,1,5,2,1,105.9,18,0,17,0,0,2,26,208.0,1,1,17,0,2,69.7,68.2,71.4,,,57.8,67.0,60.0,18,0,0,0,2,8,0,0,0,5,0,17,26,5.2,3.4,0.0,3
Jeremy McNichols,11917,HB,WAS,1,5,1,0,0.0,0,0,25,0,0,1,15,50.0,0,2,32,0,1,70.3,73.2,75.4,,59.7,60.2,73.8,60.0,9,0,4,1,6,6,0,0,1,6,0,25,15,3.0,5.0,0.67,4
J.J. McCarthy,144918,QB,MIN,1,5,3,0,0.0,0,0,10,0,0,1,7,700.0,2,1,18,0,0,80.5,53.4,0.0,52.7,,60.0,67.9,60.0,26,1,0,0,1,13,38,4,0,1,0,48,15,3.0,9.6,0.0,0
Jalen Hurts,40291,QB,PHI,1,5,0,0,0.0,0,0,13,0,0,0,6,0.0,1,1,24,1,0,26.6,63.0,0.0,72.2,,,41.6,60.0,10,2,0,0,0,33,14,3,0,2,0,27,6,1.2,5.4,,0
Jordan Love,40306,QB,GB,1,5,0,0,0.0,0,0,2,0,0,0,1,0.0,1,2,12,2,0,21.4,68.4,79.2,72.0,,,46.4,60.0,12,1,0,0,0,24,26,3,0,2,0,28,5,1.0,5.6,,0
Nick Chubb,45783,HB,HST,1,5,3,1,40.4,19,0,47,0,0,3,31,310.0,2,3,13,0,5,70.3,87.4,70.1,,,61.2,86.7,,19,0,5,1,5,5,0,0,1,6,0,47,31,6.2,9.4,1.0,0
Marcus Mariota,9435,QB,WAS,1,5,1,0,0.0,0,0,4,0,0,0,4,0.0,0,1,32,0,2,77.8,79.6,78.2,80.7,,,58.0,60.0,9,0,0,0,0,23,18,2,0,3,0,22,4,0.8,4.4,,0
Trevor Lawrence,77632,QB,JAX,1,5,1,0,0.0,0,0,2,0,0,0,0,0.0,1,2,15,2,0,21.5,48.8,79.0,45.6,,,63.4,60.4,21,0,0,0,0,23,33,4,0,1,0,35,12,2.4,7.0,,0
Dillon Gabriel,86272,QB,CLV,1,5,1,0,0.0,0,0,0,0,0,0,,100.0,2,3,8,0,0,80.0,63.5,0.0,60.8,,,71.0,60.0,19,1,0,0,0,26,54,5,0,0,0,54,21,4.2,10.8,,0
Emari Demercado,77763,HB,ARZ,1,4,2,1,85.9,55,0,64,0,0,2,58,414.3,1,1,1,0,2,71.7,60.7,77.7,,22.8,61.8,65.1,60.0,55,0,40,3,21,5,0,0,3,7,0,64,58,14.5,16.0,1.9,2
Keaton Mitchell,123826,HB,BLT,1,4,0,1,71.0,22,0,31,0,0,0,7,0.0,1,1,3,1,0,20.5,47.2,72.7,,,,50.2,60.0,22,0,0,0,0,5,0,0,0,4,0,31,7,1.75,7.8,,4
Jordan Mason,62946,HB,MIN,1,4,0,0,0.0,0,0,25,0,0,0,19,0.0,2,2,18,0,2,69.4,61.9,74.1,,28.8,59.1,65.7,,13,0,6,1,8,4,0,0,1,5,0,25,19,4.75,6.3,0.75,2
Bhayshul Tuten,150568,HB,JAX,1,4,2,0,0.0,0,0,5,0,0,2,9,90.0,0,1,15,0,1,74.5,59.0,73.8,,,58.4,59.4,60.0,6,0,5,1,10,5,0,0,2,5,0,5,9,2.25,1.3,0.5,3
