player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Nico Collins,61441,WR,HST,1,14.4,0,50.0,60.0,3,5,1,0.0,0,5,13,0,76.5,70.1,73.9,,77.1,0.0,0,0,54,0.0,0,49,1,7,91.8,45,22.4,11,84.2,14,0,77.6,38,136,23,3.3,19.4,3.02
Trey McBride,75916,TE,ARZ,1,7.8,2,69.2,0.0,0,3,0,0.0,0,6,1,0,78.0,71.1,85.4,70.4,83.8,18.4,9,0,24,4.1,2,49,0,9,93.9,46,73.5,36,126.1,13,1,8.2,4,127,58,6.4,14.1,2.76
Emeka Egbuka,145055,WR,TB,1,10.6,1,46.2,,0,0,0,14.3,1,5,30,0,49.2,69.5,70.9,,72.9,0.0,0,0,31,0.0,0,46,0,6,93.5,43,37.0,17,103.0,13,1,63.0,29,115,39,6.5,19.2,2.67
Marvin Harrison Jr.,145056,WR,ARZ,1,13.4,0,25.0,0.0,0,4,0,40.0,2,3,1,0,28.6,67.0,58.6,,58.2,0.0,0,0,14,0.0,0,54,0,3,94.4,51,16.7,9,67.4,12,1,83.3,45,33,7,2.3,11.0,0.65
Justin Jefferson,61398,WR,MIN,1,17.2,0,33.3,50.0,1,2,0,20.0,1,3,18,0,41.6,68.0,53.5,,55.7,0.0,0,2,11,0.0,0,52,1,4,90.4,47,32.7,17,3.1,12,0,65.4,34,37,23,5.8,9.3,0.79
Jerry Jeudy,61103,WR,CLV,1,10.0,0,50.0,50.0,1,2,0,14.3,1,5,8,0,49.2,68.8,70.0,,69.1,0.0,0,0,22,0.0,0,45,0,6,93.3,42,22.2,10,98.6,12,1,77.8,35,78,28,4.7,13.0,1.86
Cade Otton,61071,TE,TB,1,4.3,0,75.0,0.0,0,3,0,0.0,0,3,30,0,78.0,71.1,72.8,78.7,73.1,28.3,13,0,16,15.2,7,46,0,9,80.4,37,54.3,25,93.1,12,0,15.2,7,82,46,5.1,9.1,2.22
Dalton Schultz,47304,TE,HST,1,8.9,1,63.6,50.0,1,2,0,12.5,1,5,13,0,52.1,69.5,66.5,73.4,69.5,66.7,32,0,20,10.4,5,48,0,7,83.3,40,29.2,14,105.5,11,1,4.2,2,53,18,2.6,7.6,1.33
Wan'Dale Robinson,101735,WR,NYG,1,5.7,1,60.0,33.3,1,3,0,25.0,2,4,21,0,32.2,69.5,62.7,,61.0,0.0,0,0,15,0.0,0,44,0,6,95.5,42,50.0,22,77.9,10,0,50.0,22,62,25,4.2,10.3,1.48
Rome Odunze,73774,WR,CHI,1,15.8,1,60.0,,0,0,0,0.0,0,5,6,0,74.6,68.8,73.6,,72.6,0.0,0,0,27,0.0,0,37,0,6,91.9,34,35.1,13,121.3,10,1,64.9,24,86,30,5.0,14.3,2.53
Mack Hollins,11873,WR,NE,1,15.1,0,60.0,100.0,1,1,0,0.0,0,4,19,0,74.6,68.8,77.4,,76.4,3.2,1,1,54,0.0,0,31,0,6,96.8,30,22.6,7,56.7,10,0,74.2,23,106,17,2.8,17.7,3.53
Jauan Jennings,48027,WR,SF,1,10.7,1,66.7,66.7,4,6,0,0.0,0,4,28,1,74.6,16.9,68.2,62.4,69.7,0.0,0,0,22,2.6,1,38,1,6,89.5,34,26.3,10,127.5,9,1,73.7,28,71,7,1.2,11.8,2.09
George Kittle,11901,TE,SF,1,5.8,2,100.0,100.0,3,3,1,0.0,0,4,28,0,77.3,70.6,81.5,73.6,85.5,44.7,17,0,20,10.5,4,38,1,9,84.2,32,44.7,17,142.6,9,1,10.5,4,84,32,3.6,9.3,2.63
Tyler Warren,129798,TE,IND,1,4.3,2,88.9,50.0,1,2,0,0.0,0,4,14,0,76.5,70.1,74.4,72.6,85.1,33.3,12,0,24,5.6,2,36,0,8,88.9,32,55.6,20,112.5,9,0,8.3,3,99,65,8.1,12.4,3.09
Khalil Shakir,84140,WR,BUF,1,6.7,1,77.8,100.0,1,1,0,0.0,0,3,4,0,76.5,71.3,74.4,,73.1,2.5,1,0,24,0.0,0,40,0,7,95.0,38,77.5,31,93.5,9,0,20.0,8,58,13,1.9,8.3,1.53
Christian McCaffrey,11763,HB,SF,1,3.1,1,88.9,50.0,1,2,0,0.0,0,3,28,0,76.5,76.1,64.3,24.1,83.7,5.6,2,1,19,8.3,3,36,0,8,88.9,32,8.3,3,57.6,9,0,2.8,1,66,43,5.4,8.3,2.06
Troy Franklin,146567,WR,DEN,1,14.8,0,55.6,100.0,1,1,0,16.7,1,2,10,0,45.8,68.0,56.9,,56.7,0.0,0,2,18,0.0,0,30,1,5,90.0,27,26.7,8,64.4,9,1,73.3,22,40,22,4.4,8.0,1.48
Quentin Johnston,123085,WR,LAC,1,4.9,4,62.5,0.0,0,1,0,16.7,1,2,27,0,46.3,68.0,61.2,,63.0,0.0,0,0,15,0.0,0,39,0,5,94.9,37,10.3,4,76.0,8,0,89.7,35,42,45,9.0,8.4,1.14
Chris Olave,84355,WR,NO,1,18.4,0,62.5,100.0,2,2,0,0.0,0,3,20,0,73.4,68.0,78.8,,77.8,0.0,0,0,62,0.0,0,27,0,5,96.3,26,48.1,13,145.8,8,1,51.9,14,104,25,5.0,20.8,4.0
Davante Adams,8688,WR,LA,1,16.3,0,75.0,50.0,1,2,0,14.3,1,6,26,0,49.7,68.8,81.4,,79.6,0.0,0,0,23,0.0,0,24,0,6,100.0,24,8.3,2,144.3,8,1,91.7,22,77,10,1.7,12.8,3.21
Theo Johnson,129787,TE,NYG,1,9.6,0,87.5,100.0,1,1,0,0.0,0,3,21,0,75.6,69.5,75.5,57.1,79.2,43.2,19,0,25,18.2,8,44,0,7,79.5,35,40.9,18,105.7,8,0,6.8,3,75,17,2.4,10.7,2.14
Tetairoa McMillan,158735,WR,CAR,1,11.9,0,62.5,0.0,0,1,0,0.0,0,3,5,0,73.4,68.0,68.8,,68.5,0.0,0,1,26,0.0,0,29,0,5,89.7,26,24.1,7,45.8,8,0,75.9,22,60,11,2.2,12.0,2.31
Amon-Ra St. Brown,84470,WR,DET,1,7.0,0,62.5,0.0,0,1,0,16.7,1,4,11,0,45.8,68.0,67.0,,68.4,0.0,0,0,16,0.0,0,27,0,5,96.3,26,59.3,16,124.0,8,1,40.7,11,58,44,8.8,11.6,2.23
Keon Coleman,144949,WR,BUF,1,21.1,0,37.5,0.0,0,1,0,0.0,0,2,4,0,70.5,65.8,61.4,,60.9,0.0,0,0,35,0.0,0,36,0,3,97.2,35,22.2,8,96.9,8,1,77.8,28,46,10,3.3,15.3,1.31
Darnell Mooney,48236,WR,ATL,1,12.0,0,12.5,0.0,0,1,0,50.0,1,1,2,0,28.8,61.2,50.9,,50.4,0.0,0,0,17,0.0,0,32,0,1,90.6,29,43.8,14,39.6,8,0,56.3,18,17,3,3.0,17.0,0.59
Jameson Williams,101701,WR,DET,1,10.3,2,85.7,,0,0,0,14.3,1,6,11,0,49.2,68.8,82.0,,80.6,0.0,0,0,41,0.0,0,33,0,6,97.0,32,12.1,4,158.3,7,1,87.9,29,119,58,9.7,19.8,3.72
Calvin Austin III,61418,WR,PIT,1,10.7,0,28.6,,0,0,0,50.0,2,0,25,0,27.3,64.0,37.2,,38.9,0.0,0,1,8,0.0,0,31,0,2,96.8,30,45.2,14,0.0,7,0,54.8,17,14,2,1.0,7.0,0.47
Jaylen Waddle,84088,WR,MIA,1,22.9,0,71.4,50.0,1,2,0,0.0,0,3,17,0,73.4,68.0,85.1,,84.5,0.0,0,2,38,0.0,0,19,0,5,100.0,19,10.5,2,111.6,7,1,89.5,17,84,5,1.0,16.8,4.42
Alec Pierce,78038,WR,IND,1,20.0,1,57.1,100.0,1,1,0,0.0,0,4,14,0,72.1,67.0,79.1,,75.6,0.0,0,1,37,0.0,0,39,0,4,92.3,36,15.4,6,99.7,7,1,84.6,33,84,14,3.5,21.0,2.33
Harold Fannin Jr.,163104,TE,CLV,1,6.1,0,57.1,50.0,1,2,0,0.0,0,2,8,0,72.1,67.0,60.1,66.3,63.5,34.3,12,0,24,2.9,1,35,1,4,94.3,33,51.4,18,75.9,7,0,14.3,5,44,9,2.3,11.0,1.33
Stefon Diggs,9579,WR,NE,1,12.7,0,71.4,100.0,1,1,0,0.0,0,3,19,0,73.4,69.5,79.6,,77.8,0.0,0,0,19,0.0,0,29,0,5,96.6,28,51.7,15,128.6,7,1,48.3,14,46,7,1.4,9.2,1.64
D.K. Metcalf,47864,WR,PIT,1,15.0,0,42.9,0.0,0,1,0,0.0,0,2,25,0,70.5,65.8,61.6,,61.0,0.0,0,1,19,0.0,0,34,0,3,97.1,33,17.6,6,19.0,7,0,82.4,28,35,10,3.3,11.7,1.06
D'Andre Swift,57212,HB,CHI,1,2.1,0,71.4,,0,0,0,16.7,1,1,6,0,45.8,75.8,60.3,19.6,49.2,3.6,1,0,10,7.1,2,28,0,5,82.1,23,7.1,2,74.1,7,0,14.3,4,18,19,3.8,3.6,0.78
Drake London,86519,WR,ATL,1,12.4,0,85.7,,0,0,0,0.0,0,6,2,0,75.6,69.5,85.5,62.4,87.8,0.0,0,0,30,2.9,1,34,0,6,88.2,30,26.5,9,158.3,7,1,73.5,25,104,23,3.8,17.3,3.47
Jayden Higgins,150240,WR,HST,1,14.1,0,71.4,66.7,2,3,0,0.0,0,3,13,0,73.4,68.0,79.2,,78.3,3.6,1,0,12,0.0,0,28,0,5,92.9,26,25.0,7,126.2,7,1,71.4,20,42,6,1.2,8.4,1.62
Michael Wilson,84423,WR,ARZ,1,5.4,0,57.1,66.7,2,3,0,20.0,1,1,1,0,41.6,67.0,54.7,,54.8,0.0,0,0,15,0.0,0,54,0,4,94.4,51,38.9,21,69.9,7,0,61.1,33,34,12,3.0,8.5,0.67
DeVonta Smith,61100,WR,PHI,1,11.9,0,57.1,100.0,1,1,0,0.0,0,3,24,0,72.1,67.0,72.3,,72.0,0.0,0,0,36,0.0,0,29,0,4,100.0,29,37.9,11,130.4,7,1,62.1,18,69,13,3.3,17.3,2.38
Zay Flowers,97268,WR,BLT,1,3.5,0,66.7,,0,0,0,20.0,1,3,3,0,42.1,19.8,71.0,,74.8,0.0,0,0,27,0.0,0,33,0,4,87.9,29,30.3,10,109.7,6,0,69.7,23,75,45,11.3,18.8,2.59
De'Von Achane,124305,HB,MIA,1,-1.2,4,100.0,,0,0,0,0.0,0,3,17,0,74.6,78.2,85.5,75.1,90.5,0.0,0,0,15,9.5,2,21,0,6,90.5,19,28.6,6,102.1,6,0,4.8,1,51,58,9.7,8.5,2.68
Ladd McConkey,124030,WR,LAC,1,12.2,0,66.7,100.0,1,1,0,0.0,0,4,27,0,72.1,67.0,71.3,38.3,74.5,0.0,0,0,58,2.7,1,37,0,4,91.9,34,64.9,24,149.3,6,1,35.1,13,107,62,15.5,26.8,3.15
Jordan Addison,123000,WR,MIN,1,11.2,1,50.0,33.3,1,3,0,0.0,0,1,18,0,70.5,65.8,55.3,,55.1,0.0,0,0,26,0.0,0,51,0,3,92.2,47,17.6,9,68.1,6,0,82.4,42,35,12,4.0,11.7,0.74
Josh Jacobs,45953,HB,GB,1,-0.8,2,83.3,,0,0,0,0.0,0,1,12,0,73.4,27.2,62.1,27.7,81.8,11.1,3,0,9,7.4,2,27,0,5,92.6,25,0.0,0,89.6,6,0,0.0,0,33,38,7.6,6.6,1.32
Puka Nacua,100632,WR,LA,1,4.5,2,83.3,100.0,2,2,0,16.7,1,5,26,0,46.3,68.0,81.6,62.3,80.6,0.0,0,0,22,4.2,1,24,0,5,95.8,23,20.8,5,150.7,6,1,79.2,19,64,48,9.6,12.8,2.78
Dallas Goedert,47272,TE,PHI,1,8.3,0,66.7,0.0,0,2,0,0.0,0,3,24,0,72.1,67.0,65.6,71.1,69.3,53.8,14,0,22,7.7,2,26,0,4,88.5,23,23.1,6,87.5,6,0,19.2,5,43,13,3.3,10.8,1.87
Tyler Lockett,9502,WR,LV,1,4.5,1,83.3,,0,0,0,0.0,0,2,23,0,73.4,68.0,62.4,,65.2,0.0,0,0,19,0.0,0,28,0,5,100.0,28,64.3,18,97.2,6,0,35.7,10,44,19,3.8,8.8,1.57
Dontayvion Wicks,99711,WR,GB,1,10.2,0,66.7,66.7,2,3,1,20.0,1,4,12,0,41.6,67.0,69.4,,69.1,0.0,0,0,20,0.0,0,29,1,4,100.0,29,41.4,12,84.0,6,0,58.6,17,38,3,0.8,9.5,1.31
Jaxon Smith-Njigba,129758,WR,SEA,1,15.7,0,83.3,100.0,2,2,0,0.0,0,4,29,0,73.4,68.0,92.3,,91.7,0.0,0,1,43,0.0,0,13,0,5,84.6,11,15.4,2,118.8,6,1,84.6,11,93,12,2.4,18.6,8.45
