player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Mac Jones,60323,QB,SF,1,77.3,44,49,6.8,2.33,2,1,1.9,67.3,33,0,14,2.9,50,1,0.35,19,28,81.4,66.5,65.0,63.9,2,0,53,0,58.0,7.1,100.9,2.0,1,0,1,0,2,1,1.9,342,7.0
Matthew Stafford,4924,QB,LA,1,71.1,45,47,11.6,2.59,1,2,4.0,63.8,30,0,14,6.3,48,2,0.26,18,26,80.5,80.6,79.2,60.0,0,0,51,0,54.2,7.1,111.0,2.1,1,0,1,0,3,0,0.0,389,8.3
Justin Fields,82118,QB,NYJ,1,85.0,40,46,6.8,2.88,2,1,1.9,69.6,32,0,25,5.9,54,2,0.01,15,22,82.4,77.7,76.8,62.7,2,0,61,0,50.0,20.0,100.2,9.3,5,3,1,1,2,0,0.0,283,6.2
Patrick Mahomes,11765,QB,KC,1,72.5,40,41,9.9,3.15,0,1,2.4,70.7,29,0,13,0.0,46,0,0.13,18,16,80.1,69.1,63.8,80.1,0,1,46,2,67.4,0.0,91.3,0.0,0,5,0,1,1,1,2.2,318,7.8
Jaxson Dart,146409,QB,NYG,1,73.7,38,40,9.0,3.03,1,2,4.8,65.0,26,0,16,7.1,46,2,-0.33,13,21,28.4,60.5,55.2,73.1,0,2,49,1,41.3,6.3,73.1,2.2,1,5,1,0,2,4,8.2,202,5.1
Jake Browning,46401,QB,CIN,1,66.7,39,40,9.1,3.01,1,2,4.8,65.0,26,0,18,0.0,45,0,-0.12,14,7,32.0,38.8,38.1,67.2,0,3,49,1,35.6,11.1,76.1,4.4,2,3,0,0,3,5,10.2,251,6.3
Cam Ward,133244,QB,TEN,1,63.9,36,39,11.1,2.92,0,3,7.5,53.8,21,0,8,8.7,42,2,-0.01,12,31,80.4,68.0,67.7,58.4,1,1,44,0,38.1,25.0,64.6,4.8,2,1,0,2,0,0,0.0,265,6.8
Bo Nix,97790,QB,DEN,1,76.5,34,39,9.8,2.72,0,1,2.4,61.5,24,0,12,7.7,43,2,-0.01,12,10,80.1,70.7,68.8,71.2,3,0,46,2,51.2,16.7,87.8,4.7,2,2,0,2,1,0,0.0,242,6.2
Jalen Hurts,40291,QB,PHI,1,69.7,33,38,12.5,3.29,3,4,9.3,60.5,23,0,16,0.0,45,0,-0.02,11,24,80.6,80.5,79.7,57.8,2,0,50,0,35.6,37.5,100.8,13.3,6,1,0,0,2,0,0.0,280,7.4
Geno Smith,7820,QB,LV,1,71.4,35,36,8.2,2.45,1,1,2.7,69.4,25,0,13,0.0,41,0,-0.21,13,23,79.9,56.0,53.5,67.3,0,2,43,0,48.8,30.8,63.2,9.8,4,1,0,0,0,2,4.7,228,6.3
