player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Aaron Jones,11937,HB,GB,1,18,7,1,49.1,53,0,108,0,0,7,94,174.1,2,5,12,0,7,77.2,64.8,79.6,,50.0,56.1,67.5,60.0,53,0,8,3,26,22,0,0,6,21,0,108,94,5.22,6.0,0.31,11
James Cook,83666,HB,BUF,1,18,3,0,0.0,0,0,61,1,0,3,37,28.0,0,5,4,0,7,77.2,64.5,76.3,,48.1,52.0,67.8,59.7,8,0,21,4,17,20,0,0,5,22,0,61,37,2.06,3.4,1.24,11
Christian McCaffrey,11763,HB,SF,1,17,8,1,39.8,39,0,98,0,2,8,74,181.4,2,5,28,0,4,77.1,65.2,80.9,,81.0,62.4,67.0,59.9,39,0,30,7,40,20,0,0,12,24,2,98,74,4.35,5.8,0.75,12
Isiah Pacheco,83747,HB,KC,1,15,4,1,29.9,29,0,97,0,1,4,64,133.3,3,5,16,0,10,75.9,74.0,75.1,,73.4,62.5,73.6,60.0,29,0,14,1,15,20,0,0,1,16,1,97,64,4.27,6.5,0.93,5
Justice Hill,45865,HB,BLT,1,13,2,0,0.0,0,0,66,0,0,2,34,34.9,2,2,3,0,4,75.5,64.3,76.9,,31.9,71.7,62.3,60.0,14,0,11,2,17,18,0,0,2,15,0,66,34,2.62,5.1,0.65,9
Josh Allen,46601,QB,BUF,1,12,2,0,0.0,0,0,30,0,0,1,18,50.0,1,5,4,1,5,33.1,79.6,0.0,80.9,,,66.7,60.0,18,1,0,0,0,32,42,6,0,6,2,72,38,3.17,6.0,,0
Lamar Jackson,46416,QB,BLT,1,11,3,1,15.0,15,0,52,0,0,1,23,46.9,5,7,3,0,1,78.9,83.9,79.3,72.4,,,85.0,60.0,23,0,0,0,0,39,48,4,0,7,2,100,33,3.0,9.1,,3
Gus Edwards,46027,HB,BLT,1,10,3,0,0.0,0,0,40,0,0,3,31,84.5,0,2,3,0,5,73.6,69.8,73.4,,50.0,61.3,66.8,67.2,9,0,-1,1,5,14,0,0,2,11,0,40,31,3.1,4.0,-0.2,5
David Montgomery,45719,HB,DET,1,10,2,0,0.0,0,0,33,0,0,2,27,41.5,1,1,11,0,2,74.2,49.6,74.9,,24.4,68.0,47.4,60.0,11,1,14,3,23,11,0,0,4,13,0,33,27,2.7,3.3,0.61,8
Rachaad White,131633,HB,TB,1,9,2,1,29.1,16,0,55,1,2,2,38,129.9,3,3,30,0,2,74.0,64.2,77.8,,39.3,58.8,70.5,60.0,16,0,36,4,26,10,0,0,5,13,0,55,38,4.22,6.1,1.38,7
Devin Singletary,40485,HB,HST,1,9,2,1,72.7,16,0,22,0,1,2,18,42.9,1,1,13,0,3,74.3,73.6,76.8,,78.5,87.4,59.9,,16,0,48,5,20,9,0,0,5,14,0,22,18,2.0,2.4,2.4,6
Jahmyr Gibbs,122474,HB,DET,1,9,0,1,41.9,31,0,74,0,1,0,22,18.8,1,2,11,0,4,74.0,84.3,74.5,,74.6,77.7,82.9,,31,0,40,4,15,9,0,0,4,13,1,74,22,2.44,8.2,2.67,5
Ty Johnson,45769,HB,BUF,1,7,3,1,37.5,15,0,28,0,0,3,19,101.8,2,3,4,0,6,71.9,64.8,74.7,,73.4,59.9,70.4,31.2,15,0,14,1,9,11,0,0,1,8,0,40,19,2.71,5.7,1.56,1
