player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Jared Goff,10635,QB,DET,1,75.6,41,43,6.7,2.5,1,1,2.3,69.8,30,0,13,3.2,46,1,0.18,18,11,81.0,67.5,66.0,63.4,0,0,48,0,54.3,15.4,103.5,4.3,2,1,0,1,2,1,2.1,287,6.7
Baker Mayfield,46518,QB,TB,1,76.3,38,41,8.5,2.56,1,4,9.1,63.4,26,0,15,10.3,46,3,0.1,18,30,80.6,76.7,74.9,63.7,0,2,50,0,45.7,26.7,94.5,8.7,4,1,0,2,3,1,2.0,349,8.5
Josh Allen,46601,QB,BUF,1,85.3,34,39,5.4,2.86,2,3,7.7,66.7,26,0,12,10.3,45,3,0.17,13,4,33.1,79.6,80.9,66.7,1,0,45,1,53.3,0.0,86.1,0.0,0,6,0,2,1,2,4.4,186,4.8
Brock Purdy,77672,QB,SF,1,66.7,36,39,7.0,2.58,0,2,5.1,59.0,23,0,18,4.2,43,1,0.13,12,28,80.2,59.7,55.0,72.3,1,0,43,0,48.8,5.6,86.7,2.3,1,2,1,1,1,1,2.3,252,6.5
Jordan Love,40306,QB,GB,1,63.6,33,34,6.2,2.98,0,1,2.6,61.8,21,0,14,0.0,35,0,-0.08,10,12,79.7,54.0,53.7,58.7,0,2,40,0,37.1,0.0,72.4,0.0,0,1,0,1,2,1,2.5,194,5.7
C.J. Stroud,129759,QB,HST,1,71.4,28,33,6.1,3.12,1,1,2.9,57.6,19,0,17,5.0,35,1,-0.11,8,13,78.8,62.3,65.6,54.5,0,0,37,2,28.6,0.0,72.2,0.0,0,2,0,4,0,0,0.0,175,5.3
Patrick Mahomes,11765,QB,KC,1,85.7,21,23,8.5,3.03,0,3,11.5,73.9,17,0,8,5.6,25,1,0.27,13,16,78.0,86.3,82.1,72.2,0,0,28,0,56.0,0.0,131.6,0.0,0,2,0,2,2,0,0.0,215,9.3
Lamar Jackson,46416,QB,BLT,1,81.0,21,22,7.9,3.37,0,1,4.5,72.7,16,0,11,5.9,29,1,0.13,13,3,78.9,83.9,72.4,85.0,0,0,29,0,58.6,27.3,121.8,10.3,3,4,0,1,2,1,3.4,152,6.9
