player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Zach Ertz,7816,TE,WAS,1,7.7,0,73.3,100.0,1,1,0,0.0,0,9,32,0,79.4,71.9,82.0,,81.1,22.6,12,0,21,0.0,0,53,0,11,94.3,50,67.9,36,92.1,15,0,9.4,5,104,29,2.6,9.5,2.08
Dallas Goedert,47272,TE,PHI,1,5.5,1,87.5,0.0,0,1,0,0.0,0,4,24,0,75.6,71.1,87.4,69.6,87.4,51.6,16,0,26,3.2,1,31,0,7,90.3,28,22.6,7,110.9,8,0,25.8,8,85,57,8.1,12.1,3.04
A.J. Brown,48327,WR,PHI,1,11.4,0,75.0,33.3,1,3,0,0.0,0,6,24,0,74.6,68.8,81.4,,83.7,0.0,0,0,31,0.0,0,33,0,6,93.9,31,21.2,7,154.2,8,1,78.8,26,96,33,5.5,16.0,3.1
Xavier Worthy,144718,WR,KC,1,7.1,0,85.7,100.0,1,1,0,0.0,0,6,16,0,74.6,69.8,90.1,,88.7,6.1,2,0,26,0.0,0,33,0,6,93.9,31,39.4,13,156.8,7,1,54.5,18,85,33,5.5,14.2,2.74
Khalil Shakir,84140,WR,BUF,1,4.6,0,85.7,,0,0,0,0.0,0,2,4,0,74.6,70.3,63.2,,67.0,0.0,0,0,24,0.0,0,33,0,6,90.9,30,75.8,25,94.0,7,0,24.2,8,46,26,4.3,7.7,1.53
Austin Ekeler,12164,HB,WAS,1,5.2,0,83.3,,0,0,0,0.0,0,0,32,1,74.6,23.1,44.8,74.0,40.7,0.0,0,0,7,5.6,2,36,0,5,91.7,33,41.7,15,79.2,6,0,5.6,2,17,21,4.2,3.4,0.52
Terry McLaurin,48229,WR,WAS,1,15.5,1,50.0,0.0,0,1,0,0.0,0,2,32,0,70.5,65.8,63.5,,63.0,0.0,0,1,36,0.0,0,54,0,3,96.3,52,9.3,5,79.2,6,1,90.7,49,51,33,11.0,17.0,0.98
Marquise Brown,61568,WR,KC,1,14.6,0,60.0,0.0,0,1,0,25.0,1,2,16,0,36.2,65.8,63.7,,63.2,0.0,0,0,15,0.0,0,27,0,3,96.3,26,29.6,8,81.3,5,0,70.4,19,35,20,6.7,11.7,1.35
Olamide Zaccheaus,44920,WR,WAS,1,1.6,0,80.0,,0,0,0,20.0,1,3,32,0,45.8,68.0,59.3,,59.5,0.0,0,0,8,0.0,0,40,0,4,95.0,38,72.5,29,88.3,5,0,27.5,11,26,14,3.5,6.5,0.68
Dyami Brown,77986,WR,WAS,1,10.6,1,60.0,0.0,0,1,0,0.0,0,2,32,1,70.5,13.9,51.7,,51.7,0.0,0,0,24,0.0,0,44,0,3,97.7,43,13.6,6,87.1,5,0,86.4,38,42,16,5.3,14.0,0.98
