slice,position,line_bucket,bets,wins,pushes,hit_rate,profit_units,roi,avg_line,avg_projection,avg_edge_yards,avg_ev_percent,avg_actual,avg_actual_minus_line,avg_projection_minus_actual,avg_market_odds,avg_over_price,avg_under_price,avg_recommended_prob,avg_implied_prob,avg_probability_edge,calibration_gap,projection_bias,overconfidence_flag,side,fav_status,spread_bucket,total_bucket
position + line_bucket,RB,20-30,42,22,0,0.5238095238095238,1.7763568394002505e-15,4.229421046191072e-17,24.071428571428573,26.569761904761908,2.892142857142857,5.854545454545463,25.047619047619047,0.9761904761904762,1.522142857142857,-110.0,-110.0,-110.0,0.5544761904761906,0.523809523809524,0.03066666666666666,0.03066666666666673,projection_high,False,,,,
position + line_bucket,RB,30-40,8,4,0,0.5,-0.3636363636363633,-0.045454545454545414,31.375,33.02,2.3500000000000005,5.8590909090909165,37.0,5.625,-3.9799999999999995,-110.0,-110.0,-110.0,0.5545,0.5238095238095238,0.030690476190476185,0.05449999999999999,projection_low,False,,,,
position + line_bucket,RB,<20,42,19,0,0.4523809523809524,-5.727272727272726,-0.13636363636363633,17.095238095238095,19.78857142857143,2.763809523809524,6.221129663986812,20.071428571428573,2.9761904761904763,-0.2828571428571423,-104.88095238095238,-104.88095238095238,-110.4047619047619,0.5554761904761906,0.5229660970079089,0.03251009346828161,0.10309523809523818,projection_low,True,,,,
position + line_bucket,TE,20-30,51,27,0,0.5294117647058824,0.5622895622895641,0.011025285535089491,24.970588235294116,28.692549019607846,4.399607843137256,6.6264959679295945,31.254901960784313,6.284313725490196,-2.5623529411764707,-110.19607843137256,-110.19607843137256,-105.92156862745098,0.5589803921568628,0.5242244506950391,0.0347559414618238,0.029568627450980434,projection_low,False,,,,
position + line_bucket,TE,30-40,30,15,0,0.5,-1.3636363636363624,-0.045454545454545414,33.96666666666667,38.33666666666666,4.697333333333333,6.438181818181819,39.4,5.433333333333334,-1.0633333333333335,-110.0,-110.0,-110.0,0.5575333333333334,0.5238095238095238,0.033723809523809496,0.057533333333333436,projection_low,True,,,,
position + line_bucket,TE,40-50,33,14,0,0.42424242424242425,-6.272727272727272,-0.19008264462809915,44.166666666666664,47.370000000000005,3.4396969696969704,5.2892561983471165,42.03030303030303,-2.1363636363636362,5.339696969696969,-110.0,-110.0,-110.0,0.5515151515151516,0.5238095238095238,0.027705627705627706,0.12727272727272737,projection_high,True,,,,
position + line_bucket,TE,50-60,11,6,0,0.5454545454545454,0.45454545454545503,0.04132231404958682,53.86363636363637,57.303636363636365,4.698181818181818,6.388429752066123,61.36363636363637,7.5,-4.0600000000000005,-110.0,-110.0,-110.0,0.5572727272727273,0.5238095238095238,0.033463203463203445,0.011818181818181839,projection_low,False,,,,
position + line_bucket,TE,60+,5,2,0,0.4,-1.1818181818181817,-0.23636363636363633,64.1,65.702,3.569999999999999,5.305454545454554,61.8,-2.3,3.9019999999999984,-110.0,-110.0,-110.0,0.5516,0.5238095238095238,0.02779047619047619,0.15159999999999996,projection_high,False,,,,
position + line_bucket,TE,<20,13,8,0,0.6153846153846154,2.3160173160173168,0.1781551781551782,18.192307692307693,22.423846153846153,4.231538461538461,7.644955044955045,29.384615384615383,11.192307692307692,-6.960769230769231,-109.61538461538461,-109.61538461538461,-110.38461538461539,0.5629230769230769,0.522916108281962,0.040006968641114936,-0.05246153846153856,projection_low,False,,,,
position + line_bucket,WR,20-30,86,51,0,0.5930232558139535,11.36363636363637,0.13213530655391129,25.348837209302324,29.843720930232564,4.812093023255813,6.110218463706842,33.325581395348834,7.976744186046512,-3.48186046511628,-109.88372093023256,-109.88372093023256,-110.11627906976744,0.5555348837209304,0.5235394214407262,0.03199546228020419,-0.03748837209302314,projection_low,False,,,,
