split_name,sample_type,policy_name,filter_definition,bets,removed_bets,wins,pushes,hit_rate,profit_units,roi,avg_line,avg_projection,avg_actual,avg_projection_minus_actual,avg_actual_minus_line,avg_edge_yards,avg_ev_percent,avg_recommended_prob,calibration_gap
full_season,full,1_baseline,Keep all current receiving-yards settled bets.,659,0,334,0,0.5068285280728376,-21.30351130351128,-0.032327027774675686,39.47572078907435,43.91790591805766,43.61760242792109,0.3003034901365707,4.141881638846738,4.796115326251897,6.166808145475859,0.5560910470409711,0.049262518968133495
full_season,full,2_exclude_high_line_favorite_wr_overs,"Exclude overs where position == WR, team is favorite, and line >= 50.",568,91,299,0,0.5264084507042254,2.878306878306903,0.0050674416871600405,35.72007042253521,39.885739436619716,41.191901408450704,-1.306161971830986,5.471830985915493,4.576302816901409,6.173482935477862,0.556056338028169,0.029647887323943634
full_season,full,3_exclude_mid_total_overs,Exclude overs where 42 <= game_total < 47.,375,284,196,0,0.5226666666666666,-0.8013468013467868,-0.0021369248035914314,39.26,43.416666666666664,43.97866666666667,-0.5619999999999997,4.718666666666667,4.77864,6.166338167215251,0.556128,0.03346133333333334
full_season,full,4_combined,Exclude high-line favorite WR overs and overs where 42 <= game_total < 47.,323,336,177,0,0.5479876160990712,14.92592592592594,0.046210296984290834,35.55572755417957,39.35470588235294,41.628482972136226,-2.273777089783281,6.072755417956657,4.52108359133127,6.2309806006400486,0.5563529411764707,0.00836532507739951
weeks_1_9_vs_10_18,train,1_baseline,Keep all current receiving-yards settled bets.,355,0,165,0,0.4647887323943662,-39.999999999999986,-0.11267605633802813,39.46338028169014,44.13667605633803,41.83661971830986,2.300056338028169,2.3732394366197185,4.954760563380282,6.210767476193481,0.5563605633802817,0.09157183098591554
weeks_1_9_vs_10_18,train,2_exclude_high_line_favorite_wr_overs,"Exclude overs where position == WR, team is favorite, and line >= 50.",301,54,145,0,0.48172757475083056,-24.181818181818166,-0.08033826638477796,35.31395348837209,39.626079734219275,39.23920265780731,0.3868770764119601,3.925249169435216,4.6440863787375415,6.202372947931475,0.5562259136212625,0.07449833887043195
weeks_1_9_vs_10_18,train,3_exclude_mid_total_overs,Exclude overs where 42 <= game_total < 47.,207,148,102,0,0.4927536231884058,-12.272727272727263,-0.059288537549407064,38.48067632850242,42.92956521739129,42.265700483091784,0.6638647342995169,3.785024154589372,4.931594202898552,6.296350533128871,0.5568019323671499,0.0640483091787441
weeks_1_9_vs_10_18,train,4_combined,Exclude high-line favorite WR overs and overs where 42 <= game_total < 47.,179,176,91,0,0.5083798882681564,-5.272727272727265,-0.029456576942610422,34.79608938547486,38.83715083798883,39.89385474860335,-1.056703910614525,5.097765363128492,4.599273743016759,6.315997968511941,0.5567486033519554,0.04836871508379903
weeks_1_9_vs_10_18,test,1_baseline,Keep all current receiving-yards settled bets.,304,0,169,0,0.555921052631579,18.69648869648871,0.06150160755423918,39.49013157894737,43.66243421052632,45.69736842105263,-2.034934210526316,6.207236842105263,4.610855263157895,6.115474058618108,0.5557763157894736,-0.00014473684210536408
weeks_1_9_vs_10_18,test,2_exclude_high_line_favorite_wr_overs,"Exclude overs where position == WR, team is favorite, and line >= 50.",267,37,154,0,0.5767790262172284,27.060125060125074,0.10134878299672312,36.17790262172284,40.17846441947566,43.39325842696629,-3.2147940074906365,7.215355805243446,4.499887640449439,6.140914045033902,0.5558651685393259,-0.020913857677902548
