slice,ev_bucket,bets,wins,pushes,hit_rate,profit_units,roi,avg_line,avg_projection,avg_edge_yards,avg_ev_percent,avg_actual,avg_actual_minus_line,avg_projection_minus_actual,avg_market_odds,avg_over_price,avg_under_price,avg_recommended_prob,avg_implied_prob,avg_probability_edge,calibration_gap,projection_bias,overconfidence_flag
ev_bucket,2-5,222,108,0,0.4864864864864865,-15.758056758056746,-0.07098223764890427,39.9954954954955,43.23490990990991,3.7447297297297295,3.4459255792589234,44.608108108108105,4.612612612612613,-1.3731981981981989,-109.94594594594595,-109.94594594594595,-110.05405405405405,0.5417297297297299,0.523684264537923,0.01804546519180667,0.05524324324324337,projection_low,True
ev_bucket,5-10,437,226,0,0.517162471395881,-5.545454545454525,-0.012689827335136215,39.2116704805492,44.26487414187643,5.330228832951946,7.549041394217642,43.11441647597254,3.902745995423341,1.1504576659038903,-109.56064073226544,-109.56064073226544,-109.08009153318078,0.5633867276887872,0.5238400558015563,0.03954667188723079,0.04622425629290616,projection_high,False
