experiment,filter_definition,bets_removed,bets,wins,pushes,hit_rate,profit_units,roi,avg_line,avg_projection,avg_edge_yards,avg_ev_percent,avg_recommended_prob,avg_actual,avg_projection_minus_actual,calibration_gap
baseline,Keep all current receiving-yards backtest bets.,0,659,334,0,0.5068285280728376,-21.30351130351128,-0.032327027774675686,39.47572078907435,43.91790591805766,4.796115326251897,6.166808145475859,0.5560910470409711,43.61760242792109,0.3003034901365707,0.049262518968133495
remove_high_line_over_50_60,Exclude overs where 50 <= line < 60.,74,585,300,0,0.5128205128205128,-12.212602212602185,-0.020876243098465273,37.564957264957265,41.77524786324787,4.608991452991454,6.1777951118570495,0.5561299145299146,42.052991452991456,-0.2777435897435897,0.043309401709401785
remove_wr_high_line_over_50_60,Exclude WR overs where 50 <= line < 60.,64,595,306,0,0.5142857142857142,-10.758056758056732,-0.01808076766059955,37.83613445378151,42.05089075630252,4.606756302521008,6.182385262765488,0.5561546218487394,42.35126050420168,-0.3003697478991596,0.04186890756302519
remove_favorite_3_to_7_overs,Exclude overs where -7 <= team_spread < -3 (favorite by 3 to 7).,158,501,258,0,0.5149700598802395,-8.394420394420372,-0.016755330128583577,38.80139720558882,43.031676646706586,4.695828343313374,6.160989166063064,0.5561037924151697,43.153692614770456,-0.12201596806387276,0.041133732534930245
remove_mid_total_overs,Exclude overs where 42 <= game_total < 47.,284,375,196,0,0.5226666666666666,-0.8013468013467868,-0.0021369248035914314,39.26,43.416666666666664,4.77864,6.166338167215251,0.556128,43.97866666666667,-0.5619999999999997,0.03346133333333334
remove_edge_5_to_7_5,Exclude all bets where 5 <= edge_yards < 7.5.,227,432,225,0,0.5208333333333334,-2.3944203944203775,-0.005542639801899022,37.69444444444444,41.48509259259259,4.148194444444444,5.820816788902711,0.5541805555555556,41.36805555555556,0.11703703703703677,0.033347222222222195
conservative_combined_filter,"Exclude WR overs at 50-60, favorite 3-to-7 overs, and overs with edge 5-7.5.",341,318,168,0,0.5283018867924528,2.787397787397806,0.008765401847162912,36.4811320754717,39.59157232704402,3.843899371069183,5.765105897222618,0.5539245283018869,40.229559748427675,-0.6379874213836478,0.025622641509434052
positive_segment_only_diagnostic,"Keep line 20-30, edge 7.5-10, unders, or favorite 7+.",366,293,159,0,0.5426621160409556,10.562289562289575,0.03604876983716578,34.97098976109215,39.155563139931736,4.963686006825938,6.272082242820233,0.5567576791808874,39.430034129692835,-0.274470989761092,0.014095563139931766
