slice,total_bucket,bets,wins,pushes,hit_rate,profit_units,roi,avg_line,avg_projection,avg_edge_yards,avg_ev_percent,avg_actual,avg_actual_minus_line,avg_projection_minus_actual,avg_market_odds,avg_over_price,avg_under_price,avg_recommended_prob,avg_implied_prob,avg_probability_edge,calibration_gap,projection_bias,overconfidence_flag
total_bucket,high_total_47_plus,183,92,0,0.5027322404371585,-7.363636363636355,-0.040238450074515604,42.29234972677595,46.58071038251365,4.724863387978142,6.079324740066765,46.32786885245902,4.03551912568306,0.2528415300546449,-110.02185792349727,-110.02185792349727,-109.97814207650273,0.555704918032787,0.5238581618235365,0.031846756209250454,0.052972677595628515,projection_high,True
total_bucket,low_total_<42,174,92,0,0.5287356321839081,1.653198653198661,0.009501141685049777,35.5919540229885,40.35086206896552,4.990747126436782,6.3697305318748745,41.7183908045977,6.126436781609195,-1.367528735632184,-108.85057471264368,-108.85057471264368,-108.8735632183908,0.55716091954023,0.5237943039667178,0.033366615573512115,0.028425287356321882,projection_low,False
total_bucket,mid_total_42_47,302,150,0,0.4966887417218543,-15.59307359307358,-0.051632694016799936,40.00662251655629,44.35953642384106,4.727152317880795,6.102904065861406,43.06953642384106,3.062913907284768,1.29,-109.97350993377484,-109.97350993377484,-109.37086092715232,0.5557086092715232,0.5237409225456391,0.0319676867258841,0.059019867549668925,projection_high,True
