edge_bucket,bets,hit_rate,profit_units,avg_profit,avg_ev_percent,avg_edge_yards
0-2.5,97,0.4845360824742268,-7.212602212602214,-0.07435672384125994,4.436281320817414,1.6270103092783506
2.5-5,261,0.5287356321839081,2.4545454545454506,0.009404388714733527,5.874747474747482,3.800421455938697
5-7.5,227,0.4801762114537445,-18.90909090909091,-0.08329995995194234,6.825258656663525,6.029162995594715
7.5-10,65,0.5692307692307692,5.636363636363635,0.0867132867132867,7.367858807858812,8.399692307692307
10-15,9,0.3333333333333333,-3.2727272727272725,-0.3636363636363636,8.005961251862894,10.70111111111111
