player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Drake London,86519,WR,ATL,1,10.9,2,71.4,50.0,1,2,0,0.0,0,7,2,0,78.0,71.1,85.6,,85.7,0.0,0,0,39,0.0,0,38,0,10,92.1,35,28.9,11,132.4,14,1,71.1,27,158,63,6.3,15.8,4.51
Jerry Jeudy,61103,WR,CLV,1,10.2,0,38.5,33.3,1,3,1,28.6,2,4,8,0,29.7,68.8,60.4,,63.5,0.0,0,0,12,0.0,0,59,2,5,88.1,52,20.3,12,47.9,13,0,79.7,47,43,16,3.2,8.6,0.83
Jaxon Smith-Njigba,129758,WR,SEA,1,14.3,0,66.7,0.0,0,2,0,11.1,1,6,29,0,54.5,70.1,90.6,,90.9,0.0,0,0,61,0.0,0,28,1,8,100.0,28,7.1,2,137.5,12,1,89.3,25,162,37,4.6,20.3,5.79
Ja'Marr Chase,84270,WR,CIN,1,8.9,0,83.3,75.0,3,4,0,0.0,0,5,7,0,78.7,72.1,78.8,,78.9,0.0,0,0,19,0.0,0,49,0,10,93.9,46,22.4,11,127.1,12,1,77.6,38,94,19,1.9,9.4,2.04
George Pickens,99229,WR,DAL,1,10.9,3,81.8,,0,0,0,0.0,0,7,9,0,77.3,70.6,91.1,,90.4,0.0,0,0,45,0.0,0,33,0,9,93.9,31,30.3,10,149.1,11,1,69.7,23,168,89,9.9,18.7,5.42
Dallas Goedert,47272,TE,PHI,1,9.5,0,81.8,0.0,0,2,0,0.0,0,6,24,0,77.3,70.6,86.5,72.9,85.2,41.2,14,0,36,5.9,2,34,0,9,91.2,31,32.4,11,138.6,11,1,26.5,9,110,22,2.4,12.2,3.55
Trey McBride,75916,TE,ARZ,1,9.3,1,72.7,75.0,3,4,0,0.0,0,4,1,0,76.5,70.1,77.2,72.2,78.3,35.6,16,0,26,4.4,2,45,1,8,91.1,41,51.1,23,120.3,11,1,13.3,6,72,23,2.9,9.0,1.76
Brian Thomas Jr.,146760,WR,JAX,1,10.5,1,80.0,100.0,3,3,0,11.1,1,5,15,0,56.7,70.6,76.5,,75.4,0.0,0,0,22,0.0,0,46,0,8,93.5,43,17.4,8,137.5,10,1,82.6,38,90,22,2.8,11.3,2.09
Harold Fannin Jr.,163104,TE,CLV,1,6.6,4,70.0,50.0,1,2,0,12.5,1,3,8,0,52.1,69.5,67.2,33.4,69.1,20.8,11,0,24,5.7,3,53,0,7,84.9,45,64.2,34,94.2,10,0,15.1,8,81,46,6.6,11.6,1.8
Zay Flowers,97268,WR,BLT,1,8.3,3,60.0,50.0,2,4,0,0.0,0,2,3,1,74.6,16.9,50.3,,56.2,0.0,0,1,18,0.0,0,40,0,6,95.0,38,20.0,8,31.7,10,0,80.0,32,46,29,4.8,7.7,1.21
Chris Olave,84355,WR,NO,1,12.1,1,60.0,0.0,0,2,0,14.3,1,3,20,0,52.1,69.5,68.1,,68.0,0.0,0,0,53,0.0,0,33,0,6,84.8,28,63.6,21,92.9,10,0,36.4,12,98,31,5.2,16.3,3.5
Amon-Ra St. Brown,84470,WR,DET,1,3.3,0,90.0,100.0,1,1,0,10.0,1,3,11,1,56.7,23.5,56.1,,57.5,0.0,0,0,12,0.0,0,31,0,9,96.8,30,48.4,15,85.4,10,0,51.6,16,45,18,2.0,5.0,1.5
A.J. Brown,48327,WR,PHI,1,11.7,0,66.7,100.0,1,1,0,0.0,0,3,24,0,74.6,68.8,81.1,,79.9,0.0,0,0,30,0.0,0,38,0,6,97.4,37,18.4,7,94.7,9,0,81.6,31,80,12,2.0,13.3,2.16
Tyler Warren,129798,TE,IND,1,6.2,1,66.7,50.0,1,2,0,14.3,1,4,14,0,49.2,68.8,71.2,73.7,71.7,46.7,14,0,23,10.0,3,30,0,6,90.0,27,30.0,9,123.8,9,1,20.0,6,63,40,6.7,10.5,2.33
D.K. Metcalf,47864,WR,PIT,1,17.1,0,44.4,33.3,1,3,0,0.0,0,4,25,0,72.1,67.0,79.0,,81.3,0.0,0,0,25,0.0,0,28,1,4,100.0,28,25.0,7,120.1,9,1,75.0,21,95,33,8.3,23.8,3.39
Kendrick Bourne,12270,WR,SF,1,16.0,0,55.6,50.0,2,4,0,0.0,0,4,28,0,73.4,68.0,75.4,,77.7,0.0,0,1,56,0.0,0,41,1,5,97.6,40,12.2,5,60.9,9,0,87.8,36,142,59,11.8,28.4,3.55
Davante Adams,8688,WR,LA,1,12.1,0,44.4,0.0,0,1,0,20.0,1,3,26,0,41.6,67.0,62.4,,61.9,0.0,0,0,21,0.0,0,28,0,4,96.4,27,7.1,2,57.2,9,0,92.9,26,39,4,1.0,9.8,1.44
Romeo Doubs,84329,WR,GB,1,9.8,1,55.6,25.0,1,4,0,0.0,0,4,12,0,73.4,71.1,72.1,,71.1,0.0,0,1,21,0.0,0,31,0,5,96.8,30,19.4,6,34.3,9,0,80.6,25,55,11,2.2,11.0,1.83
Jaylen Waddle,84088,WR,MIA,1,14.4,1,75.0,66.7,2,3,0,14.3,1,4,17,0,49.2,69.5,76.3,,75.1,0.0,0,1,45,0.0,0,33,0,6,87.9,29,12.1,4,74.5,8,0,87.9,29,95,8,1.3,15.8,3.28
