position,avg_taken_round1,min,max
EDGE,7.1116,5,9
OT,5.724,4,7
WR,5.474,3,6
CB,3.5346,2,6
S,2.7618,1,3
DT,2.074260414570336,1,4
LB,1.2924,1,3
IOL,1.0613682092555332,1,3
QB,1.0442,1,2
RB,1.0026,1,2
TE,1.0,1,1
