position,avg_taken_round1,min,max
EDGE,7.112,4,9
OT,5.6794,3,7
WR,5.3772,3,6
CB,3.6032,2,6
S,2.6904,1,3
DT,2.1005227181342985,1,4
LB,1.3086,1,3
QB,1.1446,1,3
IOL,1.119611414693382,1,3
RB,1.0044008801760351,1,2
TE,1.0,1,1
