team,position,count,probability
ARI,EDGE,3502,0.7004
ARI,OT,914,0.1828
ARI,LB,473,0.0946
ARI,RB,69,0.0138
ARI,WR,21,0.0042
ARI,CB,19,0.0038
ARI,S,2,0.0004
BAL,WR,1843,0.3686
BAL,IOL,1196,0.2392
BAL,TE,902,0.1804
BAL,OT,434,0.0868
BAL,EDGE,273,0.0546
BAL,RB,143,0.0286
BAL,CB,94,0.0188
BAL,S,92,0.0184
BAL,DT,14,0.0028
BAL,LB,8,0.0016
BAL,QB,1,0.0002
BUF,WR,2015,0.403
BUF,EDGE,1824,0.3648
BUF,S,352,0.0704
BUF,DT,313,0.0626
BUF,IOL,246,0.0492
BUF,LB,106,0.0212
BUF,OT,82,0.0164
BUF,CB,34,0.0068
BUF,TE,26,0.0052
BUF,QB,2,0.0004
CAR,EDGE,1462,0.2924
CAR,TE,1212,0.2424
CAR,DT,909,0.1818
CAR,OT,662,0.1324
CAR,WR,492,0.0984
CAR,CB,126,0.0252
CAR,S,63,0.0126
CAR,IOL,49,0.0098
CAR,LB,16,0.0032
CAR,RB,9,0.0018
CHI,DT,2837,0.5674
CHI,S,1604,0.3208
CHI,CB,131,0.0262
CHI,WR,127,0.0254
CHI,EDGE,91,0.0182
CHI,OT,91,0.0182
CHI,LB,54,0.0108
CHI,TE,40,0.008
CHI,IOL,24,0.0048
CHI,QB,1,0.0002
CIN,S,2500,0.5
CIN,LB,1093,0.2186
CIN,OT,516,0.1032
CIN,RB,238,0.0476
CIN,IOL,188,0.0376
CIN,WR,182,0.0364
CIN,CB,179,0.0358
CIN,EDGE,92,0.0184
CIN,TE,12,0.0024
CLE,WR,4434,0.8868
CLE,OT,3971,0.7942
CLE,EDGE,416,0.0832
CLE,IOL,328,0.0656
CLE,S,172,0.0344
CLE,LB,165,0.033
CLE,CB,142,0.0284
CLE,DT,125,0.025
CLE,RB,122,0.0244
CLE,TE,77,0.0154
CLE,QB,48,0.0096
DAL,CB,3976,0.7952
DAL,EDGE,2097,0.4194
DAL,S,1355,0.271
DAL,OT,798,0.1596
DAL,LB,674,0.1348
DAL,DT,446,0.0892
DAL,WR,284,0.0568
DAL,RB,176,0.0352
DAL,IOL,105,0.021
DAL,TE,89,0.0178
DET,OT,4205,0.841
DET,DT,313,0.0626
DET,EDGE,215,0.043
DET,S,81,0.0162
DET,TE,48,0.0096
DET,CB,39,0.0078
DET,IOL,32,0.0064
DET,RB,32,0.0064
DET,WR,28,0.0056
DET,LB,7,0.0014
HOU,DT,2351,0.4702
HOU,OT,1883,0.3766
HOU,IOL,208,0.0416
HOU,WR,153,0.0306
HOU,EDGE,111,0.0222
HOU,CB,89,0.0178
HOU,LB,79,0.0158
HOU,S,64,0.0128
HOU,TE,56,0.0112
HOU,QB,6,0.0012
KC,EDGE,2709,0.5418
KC,CB,2329,0.4658
KC,OT,2122,0.4244
KC,WR,1626,0.3252
KC,S,851,0.1702
KC,LB,134,0.0268
KC,RB,103,0.0206
KC,DT,67,0.0134
KC,TE,42,0.0084
KC,IOL,14,0.0028
KC,QB,3,0.0006
LAC,EDGE,1694,0.3388
LAC,DT,1096,0.2192
LAC,WR,775,0.155
LAC,IOL,661,0.1322
LAC,S,526,0.1052
LAC,OT,149,0.0298
LAC,CB,46,0.0092
LAC,TE,31,0.0062
LAC,LB,21,0.0042
LAC,RB,1,0.0002
LAR,OT,2377,0.4754
LAR,WR,2299,0.4598
LAR,RB,94,0.0188
LAR,CB,53,0.0106
LAR,S,50,0.01
LAR,EDGE,41,0.0082
LAR,IOL,28,0.0056
LAR,LB,28,0.0056
LAR,TE,28,0.0056
LAR,DT,1,0.0002
LAR,QB,1,0.0002
LV,QB,5000,1.0
MIA,WR,3566,0.7132
MIA,CB,2523,0.5046
MIA,EDGE,1468,0.2936
MIA,S,697,0.1394
MIA,TE,553,0.1106
MIA,IOL,469,0.0938
MIA,OT,324,0.0648
MIA,DT,140,0.028
MIA,LB,134,0.0268
MIA,RB,109,0.0218
MIA,QB,17,0.0034
MIN,S,3133,0.6266
MIN,CB,990,0.198
MIN,DT,331,0.0662
MIN,OT,187,0.0374
MIN,EDGE,114,0.0228
MIN,RB,114,0.0228
MIN,TE,53,0.0106
MIN,IOL,39,0.0078
MIN,WR,35,0.007
MIN,LB,4,0.0008
NE,EDGE,1852,0.3704
NE,DT,1127,0.2254
NE,OT,791,0.1582
NE,WR,715,0.143
NE,TE,213,0.0426
NE,LB,162,0.0324
NE,CB,93,0.0186
NE,S,23,0.0046
NE,IOL,12,0.0024
NE,QB,11,0.0022
NE,RB,1,0.0002
NO,CB,1869,0.3738
NO,WR,1390,0.278
NO,EDGE,1194,0.2388
NO,RB,177,0.0354
NO,OT,160,0.032
NO,LB,157,0.0314
NO,S,47,0.0094
NO,TE,4,0.0008
NO,IOL,2,0.0004
NYG,LB,1538,0.3076
NYG,WR,907,0.1814
NYG,OT,879,0.1758
NYG,RB,756,0.1512
NYG,S,756,0.1512
NYG,EDGE,145,0.029
NYG,CB,19,0.0038
NYJ,EDGE,5187,1.0374
NYJ,WR,1331,0.2662
NYJ,CB,994,0.1988
NYJ,IOL,853,0.1706
NYJ,OT,733,0.1466
NYJ,LB,325,0.065
NYJ,S,211,0.0422
NYJ,RB,138,0.0276
NYJ,TE,126,0.0252
NYJ,QB,75,0.015
NYJ,DT,27,0.0054
PHI,OT,1982,0.3964
PHI,EDGE,1211,0.2422
PHI,WR,1092,0.2184
PHI,S,438,0.0876
PHI,TE,196,0.0392
PHI,DT,23,0.0046
PHI,IOL,21,0.0042
