player,position,avg_pick
Fernando Mendoza,QB,1.0
Arvell Reese,LB,3.2568
David Bailey,EDGE,3.4588
Carnell Tate,WR,6.0884
Francis Mauigoa,OT,7.117223444688938
Rueben Bain,EDGE,8.060436261757054
Sonny Styles,LB,9.116960262187629
Mansoor Delane,CB,9.851985559566787
Jeremiyah Love,RB,9.875125476811885
Caleb Downs,S,10.333063537029542
Makai Lemon,WR,11.303646987709048
Jermod McCoy,CB,12.32150821001419
Jordyn Tyson,WR,13.14979674796748
Spencer Fano,OT,15.132669983416251
Monroe Freeling,OT,15.601913477537437
Drew Allar,QB,16.0
Olaivavega Ioane,IOL,16.45298041747364
Dillon Thieneman,S,17.410693970420933
Kenyon Sadiq,TE,17.571641420412217
Keldric Faulk,EDGE,17.59789777411377
Garrett Nussmeier,QB,18.6
Akheem Mesidor,EDGE,18.937827088130625
Kadyn Proctor,OT,19.095446584938703
Omar Cooper Jr.,WR,19.787437513584003
Cole Payton,QB,21.0
Emmanuel McNeil-Warren,S,21.147358216190014
Blake Miller,OT,22.386245994577273
Caleb Lomu,OT,22.878354597448308
Kevin Concepcion,WR,23.387996430165106
Ty Simpson,QB,23.622994652406415
Peter Woods,DT,24.28123559243891
Avieon Terrell,CB,25.101652892561983
Denzel Boston,WR,26.464344551659213
T.J. Parker,EDGE,26.488739714161976
Kayden McDonald,DT,26.5149766419346
Cashius Howell,EDGE,28.7351083032491
Max Iheanachor,OT,28.883586785527005
Caleb Banks,DT,28.897872340425533
Emmanuel Pregnon,IOL,29.425595238095237
C.J. Allen,LB,29.737354085603112
Jadarian Price,RB,29.789473684210527
Chase Bisontis,IOL,30.162361623616235
Jacob Rodriguez,LB,30.22222222222222
Zion Young,EDGE,30.3000723065799
Colton Hood,CB,30.358405415569763
Christen Miller,DT,30.791666666666668
Malachi Lawrence,EDGE,30.80106100795756
Anthony Hill Jr.,LB,31.11111111111111
R Mason Thomas,EDGE,31.153061224489797
Chris Johnson,CB,31.225481209899176
Brandon Cisse,CB,31.42811501597444
Lee Hunter,DT,32.0
