position,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_taken_round1
EDGE,6.5,0.539,-117,0.46099999999999997,+117,6.3834
OT,5.5,0.2498,+300,0.7502,-300,5.9418
WR,5.5,0.3232,+209,0.6768000000000001,-209,5.643
CB,3.5,0.4784,+109,0.5216000000000001,-109,3.5224
S,2.5,0.2906,+244,0.7094,-244,2.6926
LB,2.5,0.894,-843,0.10599999999999998,+843,2.0846
DT,1.5,0.3008,+232,0.6992,-232,1.7738847015685475
IOL,1.5,0.7928,-383,0.20720000000000005,+383,1.1675824175824177
QB,1.5,0.9236,-1209,0.07640000000000002,+1209,1.0764
RB,1.5,0.9886,-8672,0.011399999999999966,+8672,1.0076289901626179
TE,1.5,0.8054,-414,0.1946,+414,1.0
