position,avg_taken_round1,min,max
EDGE,6.3834,3,9
OT,5.9418,3,7
WR,5.643,3,6
CB,3.5224,1,6
S,2.6926,1,3
LB,2.0846,1,4
DT,1.7738847015685475,1,4
IOL,1.1675824175824177,1,3
QB,1.0764,1,2
RB,1.0076289901626179,1,2
TE,1.0,1,1
