player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Caleb Williams,144622,QB,CHI,1,56.8,44,48,11.5,3.29,1,6,12.2,50.0,24,0,20,4.0,53,1,0.12,19,6,34.5,77.3,76.8,58.6,1,2,54,0,45.3,5.0,71.6,1.9,1,3,0,2,2,1,1.9,361,7.5
Jordan Love,40306,QB,GB,1,68.4,38,46,11.3,2.83,0,3,6.5,52.2,24,0,17,7.7,49,2,0.34,16,12,45.4,73.9,72.3,65.9,2,0,49,3,49.0,5.9,103.8,2.0,1,1,0,6,4,1,2.0,323,7.0
Matthew Stafford,4924,QB,LA,1,67.5,40,42,11.7,2.71,0,3,6.7,57.1,24,0,14,11.1,44,3,0.09,16,26,80.4,65.1,63.0,64.7,1,1,47,0,47.7,7.1,93.8,2.3,1,0,0,1,3,2,4.3,304,7.2
Bryce Young,123943,QB,CAR,1,69.7,33,40,9.2,2.94,1,3,7.0,52.5,21,0,20,8.7,44,2,-0.26,13,5,80.2,67.9,63.7,74.7,0,1,47,0,45.5,10.0,71.3,4.5,2,2,0,6,1,1,2.1,264,6.6
Josh Allen,46601,QB,BUF,1,88.2,34,35,7.8,2.67,0,3,8.6,80.0,28,0,15,6.7,39,2,0.29,12,4,80.5,94.0,93.7,70.2,1,0,39,1,53.8,6.7,108.7,2.6,1,3,0,0,1,0,0.0,273,7.8
Jalen Hurts,40291,QB,PHI,1,74.2,31,35,8.8,2.79,0,1,2.8,57.1,20,0,9,13.0,37,3,-0.16,8,24,79.6,65.9,62.5,69.2,0,0,38,0,43.2,11.1,79.2,2.7,1,1,0,4,1,1,2.6,168,4.8
Aaron Rodgers,2241,QB,PIT,1,74.1,27,33,10.1,2.89,2,3,8.8,51.5,17,0,16,15.0,37,3,-0.76,6,25,27.8,57.7,57.3,,0,1,38,1,21.6,25.0,50.8,10.8,4,0,0,4,0,2,5.3,146,4.4
C.J. Stroud,129759,QB,HST,1,70.0,30,32,9.4,2.78,0,3,9.4,65.6,21,0,12,0.0,35,0,0.03,12,13,15.2,56.6,55.9,60.0,1,1,35,0,48.6,25.0,86.7,8.6,3,0,0,1,1,4,11.4,250,7.8
Brock Purdy,77672,QB,SF,1,72.4,29,31,8.3,3.03,0,2,6.5,58.1,18,0,17,14.3,35,3,0.13,13,28,29.4,56.8,61.5,46.9,0,2,36,0,54.3,5.9,80.3,2.9,1,3,0,2,2,2,5.6,262,8.5
Justin Herbert,28237,QB,LAC,1,72.4,29,31,8.4,3.43,1,0,0.0,61.3,19,0,25,9.5,44,2,-0.26,12,27,22.8,29.7,27.5,65.0,0,0,45,1,52.3,24.0,74.5,13.6,6,7,0,1,0,3,6.7,159,5.1
Trevor Lawrence,77632,QB,JAX,1,70.4,27,30,9.6,2.76,2,1,3.1,60.0,18,0,13,5.3,33,1,0.05,12,15,79.2,59.5,57.7,62.9,1,2,35,0,54.5,7.7,86.4,3.0,1,2,0,0,3,2,5.7,207,6.9
Drake Maye,143969,QB,NE,1,76.9,26,29,8.5,2.99,0,1,3.4,58.6,17,0,14,15.0,39,3,0.1,14,19,22.2,64.4,56.7,76.5,0,1,39,0,46.2,35.7,86.6,12.8,5,5,0,3,1,2,5.1,268,9.2
Mason Rudolph,46569,QB,PIT,1,100.0,1,1,0.0,1.2,0,0,0.0,100.0,1,0,0,0.0,1,0,2.82,1,25,60.4,61.4,60.4,,0,0,1,0,100.0,,79.2,0.0,0,0,0,0,0,0,0.0,2,2.0
Efton Chism III,141521,WR,NE,1,0.0,1,1,11.0,4.5,0,0,0.0,0.0,0,0,0,,1,0,-1.42,0,19,68.7,59.7,49.8,,0,0,1,0,0.0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Jauan Jennings,48027,WR,SF,1,100.0,1,1,26.0,4.4,0,0,0.0,100.0,1,0,1,0.0,1,0,3.11,1,28,63.8,60.1,71.0,,0,0,1,0,100.0,0.0,158.3,0.0,0,0,0,0,1,0,0.0,29,29.0
