player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Saquon Barkley,45791,HB,PHI,1,26,4,1,27.4,29,0,106,1,2,4,53,42.2,1,6,24,0,8,79.1,61.8,79.5,,80.8,54.7,62.4,60.0,29,0,25,3,27,29,0,0,4,29,0,106,53,2.04,4.1,0.93,17
Josh Jacobs,45953,HB,GB,1,19,1,0,0.0,0,0,55,0,1,1,41,21.6,1,3,12,0,6,26.6,65.4,77.3,,74.3,56.1,64.9,60.0,13,0,3,1,15,21,0,0,2,20,0,55,41,2.16,2.9,0.2,13
Woody Marks,124179,HB,HST,1,19,2,1,17.9,20,0,112,0,0,2,48,26.6,3,5,13,0,12,77.4,78.7,76.7,,80.8,51.4,79.2,60.0,20,0,0,0,17,23,0,0,1,19,1,112,48,2.53,5.9,0.0,7
Christian McCaffrey,11763,HB,SF,1,15,3,0,0.0,0,0,48,0,0,3,41,39.0,1,1,28,0,2,76.6,57.1,78.9,,68.8,72.8,50.4,60.0,10,0,66,6,32,18,0,0,8,21,0,48,41,2.73,3.2,2.06,13
James Cook,83666,HB,BUF,1,15,0,0,0.0,0,0,46,0,0,0,22,0.0,1,3,4,0,6,76.2,58.7,75.4,,72.4,56.5,59.3,60.0,11,0,5,2,17,20,0,0,2,17,0,46,22,1.47,3.1,0.29,9
Kyren Williams,97118,HB,LA,1,13,1,0,0.0,0,0,57,0,0,1,24,12.3,0,1,26,0,10,75.4,69.5,76.8,,58.6,70.8,68.3,60.0,8,0,18,2,17,15,0,0,2,15,0,57,24,1.85,4.4,1.06,3
Chuba Hubbard,57373,HB,CAR,1,13,2,0,0.0,0,0,46,0,0,2,40,41.0,0,4,5,0,3,75.2,74.4,76.4,,58.5,63.1,76.3,,8,0,13,2,17,13,0,0,3,15,2,46,40,3.08,3.5,0.76,10
D'Andre Swift,57212,HB,CHI,1,13,1,0,0.0,0,0,54,0,1,1,29,29.7,0,1,6,0,3,74.8,76.3,77.8,,79.9,90.3,66.5,,8,0,38,2,23,12,0,0,2,15,1,54,29,2.23,4.2,1.65,9
Jaylen Warren,98692,HB,PIT,1,12,3,0,0.0,0,0,43,0,0,3,30,57.7,2,3,25,0,4,74.5,61.7,74.8,,76.2,57.7,61.4,,12,0,4,1,12,12,0,0,1,13,0,43,30,2.5,3.6,0.33,8
Kimani Vidal,123727,HB,LAC,1,11,1,0,0.0,0,0,31,0,0,1,17,11.9,1,2,27,0,7,74.4,59.0,77.0,,57.7,65.8,53.2,71.4,10,0,20,2,29,14,0,0,3,13,0,31,17,1.55,2.8,0.69,4
Josh Allen,46601,QB,BUF,1,11,0,0,0.0,0,0,18,0,0,0,16,0.0,1,5,4,0,1,80.5,94.0,79.0,93.7,,,70.2,60.0,10,1,0,0,0,24,15,3,0,8,2,33,24,2.18,3.0,,0
Blake Corum,129574,HB,LA,1,11,0,0,0.0,0,0,45,0,1,0,26,18.2,0,1,26,0,4,74.8,64.0,73.7,,83.8,62.8,61.7,60.0,8,0,13,2,8,14,0,0,2,13,0,45,26,2.36,4.1,1.63,7
Travis Etienne Jr.,57185,HB,JAX,1,10,1,1,38.8,26,0,67,0,2,1,40,80.0,2,3,15,0,5,74.7,74.6,75.6,,45.9,70.8,74.3,60.0,26,0,49,5,14,13,0,0,5,15,0,67,40,4.0,6.7,3.5,5
Drake Maye,143969,QB,NE,1,10,2,0,0.0,0,0,6,0,0,0,7,0.0,1,4,19,2,0,22.2,64.4,78.9,56.7,,60.0,76.5,60.0,37,0,0,0,1,24,60,5,1,5,0,66,30,3.0,6.6,0.0,1
Justin Herbert,28237,QB,LAC,1,10,4,0,0.0,0,0,7,0,0,1,7,77.8,2,4,27,2,0,22.8,29.7,78.9,27.5,,,65.0,60.0,16,1,0,0,0,15,50,7,0,3,0,57,57,5.7,5.7,,2
Rhamondre Stevenson,98689,HB,NE,1,10,3,0,0.0,0,0,53,0,1,3,37,113.8,1,2,19,0,5,74.2,73.5,77.0,,79.1,73.8,70.4,60.0,13,0,75,3,23,11,0,0,4,13,0,53,37,3.7,5.3,3.26,2
