position,avg_taken_round1,min,max
OT,6.4696,4,7
EDGE,6.2002,3,9
WR,5.707,3,6
CB,3.2368,1,6
S,2.6618,1,3
LB,2.0394,1,3
DT,1.7322260482074134,1,3
QB,1.1324,1,2
IOL,1.0845505040115202,1,3
RB,1.0108499095840868,1,2
TE,1.0,1,1
