pick,players_total,players_ge_1pct,players_ge_2pct,players_ge_5pct
1,1,1,1,1
2,10,4,4,3
3,11,6,4,4
4,12,8,7,6
5,13,9,7,5
6,17,10,8,5
7,17,11,9,6
8,18,11,6,5
9,19,11,9,6
10,19,15,11,9
11,23,13,9,5
12,24,17,13,8
13,23,12,7,6
14,25,13,9,5
15,23,7,5,5
16,30,16,12,6
17,26,13,8,5
18,28,13,7,4
19,28,16,10,7
20,29,23,15,5
21,34,14,12,9
22,34,14,11,8
23,31,16,11,7
24,37,13,10,7
25,36,10,4,3
26,38,18,13,4
27,38,19,14,4
28,41,14,11,5
29,40,10,8,7
30,43,12,8,6
31,43,18,8,5
32,38,10,8,6
