position,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_taken_round1
OT,6.5,0.4542,+120,0.5458000000000001,-120,6.4696
EDGE,6.5,0.6416,-179,0.35840000000000005,+179,6.2002
WR,5.5,0.2736,+265,0.7263999999999999,-265,5.707
CB,3.5,0.636,-175,0.364,+175,3.2368
S,2.5,0.325,+208,0.675,-208,2.6618
LB,2.5,0.96,-2400,0.040000000000000036,+2400,2.0394
DT,1.5,0.2732,+266,0.7268,-266,1.7322260482074134
QB,1.5,0.8676,-655,0.13239999999999996,+655,1.1324
IOL,1.5,0.891,-817,0.10899999999999999,+817,1.0845505040115202
RB,1.5,0.9846,-6394,0.01539999999999997,+6394,1.0108499095840868
TE,1.5,0.7818,-358,0.21819999999999995,+358,1.0
