team,position,count,probability,moneyline
ARI,LB,2292,0.4584,+118
ARI,EDGE,1733,0.3466,+189
ARI,OT,797,0.1594,+527
ARI,RB,95,0.019,+5163
ARI,WR,35,0.007,+14186
ARI,CB,25,0.005,+19900
ARI,S,23,0.0046,+21639
BAL,IOL,1808,0.3616,+177
BAL,WR,1686,0.3372,+197
BAL,TE,784,0.1568,+538
BAL,OT,321,0.0642,+1458
BAL,EDGE,231,0.0462,+2065
BAL,RB,70,0.014,+7043
BAL,S,67,0.0134,+7363
BAL,LB,27,0.0054,+18419
BAL,CB,3,0.0006,+166567
BAL,DT,3,0.0006,+166567
BUF,EDGE,2331,0.4662,+115
BUF,WR,1097,0.2194,+356
BUF,DT,479,0.0958,+944
BUF,S,436,0.0872,+1047
BUF,OT,289,0.0578,+1630
BUF,IOL,169,0.0338,+2859
BUF,CB,127,0.0254,+3837
BUF,TE,25,0.005,+19900
BUF,RB,19,0.0038,+26216
BUF,QB,18,0.0036,+27678
BUF,LB,10,0.002,+49900
CAR,WR,1743,0.3486,+187
CAR,EDGE,1350,0.27,+270
CAR,OT,610,0.122,+720
CAR,TE,584,0.1168,+756
CAR,DT,576,0.1152,+768
CAR,S,68,0.0136,+7253
CAR,RB,38,0.0076,+13058
CAR,IOL,12,0.0024,+41567
CAR,LB,11,0.0022,+45355
CAR,CB,8,0.0016,+62400
CHI,DT,3181,0.6362,-175
CHI,S,1190,0.238,+320
CHI,OT,220,0.044,+2173
CHI,CB,202,0.0404,+2375
CHI,WR,90,0.018,+5456
CHI,EDGE,75,0.015,+6567
CHI,TE,13,0.0026,+38362
CHI,RB,12,0.0024,+41567
CHI,IOL,9,0.0018,+55456
CHI,LB,4,0.0008,+124900
CHI,QB,4,0.0008,+124900
CLE,OT,4439,0.8878,-791
CLE,WR,4192,0.8384,-519
CLE,QB,241,0.0482,+1975
CLE,RB,217,0.0434,+2204
CLE,LB,184,0.0368,+2617
CLE,S,179,0.0358,+2693
CLE,CB,147,0.0294,+3301
CLE,EDGE,130,0.026,+3746
CLE,IOL,125,0.025,+3900
CLE,DT,105,0.021,+4662
CLE,TE,41,0.0082,+12095
DAL,EDGE,2664,0.5328,-114
DAL,S,2039,0.4078,+145
DAL,CB,1360,0.272,+268
DAL,OT,1334,0.2668,+275
DAL,LB,800,0.16,+525
DAL,WR,777,0.1554,+544
DAL,DT,506,0.1012,+888
DAL,RB,231,0.0462,+2065
DAL,TE,150,0.03,+3233
DAL,IOL,139,0.0278,+3497
DET,OT,4195,0.839,-521
DET,EDGE,267,0.0534,+1773
DET,DT,129,0.0258,+3776
DET,WR,119,0.0238,+4102
DET,S,117,0.0234,+4174
DET,TE,61,0.0122,+8097
DET,RB,59,0.0118,+8375
DET,IOL,39,0.0078,+12721
DET,LB,14,0.0028,+35614
HOU,OT,2543,0.5086,-104
HOU,DT,1548,0.3096,+223
HOU,CB,335,0.067,+1393
HOU,EDGE,193,0.0386,+2491
HOU,IOL,176,0.0352,+2741
HOU,RB,83,0.0166,+5924
HOU,TE,37,0.0074,+13414
HOU,WR,32,0.0064,+15525
HOU,S,23,0.0046,+21639
HOU,QB,18,0.0036,+27678
HOU,LB,12,0.0024,+41567
KC,CB,3743,0.7486,-298
KC,EDGE,2821,0.5642,-129
KC,OT,1938,0.3876,+158
KC,WR,902,0.1804,+454
KC,S,420,0.084,+1090
KC,LB,44,0.0088,+11264
KC,DT,42,0.0084,+11805
KC,RB,37,0.0074,+13414
KC,TE,24,0.0048,+20733
KC,IOL,18,0.0036,+27678
KC,QB,11,0.0022,+45355
LAC,WR,1561,0.3122,+220
LAC,EDGE,1489,0.2978,+236
LAC,DT,1132,0.2264,+342
LAC,S,373,0.0746,+1240
LAC,OT,213,0.0426,+2247
LAC,IOL,173,0.0346,+2790
LAC,CB,23,0.0046,+21639
LAC,RB,20,0.004,+24900
LAC,TE,14,0.0028,+35614
LAC,LB,1,0.0002,+499900
LAC,QB,1,0.0002,+499900
LAR,OT,2726,0.5452,-120
LAR,WR,1890,0.378,+165
LAR,LB,98,0.0196,+5002
LAR,IOL,93,0.0186,+5276
LAR,S,61,0.0122,+8097
LAR,RB,51,0.0102,+9704
