pick,player,model_prob,market_prob,edge,abs_edge,model_version,run_timestamp,source,market_timestamp
1,Fernando Mendoza,1.0,0.0,1.0,1.0,v1,2026-04-23T13:58:14,,
18,Dillon Thieneman,0.4876,0.0,0.4876,0.4876,v1,2026-04-23T13:58:14,,
2,David Bailey,0.4496,0.0,0.4496,0.4496,v1,2026-04-23T13:58:14,,
17,Kadyn Proctor,0.3962,0.0,0.3962,0.3962,v1,2026-04-23T13:58:14,,
14,Olaivavega Ioane,0.3616,0.0,0.3616,0.3616,v1,2026-04-23T13:58:14,,
25,Kayden McDonald,0.3484,0.0,0.3484,0.3484,v1,2026-04-23T13:58:14,,
15,Keldric Faulk,0.3182,0.0,0.3182,0.3182,v1,2026-04-23T13:58:14,,
24,Caleb Lomu,0.307,0.0,0.307,0.307,v1,2026-04-23T13:58:14,,
2,Arvell Reese,0.4432,0.7343734660187259,-0.2911734660187259,0.2911734660187259,v1,2026-04-23T13:58:14,DraftKings,2026-04-15 15:51:34
27,Max Iheanachor,0.2886,0.0,0.2886,0.2886,v1,2026-04-23T13:58:14,,
25,Peter Woods,0.2878,0.0,0.2878,0.2878,v1,2026-04-23T13:58:14,,
8,Mansoor Delane,0.3904,0.113217111596065,0.277182888403935,0.277182888403935,v1,2026-04-23T13:58:14,DraftKings,2026-04-15 15:51:34
16,Omar Cooper Jr.,0.2482,0.0,0.2482,0.2482,v1,2026-04-23T13:58:14,,
26,T.J. Parker,0.2432,0.0,0.2432,0.2432,v1,2026-04-23T13:58:14,,
15,Kenyon Sadiq,0.2386,0.0,0.2386,0.2386,v1,2026-04-23T13:58:14,,
21,Blake Miller,0.2362,0.0,0.2362,0.2362,v1,2026-04-23T13:58:14,,
15,Akheem Mesidor,0.226,0.0,0.226,0.226,v1,2026-04-23T13:58:14,,
13,Spencer Fano,0.2244,0.0,0.2244,0.2244,v1,2026-04-23T13:58:14,,
30,Chris Johnson,0.2194,0.0,0.2194,0.2194,v1,2026-04-23T13:58:14,,
11,Makai Lemon,0.2126,0.0,0.2126,0.2126,v1,2026-04-23T13:58:14,,
28,Peter Woods,0.2066,0.0,0.2066,0.2066,v1,2026-04-23T13:58:14,,
7,Rueben Bain,0.206,0.0,0.206,0.206,v1,2026-04-23T13:58:14,,
25,Emmanuel McNeil-Warren,0.2044,0.0,0.2044,0.2044,v1,2026-04-23T13:58:14,,
28,Max Iheanachor,0.203,0.0,0.203,0.203,v1,2026-04-23T13:58:14,,
29,Jermod McCoy,0.194,0.0,0.194,0.194,v1,2026-04-23T13:58:14,,
