team,position,count,probability
ARI,LB,2292,0.4584
ARI,EDGE,1733,0.3466
ARI,OT,797,0.1594
ARI,RB,95,0.019
ARI,WR,35,0.007
ARI,CB,25,0.005
ARI,S,23,0.0046
BAL,IOL,1808,0.3616
BAL,WR,1686,0.3372
BAL,TE,784,0.1568
BAL,OT,321,0.0642
BAL,EDGE,231,0.0462
BAL,RB,70,0.014
BAL,S,67,0.0134
BAL,LB,27,0.0054
BAL,CB,3,0.0006
BAL,DT,3,0.0006
BUF,EDGE,2331,0.4662
BUF,WR,1097,0.2194
BUF,DT,479,0.0958
BUF,S,436,0.0872
BUF,OT,289,0.0578
BUF,IOL,169,0.0338
BUF,CB,127,0.0254
BUF,TE,25,0.005
BUF,RB,19,0.0038
BUF,QB,18,0.0036
BUF,LB,10,0.002
CAR,WR,1743,0.3486
CAR,EDGE,1350,0.27
CAR,OT,610,0.122
CAR,TE,584,0.1168
CAR,DT,576,0.1152
CAR,S,68,0.0136
CAR,RB,38,0.0076
CAR,IOL,12,0.0024
CAR,LB,11,0.0022
CAR,CB,8,0.0016
CHI,DT,3181,0.6362
CHI,S,1190,0.238
CHI,OT,220,0.044
CHI,CB,202,0.0404
CHI,WR,90,0.018
CHI,EDGE,75,0.015
CHI,TE,13,0.0026
CHI,RB,12,0.0024
CHI,IOL,9,0.0018
CHI,LB,4,0.0008
CHI,QB,4,0.0008
CLE,OT,4439,0.8878
CLE,WR,4192,0.8384
CLE,QB,241,0.0482
CLE,RB,217,0.0434
CLE,LB,184,0.0368
CLE,S,179,0.0358
CLE,CB,147,0.0294
CLE,EDGE,130,0.026
CLE,IOL,125,0.025
CLE,DT,105,0.021
CLE,TE,41,0.0082
DAL,EDGE,2664,0.5328
DAL,S,2039,0.4078
DAL,CB,1360,0.272
DAL,OT,1334,0.2668
DAL,LB,800,0.16
DAL,WR,777,0.1554
DAL,DT,506,0.1012
DAL,RB,231,0.0462
DAL,TE,150,0.03
DAL,IOL,139,0.0278
DET,OT,4195,0.839
DET,EDGE,267,0.0534
DET,DT,129,0.0258
DET,WR,119,0.0238
DET,S,117,0.0234
DET,TE,61,0.0122
DET,RB,59,0.0118
DET,IOL,39,0.0078
DET,LB,14,0.0028
HOU,OT,2543,0.5086
HOU,DT,1548,0.3096
HOU,CB,335,0.067
HOU,EDGE,193,0.0386
HOU,IOL,176,0.0352
HOU,RB,83,0.0166
HOU,TE,37,0.0074
HOU,WR,32,0.0064
HOU,S,23,0.0046
HOU,QB,18,0.0036
HOU,LB,12,0.0024
KC,CB,3743,0.7486
KC,EDGE,2821,0.5642
KC,OT,1938,0.3876
KC,WR,902,0.1804
KC,S,420,0.084
KC,LB,44,0.0088
KC,DT,42,0.0084
KC,RB,37,0.0074
KC,TE,24,0.0048
KC,IOL,18,0.0036
KC,QB,11,0.0022
LAC,WR,1561,0.3122
LAC,EDGE,1489,0.2978
LAC,DT,1132,0.2264
LAC,S,373,0.0746
LAC,OT,213,0.0426
LAC,IOL,173,0.0346
LAC,CB,23,0.0046
LAC,RB,20,0.004
LAC,TE,14,0.0028
LAC,LB,1,0.0002
LAC,QB,1,0.0002
LAR,OT,2726,0.5452
LAR,WR,1890,0.378
