market_key,player,player_norm,position_market,line,over_price,under_price,season,week,game_total,team_spread,is_favorite,is_underdog,position,projection,team,line_bucket,rows,hist_mean_actual,std_for_sim,var_for_sim,projection_minus_line,p_over,p_under,p_push,fair_over_price,fair_under_price,over_price_decimal,under_price_decimal,ev_over,ev_under,ev_over_percent,ev_under_percent,recommended_side,recommended_prob,recommended_ev,recommended_ev_percent,recommendation,n_sims,actual,edge_yards,model_side,bet_won,bet_pushed,bet_odds,profit_1u,edge_bucket,ev_bucket
player_rush_yds,Ray Davis,ray davis,RB,24.5,-110.0,-110,2024,17,44.5,-10.0,True,False,RB,18.15,BUF,20-40,179,30.76536312849162,33.49704221013505,1122.051836827569,-6.350000000000001,0.42575,0.57425,0.0,134.87962419260126,-134.8796241926013,1.9090909090909087,1.9090909090909087,-0.1872045454545453,0.0962954545454546,-18.720454545454533,9.629545454545465,under,0.57425,0.0962954545454546,9.629545454545465,under,20000,9.0,6.350000000000001,under,True,False,-110.0,0.9090909090909091,5-7.5,5-10
player_rush_yds,Deebo Samuel,deebo samuel,WR,13.5,-110.0,-110,2024,16,44.0,-2.0,True,False,WR,11.41,FA,<20,15,5.933333333333334,12.593401049756178,158.59375,-2.09,0.4305,0.5695,0.0,132.28803716608596,-132.28803716608596,1.9090909090909087,1.9090909090909087,-0.1781363636363636,0.0872272727272728,-17.81363636363636,8.722727272727282,under,0.5695,0.0872272727272728,8.722727272727282,under,20000,25.0,2.09,under,False,False,-110.0,-1.0,0-2.5,5-10
player_rush_yds,Chase Brown,chase brown,RB,31.5,-110.0,-110,2024,4,47.0,-4.5,True,False,RB,26.2,CIN,20-40,179,30.76536312849162,33.49704221013505,1122.051836827569,-5.300000000000001,0.436,0.564,0.0,129.35779816513764,-129.35779816513758,1.9090909090909087,1.9090909090909087,-0.1676363636363636,0.0767272727272726,-16.763636363636365,7.672727272727265,under,0.564,0.0767272727272726,7.672727272727265,under,20000,80.0,5.300000000000001,under,False,False,-110.0,-1.0,5-7.5,5-10
player_rush_yds,Marvin Mims Jr.,marvin mims,WR,7.5,-110.0,-110,2024,13,41.5,-6.5,True,False,WR,5.57,DEN,<20,15,5.933333333333334,12.593401049756178,158.59375,-1.93,0.43735,0.56265,0.0,128.64982279638733,-128.64982279638733,1.9090909090909087,1.9090909090909087,-0.1650590909090908,0.07415,-16.505909090909082,7.415000000000004,under,0.56265,0.07415,7.415000000000004,under,20000,4.0,1.9299999999999997,under,True,False,-110.0,0.9090909090909091,0-2.5,5-10
player_rush_yds,Deebo Samuel,deebo samuel,WR,15.5,-110.0,-110,2024,5,48.5,-7.0,True,False,WR,13.73,FA,<20,15,5.933333333333334,12.593401049756178,158.59375,-1.7699999999999996,0.43815,0.56185,0.0,128.23234052265207,-128.23234052265204,1.9090909090909087,1.9090909090909087,-0.1635318181818181,0.0726227272727272,-16.35318181818181,7.262272727272723,under,0.56185,0.0726227272727272,7.262272727272723,under,20000,9.0,1.7699999999999996,under,True,False,-110.0,0.9090909090909091,0-2.5,5-10
player_rush_yds,Cam Akers,cam akers,RB,58.5,-110.0,-110,2024,4,44.5,-5.5,True,False,RB,52.53,FA,40-60,215,54.88837209302326,40.50384710893248,1640.5616306237778,-5.969999999999999,0.4385,0.5615,0.0,128.05017103762827,-128.05017103762827,1.9090909090909087,1.9090909090909087,-0.1628636363636363,0.0719545454545455,-16.28636363636363,7.195454545454549,under,0.5615,0.0719545454545455,7.195454545454549,under,20000,53.0,5.969999999999999,under,True,False,-110.0,0.9090909090909091,5-7.5,5-10
player_rush_yds,Zach Charbonnet,zach charbonnet,RB,27.5,-110.0,-110,2024,16,43.0,2.5,False,True,RB,23.56,SEA,20-40,179,30.76536312849162,33.49704221013505,1122.051836827569,-3.940000000000001,0.452,0.548,0.0,121.23893805309736,-121.23893805309736,1.9090909090909087,1.9090909090909087,-0.1370909090909091,0.0461818181818183,-13.709090909090907,4.618181818181832,under,0.548,0.0461818181818183,4.618181818181832,under,20000,-1.0,3.9400000000000013,under,True,False,-110.0,0.9090909090909091,2.5-5,2-5
player_rush_yds,Braelon Allen,braelon allen,RB,28.5,-110.0,-110,2024,13,41.5,-1.0,True,False,RB,24.46,NYJ,20-40,179,30.76536312849162,33.49704221013505,1122.051836827569,-4.039999999999999,0.4528,0.5472,0.0,120.84805653710248,-120.84805653710248,1.9090909090909087,1.9090909090909087,-0.1355636363636364,0.0446545454545455,-13.556363636363638,4.465454545454556,under,0.5472,0.0446545454545455,4.465454545454556,under,20000,11.0,4.039999999999999,under,True,False,-110.0,0.9090909090909091,2.5-5,2-5
player_rush_yds,Audric Estime,audric estime,RB,18.5,-110.0,-110,2024,8,40.5,-13.0,True,False,RB,15.2,NO,<20,104,21.66346153846154,25.10512519771719,630.2673111930545,-3.3000000000000007,0.45285,0.54715,0.0,120.82367229767031,-120.82367229767031,1.9090909090909087,1.9090909090909087,-0.1354681818181818,0.0445590909090909,-13.546818181818182,4.455909090909099,under,0.54715,0.0445590909090909,4.455909090909099,under,20000,4.0,3.3000000000000007,under,True,False,-110.0,0.9090909090909091,2.5-5,2-5
player_rush_yds,Kenneth Gainwell,kenneth gainwell,RB,19.5,-110.0,-110,2024,14,44.5,-14.0,True,False,RB,16.72,TB,<20,104,21.66346153846154,25.10512519771719,630.2673111930545,-2.780000000000001,0.454,0.546,0.0,120.26431718061674,-120.26431718061676,1.9090909090909087,1.9090909090909087,-0.1332727272727272,0.0423636363636364,-13.327272727272726,4.236363636363649,under,0.546,0.0423636363636364,4.236363636363649,under,20000,26.0,2.780000000000001,under,False,False,-110.0,-1.0,2.5-5,2-5
player_rush_yds,Tyler Allgeier,tyler allgeier,RB,37.5,-114.0,-106,2024,16,42.5,-9.5,True,False,RB,34.46,ARI,20-40,179,30.76536312849162,33.49704221013505,1122.051836827569,-3.039999999999999,0.4679,0.5321,0.0,113.72088053002778,-113.72088053002778,1.8771929824561404,1.9433962264150944,-0.1216614035087719,0.0340811320754717,-12.16614035087719,3.40811320754717,under,0.5321,0.0340811320754717,3.40811320754717,under,20000,22.0,3.039999999999999,under,True,False,-106.0,0.9433962264150944,2.5-5,2-5
player_rush_yds,Najee Harris,najee harris,RB,73.5,-110.0,-110,2024,12,36.5,-3.5,True,False,RB,69.34,LAC,60-80,188,69.82978723404256,45.35865625348046,2057.407697121402,-4.159999999999997,0.46165,0.53835,0.0,116.61431820643344,-116.61431820643344,1.9090909090909087,1.9090909090909087,-0.1186681818181817,0.0277590909090909,-11.86681818181818,2.775909090909096,under,0.53835,0.0277590909090909,2.775909090909096,under,20000,41.0,4.159999999999997,under,True,False,-110.0,0.9090909090909091,2.5-5,2-5
player_rush_yds,Chuba Hubbard,chuba hubbard,RB,87.5,-110.0,-110,2024,15,42.0,-2.5,True,False,RB,83.07,CAR,80+,39,95.23076923076924,47.12552096915847,2220.8147266145943,-4.430000000000007,0.4619,0.5381,0.0,116.4970772894566,-116.4970772894566,1.9090909090909087,1.9090909090909087,-0.1181909090909091,0.0272818181818182,-11.819090909090912,2.7281818181818296,under,0.5381,0.0272818181818182,2.7281818181818296,under,20000,32.0,4.430000000000007,under,True,False,-110.0,0.9090909090909091,2.5-5,2-5
player_rush_yds,Isiah Pacheco,isiah pacheco,RB,45.5,-110.0,-110,2024,13,42.0,-13.5,True,False,RB,41.39,DET,40-60,215,54.88837209302326,40.50384710893248,1640.5616306237778,-4.109999999999999,0.46315,0.53685,0.0,115.91277124041888,-115.91277124041888,1.9090909090909087,1.9090909090909087,-0.1158045454545454,0.0248954545454546,-11.580454545454543,2.4895454545454667,under,0.53685,0.0248954545454546,2.4895454545454667,under,20000,44.0,4.109999999999999,under,True,False,-110.0,0.9090909090909091,2.5-5,2-5
player_rush_yds,Tyjae Spears,tyjae spears,RB,34.5,-110.0,-110,2024,6,42.0,-2.5,True,False,RB,31.22,TEN,20-40,179,30.76536312849162,33.49704221013505,1122.051836827569,-3.280000000000001,0.46395,0.53605,0.0,115.54046772281497,-115.54046772281497,1.9090909090909087,1.9090909090909087,-0.1142772727272727,0.0233681818181819,-11.427727272727273,2.33681818181819,under,0.53605,0.0233681818181819,2.33681818181819,under,20000,27.0,3.280000000000001,under,True,False,-110.0,0.9090909090909091,2.5-5,2-5
