position,stat,count,mean,median,mean_minus_median,std,cv,skew,p25,p75,p90,max
C,receiving_yards,3,7.666666666666667,2.0,5.666666666666667,11.590225767142472,1.511768578322931,1.6742095357841151,1.0,11.5,17.200000000000003,21.0
C,targets,3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
C,receptions,3,0.6666666666666666,1.0,-0.33333333333333337,0.5773502691896258,0.8660254037844388,-1.7320508075688767,0.5,1.0,1.0,1.0
C,routes,3,0.6666666666666666,1.0,-0.33333333333333337,0.5773502691896258,0.8660254037844388,-1.732050807568877,0.5,1.0,1.0,1.0
C,yprr,2,1.0,1.0,0.0,1.4142135623730951,1.4142135623730951,,0.5,1.5,1.8,2.0
C,receiving_adot,3,2.6666666666666665,5.0,-2.3333333333333335,4.932882862316247,1.8498310733685928,-1.6523167403329897,1.0,5.5,5.8,6.0
CB,receiving_yards,11,14.727272727272727,15.0,-0.2727272727272734,15.75494150475278,1.0697799787177815,1.2288314115705576,0.0,18.0,31.0,51.0
CB,targets,11,1.0909090909090908,1.0,0.09090909090909083,0.30151134457776363,0.27638539919628335,3.316624790355401,1.0,1.0,1.0,2.0
CB,receptions,11,0.7272727272727273,1.0,-0.2727272727272727,0.6466697906828633,0.8891709621889371,0.29134776328812023,0.0,1.0,1.0,2.0
CB,routes,11,1.5454545454545454,1.0,0.5454545454545454,1.2933395813657267,0.836866787942529,2.420427571932078,1.0,1.0,3.0,5.0
CB,yprr,11,10.763636363636364,15.0,-4.236363636363636,10.692733301384893,0.9934127222570424,0.4031747835401776,0.0,17.5,18.0,31.0
CB,receiving_adot,11,6.2727272727272725,9.0,-2.7272727272727275,9.80908669643519,1.563767444359233,-0.06817610003703706,-3.5,11.5,17.0,22.0
CB,rushing_yards,3,7.666666666666667,7.0,0.666666666666667,3.055050463303893,0.3984848430396382,0.9352195295828237,6.0,9.0,10.2,11.0
CB,rush_attempts,3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
CB,rushing_tds,3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
CB,rushing_ypa,3,7.666666666666667,7.0,0.666666666666667,3.055050463303893,0.3984848430396382,0.9352195295828237,6.0,9.0,10.2,11.0
DI,receiving_yards,3,1.3333333333333333,1.0,0.33333333333333326,0.5773502691896257,0.4330127018922193,1.7320508075688785,1.0,1.5,1.8,2.0
DI,targets,3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
DI,receptions,3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
DI,routes,3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
DI,yprr,3,1.3333333333333333,1.0,0.33333333333333326,0.5773502691896257,0.4330127018922193,1.7320508075688785,1.0,1.5,1.8,2.0
DI,receiving_adot,3,4.333333333333333,2.0,2.333333333333333,4.041451884327381,0.9326427425370879,1.732050807568878,2.0,5.5,7.6000000000000005,9.0
