"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Derrick Henry","RB","BAL",14,17.1,0.657,0.366,15.9,17.7,9.33,9.84,8.08,1,1,5,1,"1",32,NA,NA,6,8
"Joe Mixon","RB","HOU",14,16.7,0.638,0.272,15.7,17.7,8.96,9.7,8.08,2,2,6,2,"1",29,NA,NA,3,7
"Breece Hall","RB","NYJ",12,16.4,1.62,0.0205,13.6,18.4,8.69,7.59,8.73,3,8,2,3,"1",24,NA,NA,83,2
"Saquon Barkley","RB","PHI",5,16.4,1.28,0.36,14.9,18.1,8.67,8.85,8.44,4,3,4,4,"1",29,NA,NA,61,6
"Ja'Marr Chase","WR","CIN",12,16.9,1.29,0.745,14.6,18.2,8.32,7.23,8.05,5,9,7,1,"1",26,NA,NA,71,3
"Bijan Robinson","RB","ATL",12,16.1,2.01,0.466,13.8,19.8,8.31,7.79,10.1,6,5,1,5,"2",24,NA,NA,93,1
"Kyren Williams","RB","LAR",6,15.6,1.04,0.3,13.7,16.6,7.85,7.63,6.95,7,7,16,6,"2",25,NA,NA,42,2
"Justin Jefferson","WR","MIN",6,16.1,2.07,0.618,12.4,18,7.57,5.02,7.85,8,25,8,2,"1",26,NA,NA,99,4
"Kenneth Walker III","RB","SEA",10,15.3,0.92,0.0906,14.2,17,7.55,8.2,7.31,9,4,11,7,"2",25,NA,NA,28,2
"Jahmyr Gibbs","RB","DET",5,15.2,1.05,1.2,13.8,16.5,7.45,7.78,6.83,10,6,19,8,"3",24,NA,NA,44,1
"Amon-Ra St. Brown","WR","DET",5,15.5,1.42,0.298,13.6,17.1,6.95,6.24,6.91,11,11,17,3,"2",26,NA,NA,81,3
"Tyreek Hill","WR","MIA",6,15.2,1.87,0.858,12.5,17.9,6.66,5.14,7.71,12,21,9,4,"3",32,NA,NA,94,8
"Jordan Mason","RB","SF",9,14,1.52,0.0145,12.1,16.7,6.25,6.03,7.08,13,15,13,9,"3",26,NA,NA,79,2
"Jonathan Taylor","RB","IND",14,14,1.81,0.013,11.3,16.9,6.24,5.23,7.24,14,19,12,10,"3",27,NA,NA,86,4
"Devon Achane","RB","MIA",6,14,1.44,0.0984,12.3,16.5,6.23,6.27,6.88,15,10,18,11,"4",24,NA,NA,69,1
"Kareem Hunt","RB","KC",6,13.9,1.38,0.048,12.2,15.8,6.13,6.16,6.09,16,13,22,12,"4",30,NA,NA,63,7
"J.K. Dobbins","RB","LAC",5,13.8,1.85,0.193,11.9,16.7,6.08,5.85,7.08,17,16,14,13,"4",27,NA,NA,89,4
"Aaron Jones","RB","MIN",6,13.6,0.815,0.0298,12.1,14.4,5.89,6.11,4.78,18,14,32,14,"4",31,NA,NA,18,7
"Alvin Kamara","RB","NO",12,13.6,1.27,0.194,11.9,15,5.86,5.81,5.37,19,17,28,15,"4",30,NA,NA,59,7
"CeeDee Lamb","WR","DAL",7,14.4,1.17,0.313,12.6,15.8,5.8,5.22,5.62,20,20,27,5,"3",27,NA,NA,62,4
"D'Andre Swift","RB","CHI",7,13.4,1.82,0.686,11.1,16.7,5.66,5.06,7.03,21,22,15,16,"5",27,NA,NA,87,4
"Drake London","WR","ATL",12,14.1,1.75,0.549,12.2,16.5,5.49,4.89,6.35,22,26,21,6,"4",24,NA,NA,90,2
"Josh Allen","QB","BUF",12,21.9,2.95,0.0977,19.5,27.5,5.04,4.67,8.45,23,27,3,1,"1",29,NA,NA,83,6
"Najee Harris","RB","PIT",9,12.7,2.44,0.155,9.64,17.1,4.98,3.6,7.44,24,36,10,17,"5",28,NA,NA,97,3
"Lamar Jackson","QB","BAL",14,21.8,0.774,2.04,21,22.9,4.94,6.23,3.81,25,12,40,2,"2",29,NA,NA,3,6
"A.J. Brown","WR","PHI",5,13.5,1.67,0.301,11.4,16.1,4.94,4.04,5.89,26,33,23,7,"4",28,NA,NA,86,5
"David Montgomery","RB","DET",5,12.6,1.04,0.0402,11.3,14.3,4.82,5.24,4.61,27,18,34,18,"5",28,NA,NA,41,5
"Josh Jacobs","RB","GB",10,12.5,1.07,0.0166,10.5,13.6,4.78,4.47,3.94,28,30,37,19,"5",28,NA,NA,45,5
"James Cook","RB","BUF",12,12.5,0.996,0.0159,11.1,13.4,4.77,5.02,3.71,29,23,42,20,"5",26,NA,NA,38,2
"Tony Pollard","RB","TEN",5,12.5,1.54,0.103,10.7,14.7,4.75,4.62,5,30,28,31,21,"5",29,NA,NA,80,5
"James Conner","RB","ARI",11,12.4,1.58,0.321,11.1,15.5,4.65,5.02,5.82,31,24,24,22,"5",31,NA,NA,82,7
"Davante Adams","WR","NYJ",12,13.2,1.88,0.434,10.9,16,4.64,3.52,5.78,32,37,25,8,"4",33,NA,NA,96,10
"Javonte Williams","RB","DEN",14,12.1,1.39,0.403,10.1,14.4,4.33,4.07,4.72,33,32,33,23,"6",26,NA,NA,65,3
"George Kittle","TE","SF",9,11.7,1.74,1.84,9.57,14.7,4.32,3.37,6.58,34,38,20,1,"1",32,NA,NA,99,7
"Malik Nabers","WR","NYG",11,12.8,0.711,0.0341,11.9,13.9,4.2,4.6,3.76,35,29,41,9,"4",22,NA,NA,22,0
"Deebo Samuel","WR","SF",9,12.7,1.24,0.151,10.6,14.2,4.17,3.27,4.04,36,39,36,10,"5",30,NA,NA,67,5
"Stefon Diggs","WR","HOU",14,12.6,1.76,0.313,9.96,15.5,4.02,2.61,5.32,37,48,30,11,"5",32,NA,NA,92,9
"Chuba Hubbard","RB","CAR",11,11.7,0.803,0.0137,10.5,12.7,3.92,4.43,2.99,38,31,47,24,"6",26,NA,NA,17,3
"Brian Robinson","RB","WAS",14,11.6,1.92,1.03,8.96,15,3.91,2.92,5.32,39,44,29,25,"7",27,NA,NA,90,2
"Garrett Wilson","WR","NYJ",12,12.3,1.94,0.288,10.1,15.8,3.7,2.76,5.64,40,45,26,12,"5",25,NA,NA,97,2
"D.J. Moore","WR","CHI",7,12,1.12,0.0357,10.6,13.6,3.42,3.25,3.42,41,40,43,13,"5",29,NA,NA,58,6
"Jayden Reed","WR","GB",10,11.9,1.21,0.109,9.96,13.5,3.38,2.61,3.36,42,47,44,14,"5",26,NA,NA,65,1
"George Pickens","WR","PIT",9,11.8,1.09,0.0093,11.1,14.1,3.27,3.77,3.87,43,34,39,15,"5",25,NA,NA,54,2
"Cooper Kupp","WR","LAR",6,11.8,0.691,0.843,10.5,12.5,3.26,3.18,2.29,44,41,54,16,"6",32,NA,NA,21,7
"Jalen Hurts","QB","PHI",5,19.7,1.53,0.162,17.9,21.9,2.9,3.1,2.87,45,42,50,3,"2",27,NA,NA,53,4
"Tank Bigsby","RB","JAC",12,10.6,2.6,0.126,7.05,14,2.88,1.01,4.32,46,74,35,26,"7",23,NA,NA,99,1
"Nick Chubb","RB","CLE",10,10.5,1.47,0.217,8.31,12.5,2.75,2.27,2.88,47,53,49,27,"7",30,NA,NA,73,6
"Jordan Love","QB","GB",10,19.6,1.19,0.339,18.5,21.9,2.74,3.74,2.9,48,35,48,4,"3",27,NA,NA,25,4
"Chase Brown","RB","CIN",12,10.3,1.5,0.406,7.67,11.7,2.53,1.63,2.07,49,61,56,28,"8",26,NA,NA,76,1
"Brock Bowers","TE","LVR",10,9.88,0.914,0.375,8.49,10.5,2.48,2.28,2.32,50,52,53,2,"1",23,NA,NA,59,0
"Terry McLaurin","WR","WAS",14,11,0.838,0.112,9.78,12,2.42,2.43,1.81,51,50,60,17,"7",30,NA,NA,33,5
"Jayden Daniels","QB","WAS",14,19.2,2.12,0.541,16.3,22.9,2.4,1.48,3.89,52,63,38,5,"3",25,NA,NA,78,0
"Brian Thomas Jr.","WR","JAC",12,10.9,0.796,0.186,9.25,11.3,2.31,1.9,1.14,53,56,80,18,"7",23,NA,NA,28,0
"Rachaad White","RB","TB",11,9.87,1.26,0.023,8.33,12.1,2.13,2.29,2.44,54,51,52,29,"8",27,NA,NA,58,2
"Zay Flowers","WR","BAL",14,10.7,1.19,0.0184,8.56,11.7,2.12,1.21,1.53,55,67,65,19,"7",25,NA,NA,64,1
"Rhamondre Stevenson","RB","NE",14,9.85,0.644,0.0493,8.97,10.5,2.11,2.93,0.865,57,43,89,30,"8",28,NA,NA,4,3
"Travis Kelce","TE","KC",6,9.51,1.27,0.0509,7.42,11.3,2.11,1.21,3.14,56,68,45,3,"1",36,NA,NA,91,11
"DeVonta Smith","WR","PHI",5,10.7,1.41,0.213,8.53,12.3,2.1,1.18,2.16,58,70,55,20,"7",27,NA,NA,79,3
"Rico Dowdle","RB","DAL",7,9.8,0.892,0.358,8.04,10.4,2.06,2,0.777,60,55,95,31,"8",27,NA,NA,25,4
"David Njoku","TE","CLE",10,9.46,1.01,0.476,8.05,10.6,2.06,1.84,2.46,59,59,51,4,"2",29,NA,NA,68,7
"Andrew Van Ginkel","DL","MIN",6,5.2,0,1.33,5.2,5.2,2.01,2.61,1.16,61,49,78,1,"1",30,NA,NA,1,5
"Jaylen Waddle","WR","MIA",6,10.5,0.641,0.102,9.4,11.2,1.89,2.05,1.05,62,54,83,21,"7",27,NA,NA,18,3
"Joe Burrow","QB","CIN",12,18.7,0.87,0.111,17.5,19.8,1.86,2.74,0.759,63,46,96,6,"3",29,NA,NA,6,4
"Amari Cooper","WR","BUF",12,10.4,0.862,0.0536,9.05,11.5,1.79,1.69,1.31,64,60,73,22,"7",31,NA,NA,36,9
"Brock Purdy","QB","SF",9,18.6,1.23,0.988,16.7,20.2,1.75,1.9,1.17,65,57,76,7,"4",26,NA,NA,33,2
"Marvin Harrison Jr.","WR","ARI",11,10.3,1.54,0.29,8.86,13.3,1.73,1.51,3.1,66,62,46,23,"7",23,NA,NA,85,0
"Alexander Mattison","RB","LVR",10,9.44,1.44,1.39,6.86,10.9,1.7,0.823,1.27,67,81,74,32,"9",27,NA,NA,70,5
"Evan Engram","TE","JAC",12,8.98,0.541,0.000301,8.08,9.54,1.58,1.87,1.39,68,58,70,5,"2",31,NA,NA,12,7
"Trey McBride","TE","ARI",11,8.98,1.08,1.11,7.28,9.85,1.58,1.07,1.71,69,72,61,6,"3",26,NA,NA,76,2
"Roquan Smith","LB","BAL",14,8.18,2.17,0.171,6.91,10.7,1.49,1.41,1.46,70,64,67,1,"1",29,NA,NA,70,6
"Nathaniel Dell","WR","HOU",14,10,1.37,0.172,8.32,11.8,1.44,0.964,1.6,71,77,63,24,"8",26,NA,NA,78,1
"Fred Warner","LB","SF",9,8.01,1.4,0.314,6.9,9.55,1.32,1.39,0.284,72,65,108,2,"1",29,NA,NA,6,6
"Tyler Lockett","WR","SEA",10,9.84,1.15,0.174,8.33,11.3,1.27,0.98,1.08,73,75,82,25,"8",33,NA,NA,61,9
"Jaxon Smith-Njigba","WR","SEA",10,9.66,1.08,0.219,7.74,10.5,1.1,0.39,0.275,74,102,109,26,"8",24,NA,NA,50,1
"Bobby Wagner","LB","WAS",14,7.69,2.55,0.0324,6.12,10.7,1.01,0.619,1.42,75,91,69,3,"1",35,NA,NA,89,12
"Zaire Franklin","LB","IND",14,7.66,2.52,0.0235,6.03,10.6,0.974,0.525,1.34,76,94,72,4,"1",29,NA,NA,87,6
"Robert Spillane","LB","LVR",10,7.64,2.05,0.574,6.45,10,0.95,0.947,0.779,77,78,94,5,"1",30,NA,NA,55,6
"Darnell Mooney","WR","ATL",12,9.44,0.55,0.0352,8.67,10.2,0.879,1.32,-0.0197,78,66,131,27,"8",28,NA,NA,8,4
"Chris Olave","WR","NO",12,9.41,0.801,0.226,8.45,10.7,0.844,1.1,0.478,79,71,102,28,"8",25,NA,NA,29,2
"Kyler Murray","QB","ARI",11,17.6,1.19,0.0485,15.5,18.8,0.758,0.752,-0.23,80,85,150,8,"4",28,NA,NA,28,5
"Baker Mayfield","QB","TB",11,17.5,1.28,0.362,15.6,19.2,0.709,0.854,0.165,81,80,120,9,"4",31,NA,NA,39,6
"Brian Branch","DB","DET",5,6.84,0.755,0.0208,6.4,7.73,0.709,1.06,0.0557,82,73,128,1,"1",24,NA,NA,20,1
"Jessie Bates","DB","ATL",12,6.82,1.45,0.00897,5.95,8.53,0.688,0.611,0.851,83,92,91,2,"1",29,NA,NA,83,6
"Zach Sieler","DL","MIA",6,3.87,NA,0.159,NA,NA,0.683,NA,NA,84,NA,NA,2,"1",30,NA,NA,NA,6
"Budda Baker","DB","ARI",11,6.81,1.53,0.0718,6,8.62,0.679,0.662,0.941,85,89,86,3,"1",30,NA,NA,95,7
"Broncos","DST","DEN",14,6.51,1.14,0.272,5.25,8.44,0.646,0.164,0.817,86,114,92,1,"1",NA,NA,NA,90,NA
"Courtland Sutton","WR","DEN",14,9.18,1.79,0.0608,7.12,12.2,0.618,-0.236,2.06,87,163,57,29,"9",30,NA,NA,93,6
"Nick Cross","DB","IND",14,6.74,1.28,0.0763,5.97,8.25,0.607,0.626,0.573,88,90,100,4,"1",24,NA,NA,73,2
"Jordan Addison","WR","MIN",6,9.12,1.46,0.0472,6.82,11.1,0.558,-0.533,0.927,89,205,87,30,"9",24,NA,NA,83,1
"Kevin Byard","DB","CHI",7,6.67,1,0.228,5.91,7.8,0.531,0.572,0.121,90,93,126,5,"1",32,NA,NA,42,8
"Maxx Crosby","DL","LVR",10,3.71,1.18,0.0943,2.91,5.09,0.524,0.321,1.04,91,104,84,3,"2",28,NA,NA,88,5
"Ladd McConkey","WR","LAC",5,9.07,1.13,0.0333,7.51,10.4,0.51,0.157,0.201,92,115,117,31,"9",24,NA,NA,60,0
"Romeo Doubs","WR","GB",10,9.04,0.823,0.201,7.66,10.3,0.477,0.306,0.0874,93,107,127,32,"9",26,NA,NA,32,2
"Jake Ferguson","TE","DAL",7,7.87,0.544,0.0841,6.91,8.39,0.468,0.7,0.241,94,88,112,7,"3",27,NA,NA,15,2
"Jonathan Greenard","DL","MIN",6,3.62,0.354,0.175,3.4,3.89,0.43,0.811,-0.155,95,82,142,4,"3",28,NA,NA,32,4
"Cade Otton","TE","TB",11,7.78,1.01,0.0577,6.21,8.86,0.383,0,0.714,96,130,98,8,"3",27,NA,NA,71,2
"Logan Wilson","LB","CIN",12,7.06,2.05,0.0776,5.91,9.47,0.376,0.407,0.206,97,100,116,6,"1",29,NA,NA,57,4
"Ravens","DST","BAL",14,6.23,0.92,0.374,5.16,7.62,0.374,0.0753,0,98,122,130,2,"2",NA,NA,NA,77,NA
"Wil Lutz","K","DEN",14,9.67,1.7,0.0532,7.77,12.1,0.365,0.106,1.88,99,119,59,1,"1",31,NA,NA,97,8
"Bo Nix","QB","DEN",14,17.2,1.85,0.0476,14.8,20.2,0.348,-0.0111,1.16,100,131,77,10,"4",26,NA,NA,64,0
"Dalton Kincaid","TE","BUF",12,7.73,0.613,0.0891,6.72,8.4,0.326,0.508,0.259,101,96,110,9,"4",26,NA,NA,21,1
"Bucky Irving","RB","TB",11,8.05,0.938,0.189,6.32,8.82,0.313,0.28,-0.846,102,110,213,33,"9",23,NA,NA,31,0
