"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Kyren Williams","RB","LAR",6,17.1,0.982,0.589,15.5,18.5,10.5,9.94,9.97,1,1,2,1,"1",25,NA,NA,37,2
"Derrick Henry","RB","BAL",14,16.5,1.54,0.109,14.8,18.8,9.91,9.33,10.3,2,3,1,2,"1",32,NA,NA,69,8
"Jordan Mason","RB","SF",9,16.4,0.876,0.879,15.2,17.9,9.8,9.72,9.31,3,2,5,3,"2",26,NA,NA,24,2
"Alvin Kamara","RB","NO",12,15.5,1.48,1.4,13.8,18,8.92,8.28,9.41,4,4,4,4,"3",30,NA,NA,66,7
"CeeDee Lamb","WR","DAL",7,16.6,1.84,1.4,14.4,19.7,7.84,7.2,9.57,5,5,3,1,"1",27,NA,NA,94,4
"Bijan Robinson","RB","ATL",12,14.1,1.93,0.0814,10.8,16.2,7.53,5.32,7.58,6,15,6,5,"3",24,NA,NA,89,1
"Breece Hall","RB","NYJ",12,14,1.3,0.309,11.5,15.2,7.44,5.98,6.63,7,7,12,6,"3",24,NA,NA,54,2
"Kenneth Walker III","RB","SEA",10,13.7,1.25,0.563,12.7,16,7.14,7.15,7.45,8,6,7,7,"4",25,NA,NA,49,2
"Aaron Jones","RB","MIN",6,13.2,1.33,0.196,11.2,14.5,6.57,5.64,5.9,9,11,16,8,"4",31,NA,NA,56,7
"Nico Collins","WR","HOU",14,15.2,1.71,0.0449,12.9,17.4,6.44,5.72,7.27,10,10,8,2,"1",27,NA,NA,90,3
"Justin Jefferson","WR","MIN",6,15.1,1.47,0.924,13.2,17,6.4,5.95,6.9,11,8,11,3,"2",26,NA,NA,81,4
"Devon Achane","RB","MIA",6,13,0.95,0.0467,11.1,13.7,6.38,5.62,5.17,12,12,24,9,"4",24,NA,NA,32,1
"Brian Robinson","RB","WAS",14,12.9,1.98,0.225,11,15.8,6.33,5.52,7.24,13,13,9,10,"4",27,NA,NA,90,2
"Najee Harris","RB","PIT",9,12.7,1.35,0.241,10.4,14.4,6.1,4.92,5.87,14,18,17,11,"5",28,NA,NA,61,3
"Chuba Hubbard","RB","CAR",11,12.5,1.07,0.145,10.8,13.9,5.86,5.26,5.28,15,16,21,12,"5",26,NA,NA,41,3
"James Cook","RB","BUF",12,12.3,1.02,0.206,11,13.8,5.72,5.49,5.27,16,14,22,13,"5",26,NA,NA,38,2
"James Conner","RB","ARI",11,12.1,1.87,0.18,9.16,15.1,5.51,3.64,6.53,17,24,13,14,"5",31,NA,NA,87,7
"Ja'Marr Chase","WR","CIN",12,14.2,1.96,0.324,10.9,16.5,5.47,3.65,6.42,18,23,14,4,"2",26,NA,NA,96,3
"Josh Jacobs","RB","GB",10,11.9,0.98,0.288,10.4,12.7,5.33,4.86,4.09,19,19,32,15,"5",28,NA,NA,35,5
"Jayden Reed","WR","GB",10,13.9,2.4,0.49,10.2,17,5.15,2.94,6.96,20,34,10,5,"3",26,NA,NA,99,1
"Josh Allen","QB","BUF",12,21.6,0.911,0.586,20.8,23.1,5.09,5.94,4.65,21,9,28,1,"1",29,NA,NA,18,6
"Travis Etienne","RB","JAC",12,11.6,1.17,0.0939,9.58,13.1,5.04,4.06,4.57,22,21,30,16,"6",27,NA,NA,46,3
"D'Andre Swift","RB","CHI",7,11.5,0.757,0.672,10.7,12.5,4.95,5.15,3.93,23,17,33,17,"6",27,NA,NA,17,4
"Travis Kelce","TE","KC",6,10.8,1.51,0.368,8.04,12.6,4.73,3.33,5.13,24,29,25,1,"1",36,NA,NA,88,11
"Marvin Harrison Jr.","WR","ARI",11,13.4,1.77,0.887,11.6,15.7,4.66,4.34,5.66,25,20,19,6,"4",23,NA,NA,92,0
"Lamar Jackson","QB","BAL",14,21,2.18,0.23,17.5,24.1,4.51,2.58,5.65,26,42,20,2,"1",29,NA,NA,91,6
"George Kittle","TE","SF",9,10.5,1.73,1.5,7.72,13.2,4.36,3,5.69,27,33,18,2,"2",32,NA,NA,99,7
"Jayden Daniels","QB","WAS",14,20.8,2.25,1.59,18.6,24.6,4.28,3.73,6.13,28,22,15,3,"2",25,NA,NA,94,0
"Trey Sermon","RB","IND",14,10.9,1.49,0.297,9.15,13.2,4.28,3.64,4.58,29,25,29,18,"7",27,NA,NA,68,3
"Jerome Ford","RB","CLE",10,10.6,1.1,0.144,9.02,11.7,3.98,3.5,3.16,30,27,39,19,"7",26,NA,NA,42,2
"Zack Moss","RB","CIN",12,10.4,1.17,0.00743,8.26,11.4,3.84,2.75,2.82,31,38,44,20,"7",56,NA,NA,45,4
"Kareem Hunt","RB","KC",6,10.4,1.73,0.332,8.36,13.1,3.83,2.85,4.54,32,35,31,21,"7",30,NA,NA,80,7
"Deebo Samuel","WR","SF",9,12.5,1.63,0.121,10.8,15.3,3.77,3.59,5.2,33,26,23,7,"4",30,NA,NA,86,5
"Mike Evans","WR","TB",11,12.4,1.96,0.316,9.42,15.1,3.65,2.2,5,34,50,26,8,"4",32,NA,NA,97,10
"Javonte Williams","RB","DEN",14,10.1,0.71,0.206,8.87,10.7,3.5,3.35,2.14,35,28,51,22,"7",26,NA,NA,14,3
"DK Metcalf","WR","SEA",10,12.1,1.13,0.025,9.86,12.9,3.33,2.64,2.85,36,41,43,9,"4",28,NA,NA,62,5
"Chris Godwin","WR","TB",11,12,1.03,0.332,10,12.9,3.31,2.8,2.77,37,36,45,10,"4",30,NA,NA,54,7
"Alexander Mattison","RB","LVR",10,9.88,1.6,0.426,7.73,12,3.29,2.21,3.46,38,49,37,23,"8",27,NA,NA,75,5
"Drake London","WR","ATL",12,11.7,1.83,0.521,9.1,14.9,2.98,1.89,4.78,39,55,27,11,"5",24,NA,NA,93,2
"Rachaad White","RB","TB",11,9.45,0.86,0.551,8.18,10.5,2.87,2.67,1.91,40,40,57,24,"8",27,NA,NA,21,2
"Trey McBride","TE","ARI",11,8.95,0.643,0.463,7.84,9.68,2.86,3.13,2.19,41,30,50,3,"2",26,NA,NA,26,2
"Brock Purdy","QB","SF",9,19.2,1.49,0.253,17,21.5,2.69,2.11,3.04,42,51,40,4,"2",26,NA,NA,59,2
"Tyreek Hill","WR","MIA",6,11.2,1.27,0.0238,9.29,12.8,2.46,2.07,2.68,43,53,47,12,"5",32,NA,NA,75,8
"Jordan Love","QB","GB",10,19,0.845,0.706,17.9,20.3,2.44,3.04,1.83,44,32,60,5,"3",27,NA,NA,15,4
"Diontae Johnson","WR","CAR",11,11.2,0.857,0.0172,9.95,11.9,2.43,2.74,1.85,45,39,59,13,"5",29,NA,NA,28,5
"George Pickens","WR","PIT",9,11.1,0.807,0.0421,9.52,11.7,2.42,2.31,1.66,46,46,61,14,"5",25,NA,NA,24,2
"Jake Ferguson","TE","DAL",7,8.49,0.766,0.311,7.48,9.52,2.4,2.77,2.03,47,37,54,4,"3",27,NA,NA,35,2
"Stefon Diggs","WR","HOU",14,11.1,0.743,0.0134,9.59,11.6,2.37,2.38,1.47,48,45,63,15,"5",32,NA,NA,19,9
"Amari Cooper","WR","CLE",10,11.1,1.68,0.288,8.56,13.9,2.36,1.35,3.78,49,69,34,16,"5",31,NA,NA,88,9
