"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Saquon Barkley","RB","PHI",5,17.7,1.85,0.619,15.5,20.4,11.3,10.3,12.8,1,2,1,1,"1",29,NA,NA,87,6
"Derrick Henry","RB","BAL",14,17.1,1.22,1.22,15.7,19.1,10.7,10.4,11.5,2,1,2,2,"2",32,NA,NA,49,8
"Alvin Kamara","RB","NO",12,15.9,1.54,0.556,14.7,18.6,9.43,9.42,11,3,3,3,3,"2",30,NA,NA,76,7
"Jordan Mason","RB","SF",9,15.4,0.94,0.774,14.3,16.7,8.87,9.04,9.18,4,4,6,4,"3",26,NA,NA,28,2
"CeeDee Lamb","WR","DAL",7,17.1,1.63,0.914,14.8,19,8.43,7.56,9.25,5,7,5,1,"1",27,NA,NA,92,4
"Jahmyr Gibbs","RB","DET",5,14.6,1.43,0.385,13.1,16.4,8.1,7.83,8.81,6,5,10,5,"3",24,NA,NA,62,1
"Bijan Robinson","RB","ATL",12,14.2,1.27,0.128,12.4,15.6,7.72,7.14,8.03,7,8,13,6,"3",24,NA,NA,57,1
"Chuba Hubbard","RB","CAR",11,14.1,1.64,0.0725,12.2,16.2,7.59,6.91,8.66,8,10,11,7,"3",26,NA,NA,81,3
"Kenneth Walker III","RB","SEA",10,14,1.55,0.435,13,16.9,7.52,7.72,9.3,9,6,4,8,"4",25,NA,NA,78,2
"Ja'Marr Chase","WR","CIN",12,16.2,1.38,2,14.2,18,7.51,6.98,8.26,10,9,12,2,"2",26,NA,NA,81,3
"Breece Hall","RB","NYJ",12,13.6,1.18,0.488,11.5,14.5,7.08,6.23,6.97,11,12,17,9,"4",24,NA,NA,44,2
"David Montgomery","RB","DET",5,13.1,1.19,0.0877,12,14.9,6.59,6.74,7.3,12,11,15,10,"4",28,NA,NA,46,5
"Joe Mixon","RB","HOU",14,13,2.01,0.275,11.2,16.7,6.5,5.99,9.12,13,13,7,11,"5",29,NA,NA,91,7
"D'Andre Swift","RB","CHI",7,12.7,2.35,0.17,9.65,16.4,6.23,4.41,8.81,14,23,9,12,"5",27,NA,NA,96,4
"James Conner","RB","ARI",11,12.5,1.26,0.0235,10.4,14,6.06,5.11,6.45,15,17,18,13,"5",31,NA,NA,56,7
"Tony Pollard","RB","TEN",5,12.5,0.851,0.35,11.1,13.4,6.04,5.82,5.82,16,15,22,14,"5",29,NA,NA,16,5
"Lamar Jackson","QB","BAL",14,22.9,0.993,1.91,21.6,24.2,5.77,5.91,5.4,17,14,27,1,"1",29,NA,NA,19,6
"Josh Jacobs","RB","GB",10,12.2,1.24,0.0155,10.2,13.6,5.69,4.94,6.09,18,18,19,15,"5",28,NA,NA,53,5
"J.K. Dobbins","RB","LAC",5,12.1,2.54,0.136,9.74,16.5,5.67,4.49,8.92,19,21,8,16,"5",27,NA,NA,99,4
"Austin Ekeler","RB","WAS",14,12,1.46,0.143,10.6,14.5,5.54,5.39,6.98,20,16,16,17,"5",30,NA,NA,65,NA
"Amon-Ra St. Brown","WR","DET",5,14.2,1.43,0.166,11.7,15.8,5.51,4.48,6,21,22,21,3,"2",26,NA,NA,83,3
"James Cook","RB","BUF",12,11.9,1.49,0.231,9.99,13.6,5.39,4.75,6.01,22,19,20,18,"6",26,NA,NA,71,2
"Drake London","WR","ATL",12,14,2.49,1.28,11.3,17.6,5.34,4.08,7.88,23,26,14,4,"3",24,NA,NA,99,2
"Bucky Irving","RB","TB",11,11.6,1.45,0.932,9.39,13,5.16,4.15,5.41,24,25,26,19,"7",23,NA,NA,63,0
"Najee Harris","RB","PIT",9,10.7,0.917,0.268,9.25,11.6,4.23,4.01,4.05,25,28,34,20,"7",28,NA,NA,25,3
"George Kittle","TE","SF",9,10.6,0.954,1.19,9.48,12.1,4.08,4.69,4.51,26,20,32,1,"1",32,NA,NA,74,7
"A.J. Brown","WR","PHI",5,12.8,1.52,0.126,10.1,14.4,4.07,2.89,4.6,27,39,30,5,"3",28,NA,NA,89,5
"Rico Dowdle","RB","DAL",7,10.4,1.5,0.228,8.68,13,3.96,3.44,5.43,28,33,25,21,"7",27,NA,NA,72,4
"Mike Evans","WR","TB",11,12.6,2.18,0.119,9.07,14.9,3.94,1.86,5.11,29,59,28,6,"3",32,NA,NA,96,10
"Jayden Daniels","QB","WAS",14,21,1.88,0.232,19.6,24.4,3.86,3.93,5.62,30,29,23,2,"1",25,NA,NA,83,0
"Stefon Diggs","WR","HOU",14,12.5,1.09,0.0382,10.5,13.4,3.82,3.28,3.58,31,35,40,7,"3",32,NA,NA,62,9
"Jayden Reed","WR","GB",10,12.5,1.93,0.0034,9.95,15.3,3.78,2.73,5.56,32,44,24,8,"3",26,NA,NA,94,1
"Deebo Samuel","WR","SF",9,12.5,0.81,0.59,11.2,13.3,3.78,4.02,3.52,33,27,41,9,"4",30,NA,NA,28,5
"Travis Etienne","RB","JAC",12,10.2,0.663,0.143,9.51,10.8,3.73,4.26,3.23,34,24,42,22,"7",27,NA,NA,9,3
"Jalen Hurts","QB","PHI",5,20.7,1.59,1.3,18.8,23.1,3.63,3.13,4.3,35,36,33,3,"2",27,NA,NA,78,4
"Antonio Gibson","RB","NE",14,10.1,0.936,0.081,8.97,11.3,3.59,3.73,3.72,36,31,36,23,"7",27,NA,NA,26,4
"Trey Sermon","RB","IND",14,9.99,1.55,0.156,8.08,12.6,3.51,2.84,5.04,37,41,29,24,"7",27,NA,NA,79,3
"Zack Moss","RB","CIN",12,9.83,1.47,0.294,7.48,11.1,3.35,2.24,3.59,38,51,38,25,"8",56,NA,NA,68,4
"Chris Godwin","WR","TB",11,11.9,0.967,0.107,10.3,12.9,3.19,3.07,3.17,39,38,43,10,"4",30,NA,NA,50,7
"DK Metcalf","WR","SEA",10,11.8,1.13,0.117,9.98,12.9,3.08,2.77,3.08,40,42,44,11,"4",28,NA,NA,65,5
"Javonte Williams","RB","DEN",14,9.54,0.905,0.293,8.33,10.2,3.06,3.09,2.65,41,37,52,26,"8",26,NA,NA,21,3
"D.J. Moore","WR","CHI",7,11.7,1.45,0.0851,9.74,13.7,2.97,2.52,3.91,42,47,35,12,"4",29,NA,NA,85,6
"Terry McLaurin","WR","WAS",14,11.6,0.613,0.298,10.9,12.4,2.88,3.73,2.67,44,30,50,13,"5",30,NA,NA,10,5
"Brock Bowers","TE","LVR",10,9.4,0.793,0.269,8.35,10.3,2.88,3.56,2.71,43,32,49,2,"1",23,NA,NA,44,0
"Jerome Ford","RB","CLE",10,9.24,1.08,0.42,7.89,10.3,2.77,2.65,2.72,45,45,48,27,"8",26,NA,NA,37,2
"Trey McBride","TE","ARI",11,9.13,0.495,0.197,8.19,9.4,2.62,3.4,1.85,46,34,69,3,"1",26,NA,NA,9,2
"Garrett Wilson","WR","NYJ",12,11.3,0.817,0.0965,9.98,11.9,2.58,2.76,2.16,47,43,59,14,"5",25,NA,NA,29,2
"Tee Higgins","WR","CIN",12,11.2,1.08,0.0778,9.36,12.4,2.49,2.14,2.66,48,52,51,15,"5",27,NA,NA,61,4
"Jake Ferguson","TE","DAL",7,8.93,0.905,0.965,7.33,9.7,2.42,2.54,2.15,49,46,61,4,"2",27,NA,NA,65,2
"DeVonta Smith","WR","PHI",5,11.1,1.34,0.0584,8.76,12.6,2.41,1.54,2.82,50,65,45,16,"5",27,NA,NA,76,3
"Tyrone Tracy","RB","NYG",11,8.82,2.11,0.214,5.77,11.1,2.35,0.525,3.59,52,94,39,28,"9",26,NA,NA,93,0
