player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Drew Lock,39517,QB,NYG,1,61.5,39,49,10.0,3.24,5,1,1.9,42.9,21,0,26,12.5,56,3,-0.22,15,21,81.5,51.1,47.9,73.9,2,1,60,2,33.9,7.7,48.6,3.6,2,5,1,2,0,3,5.0,227,4.6
Tua Tagovailoa,60326,QB,MIA,1,80.0,45,47,5.8,2.14,0,1,2.0,70.2,33,0,12,8.3,48,3,0.25,21,17,80.6,77.2,76.9,56.8,0,0,52,0,62.5,0.0,104.1,0.0,0,1,1,1,2,0,0.0,331,7.0
Joe Burrow,28022,QB,CIN,1,81.4,43,44,6.3,2.52,0,0,0.0,75.0,33,1,17,5.7,46,2,0.23,18,7,80.9,87.5,85.4,60.0,0,1,52,1,58.7,11.8,112.8,4.3,2,0,0,1,3,1,1.9,369,8.4
Jameis Winston,9434,QB,CLV,1,66.7,36,41,8.6,2.87,0,2,4.7,58.5,24,0,18,0.0,45,0,-0.26,12,8,80.4,58.2,54.6,76.9,0,2,47,1,35.6,16.7,68.3,6.7,3,1,0,5,2,3,6.4,212,5.2
Jared Goff,10635,QB,DET,1,82.5,40,41,6.2,2.34,0,0,0.0,78.0,32,0,12,3.0,43,1,0.29,18,11,80.3,76.0,77.5,51.1,0,1,45,0,67.4,8.3,109.7,2.3,1,1,0,1,3,1,2.2,283,6.9
Aaron Rodgers,2241,QB,NYJ,1,81.1,37,39,7.1,2.7,0,1,2.4,69.2,27,0,14,10.0,43,3,0.27,18,22,79.9,81.3,79.6,,1,0,46,0,51.2,21.4,104.5,7.0,3,0,0,1,1,0,0.0,339,8.7
Kyler Murray,38334,QB,ARZ,1,74.3,35,38,5.5,2.73,2,1,2.3,65.8,25,0,11,3.8,42,1,0.01,15,1,80.4,65.2,61.8,70.8,0,2,47,0,50.0,18.2,80.9,4.8,2,2,0,1,2,2,4.3,259,6.8
Kirk Cousins,7102,QB,ATL,1,86.7,30,37,9.0,2.29,5,2,5.3,62.2,23,0,8,11.5,38,3,0.0,15,2,79.0,76.6,73.1,65.6,2,2,40,1,55.3,12.5,70.1,2.6,1,0,0,0,0,2,5.0,344,9.3
Patrick Mahomes,11765,QB,KC,1,75.8,33,37,7.6,2.6,0,0,0.0,64.9,24,0,18,4.0,43,1,0.04,13,16,80.4,66.2,61.4,76.1,3,0,47,0,53.5,16.7,88.8,7.0,3,2,0,1,1,0,0.0,210,5.7
Josh Allen,46601,QB,BUF,1,64.9,37,37,12.3,3.09,0,3,7.3,59.5,22,0,11,8.3,41,2,0.56,16,4,80.8,90.1,76.5,92.0,0,0,45,0,56.1,0.0,117.2,0.0,0,4,0,0,3,0,0.0,342,9.2
