"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Christian McCaffrey","RB","SF",9,19.9,0.926,4.4,18.6,20.9,12.1,12.1,11.3,1,1,1,1,"1",29,NA,NA,29,6
"CeeDee Lamb","WR","DAL",7,17.8,1.59,0.665,15.9,19.8,8.84,8.79,9.11,2,2,2,1,"1",27,NA,NA,83,3
"Tyreek Hill","WR","MIA",10,17.2,2.02,0.972,14.2,19.8,8.18,7.09,9.04,3,5,3,2,"1",32,NA,NA,96,7
"Jonathan Taylor","RB","IND",11,15.5,1.54,0.687,13.9,17.8,7.74,7.41,8.17,4,3,4,2,"1",27,NA,NA,81,3
"Travis Kelce","TE","KC",10,13.8,2.1,3.03,10.4,16.4,7.22,4.75,7.65,5,18,8,1,"1",36,NA,NA,99,10
"A.J. Brown","WR","PHI",10,16.2,1.72,0.807,14.4,18.7,7.2,7.25,7.94,6,4,5,3,"2",28,NA,NA,90,4
"Alvin Kamara","RB","NO",11,14.8,1.46,0.365,12,16.1,7.05,5.43,6.46,7,13,11,3,"2",30,NA,NA,76,6
"Austin Ekeler","RB","LAC",5,14.4,1.34,0.448,12,15.4,6.68,5.49,5.77,8,11,19,4,"2",30,NA,NA,66,NA
"Keenan Allen","WR","LAC",5,15.4,1.99,0.751,13.3,18.6,6.4,6.12,7.85,9,7,7,4,"3",34,NA,NA,94,10
"Travis Etienne","RB","JAC",9,14,1.86,0.0259,10.8,16.5,6.24,4.27,6.88,10,22,10,5,"2",27,NA,NA,93,2
"Saquon Barkley","RB","NYG",13,13.9,1.35,0.0659,12,15.4,6.21,5.46,5.77,11,12,18,6,"2",29,NA,NA,69,5
"Jahmyr Gibbs","RB","DET",9,13.9,2.84,0.0291,8.14,15.9,6.14,1.62,6.25,12,73,13,7,"2",24,NA,NA,99,0
"Joe Mixon","RB","CIN",7,13.8,1.5,0.126,12.5,16.7,6.12,5.94,7.08,13,8,9,8,"2",29,NA,NA,79,6
"D'Andre Swift","RB","PHI",10,13.7,1.44,0.514,12.4,16,5.99,5.86,6.3,14,9,12,9,"3",27,NA,NA,74,3
"Josh Allen","QB","BUF",13,23.2,2.33,0.43,20.4,26.7,5.88,5.1,7.87,15,14,6,1,"1",29,NA,NA,94,5
"Amon-Ra St. Brown","WR","DET",9,14.6,1.15,0.498,12.8,16.3,5.65,5.62,5.55,16,10,20,5,"4",26,NA,NA,46,2
"Kyren Williams","RB","LAR",10,13.2,1.57,0.00982,10.6,15.5,5.48,4.09,5.84,17,24,17,10,"3",25,NA,NA,83,1
"Breece Hall","RB","NYJ",7,13.2,1.14,0.0284,11.5,14.6,5.47,4.99,4.93,18,15,25,11,"3",24,NA,NA,49,1
