"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Christian McCaffrey","RB","SF",9,20.6,1.28,3.77,19.2,22.7,13.1,14.2,12.3,1,1,1,1,"1",29,NA,NA,58,6
"Tyreek Hill","WR","MIA",10,19.8,1.57,1.71,17.8,21.6,11.1,10.7,11.1,2,2,2,1,"1",32,NA,NA,79,7
"CeeDee Lamb","WR","DAL",7,18.1,1.82,2.75,15.8,20.7,9.4,8.64,10.1,3,4,3,2,"2",27,NA,NA,93,3
"Alvin Kamara","RB","NO",11,16.9,1.13,1.53,15.5,18.9,9.34,10.6,8.45,4,3,4,2,"2",30,NA,NA,41,6
"Kyren Williams","RB","LAR",10,15.3,1.49,0.798,13.5,18,7.81,8.52,7.57,5,5,6,3,"3",25,NA,NA,73,1
"Joe Mixon","RB","CIN",7,14.5,1.14,0.115,12.6,15.9,7.01,7.63,5.48,6,7,15,4,"3",29,NA,NA,42,6
"Zack Moss","RB","IND",11,14.4,1.17,0.622,13.3,16.6,6.9,8.29,6.18,7,6,8,5,"4",56,NA,NA,49,3
"Keenan Allen","WR","LAC",5,15.3,0.966,0.727,13.5,16.1,6.65,6.34,5.56,8,13,14,3,"2",34,NA,NA,42,10
"Jalen Hurts","QB","PHI",10,22.5,1.39,0.0473,20.6,24.5,6.38,6.5,6.06,9,12,10,1,"1",27,NA,NA,51,3
"Josh Allen","QB","BUF",13,22.5,1.31,0.513,20.9,24.3,6.33,6.78,5.86,10,10,13,2,"1",29,NA,NA,43,5
"Austin Ekeler","RB","LAC",5,13.8,1.16,0.00093,11.8,14.8,6.28,6.86,4.42,11,9,25,6,"4",30,NA,NA,45,NA
"Tony Pollard","RB","DAL",7,13.8,1.94,0.183,11.2,16.9,6.28,6.25,6.52,12,15,7,7,"4",29,NA,NA,89,4
"Bijan Robinson","RB","ATL",11,13.6,0.991,0.041,12.2,14.8,6.09,7.21,4.4,13,8,26,8,"4",24,NA,NA,30,0
"Saquon Barkley","RB","NYG",13,13.6,1.5,0.0644,11.7,15.9,6.05,6.72,5.46,14,11,16,9,"4",29,NA,NA,75,5
"Rachaad White","RB","TB",5,13.5,1.35,0.111,10.8,14.4,5.99,5.8,4.01,15,17,34,10,"4",27,NA,NA,63,1
"A.J. Brown","WR","PHI",10,14.6,2.22,0.67,12.3,18.8,5.92,5.12,8.25,16,25,5,4,"3",28,NA,NA,99,4
"Josh Jacobs","RB","LVR",13,13.4,1.25,0.181,11.1,14.7,5.88,6.11,4.32,17,16,27,11,"4",28,NA,NA,54,4
"Dak Prescott","QB","DAL",7,22,1.73,1.25,19.4,24.4,5.82,5.31,5.94,19,22,11,3,"2",32,NA,NA,66,7
"Travis Kelce","TE","KC",10,12.4,1.48,1.91,9.47,13.8,5.82,4.53,6.08,18,29,9,1,"1",36,NA,NA,94,10
"Travis Etienne","RB","JAC",9,13.2,1.49,0.293,10.5,14.6,5.7,5.56,4.16,20,20,30,12,"4",27,NA,NA,72,2
"Devon Achane","RB","MIA",10,12.9,2.02,0.248,10.3,15.5,5.4,5.37,5.13,21,21,20,13,"5",24,NA,NA,92,0
"Amon-Ra St. Brown","WR","DET",9,13.9,0.938,0.0213,12.2,14.6,5.25,5.04,4.12,22,26,31,5,"3",26,NA,NA,35,2
"Mike Evans","WR","TB",5,13.9,2.01,0.21,10.5,16.4,5.23,3.38,5.9,23,43,12,6,"4",32,NA,NA,97,9
"Jahmyr Gibbs","RB","DET",9,12.7,2.14,0.253,9.32,15.6,5.16,4.34,5.16,24,32,19,14,"5",24,NA,NA,93,0
"Ja'Marr Chase","WR","CIN",7,13.7,1.39,0.534,11.3,15.2,5.02,4.1,4.63,25,33,22,7,"4",26,NA,NA,67,2
"Raheem Mostert","RB","MIA",10,12.4,1.61,0.102,10.2,14.6,4.9,5.26,4.22,26,23,29,15,"5",34,NA,NA,79,NA
"Breece Hall","RB","NYJ",7,12.3,1.24,0.191,10.6,14.2,4.8,5.61,3.81,27,19,36,16,"5",24,NA,NA,52,1
"Derrick Henry","RB","TEN",7,12.1,1.31,0.25,11.2,14.7,4.61,6.25,4.26,28,14,28,17,"5",32,NA,NA,59,7
"Patrick Mahomes","QB","KC",10,20.7,1.18,1.07,19,22.5,4.57,4.92,4.04,29,27,33,4,"3",30,NA,NA,23,6
"Justin Jefferson","WR","MIN",13,13.1,1.56,0.131,10.7,15,4.49,3.54,4.47,30,41,24,8,"4",26,NA,NA,76,3
"David Montgomery","RB","DET",9,11.9,1.1,0.549,10.7,13.5,4.36,5.68,3.08,31,18,45,18,"6",28,NA,NA,39,4
